iter	RMSE
0	1.021901069
1	1.011016258
2	1.001710168
3	0.9944062629
4	0.9855139096
5	0.9774848685
6	0.9692161118
7	0.96146471
8	0.9553050906
9	0.9494599494
10	0.9438689888
11	0.9385645537
12	0.9337363179
13	0.9280955248
14	0.9232324588
15	0.9191980658
16	0.9156026276
17	0.9112113736
18	0.9067853363
19	0.9021812531
20	0.8978891916
21	0.8949914205
22	0.8916639634
23	0.8880834703
24	0.8851184749
25	0.8814902347
26	0.8775027526
27	0.8742646838
28	0.8713658237
29	0.8692953116
30	0.866249929
31	0.8639656885
32	0.8618199901
33	0.8592212149
34	0.8570822734
35	0.8550625127
36	0.8531266637
37	0.8505887015
38	0.8480112245
39	0.8460077932
40	0.8441266616
41	0.842407721
42	0.8400088859
43	0.8384535862
44	0.837149368
45	0.834874766
46	0.8327349821
47	0.8307247931
48	0.8294885876
49	0.8273497021
50	0.8254640282
51	0.8239051995
52	0.8224022391
53	0.820911906
54	0.8196787819
55	0.8178848779
56	0.8166735421
57	0.8152400167
58	0.8133662792
59	0.8121422923
60	0.8107016159
61	0.809794362
62	0.8084623991
63	0.8072470645
64	0.8058856736
65	0.8044109214
66	0.8029062075
67	0.8015142599
68	0.8002477664
69	0.799031758
70	0.7980124955
71	0.7967364859
72	0.795526051
73	0.7940346861
74	0.7925759992
75	0.7922003349
76	0.7908680442
77	0.789613031
78	0.7881593463
79	0.787355049
80	0.7866263508
81	0.7849945133
82	0.7838129917
83	0.7827486238
84	0.7813239038
85	0.7802857593
86	0.7793526863
87	0.7780349706
88	0.776839006
89	0.7749425154
90	0.7739569806
91	0.7726222997
92	0.7710196396
93	0.7700645207
94	0.7690879526
95	0.7677945171
96	0.7671097539
97	0.7656700522
98	0.7651465797
99	0.7634623896
100	0.7625300539
101	0.7617277205
102	0.7608569744
103	0.7594172073
104	0.7580329405
105	0.7566085178
106	0.7551057713
107	0.7540244339
108	0.7526477749
109	0.7511996852
110	0.7503350026
111	0.7494199986
112	0.7476291578
113	0.7458437023
114	0.7448514633
115	0.743738648
116	0.7427723702
117	0.7418367016
118	0.7404256382
119	0.7396333918
120	0.7386138929
121	0.7367468793
122	0.7354472625
123	0.7340413064
124	0.7332518877
125	0.7319220618
126	0.731346984
127	0.7299672673
128	0.7283580356
129	0.7274368948
130	0.7268370023
131	0.7258080773
132	0.7253529722
133	0.7241370891
134	0.722898135
135	0.72237729
136	0.7210855981
137	0.720091729
138	0.7189515587
139	0.7181553436
140	0.7170634312
141	0.7161518492
142	0.7152945294
143	0.7147202772
144	0.7134498856
145	0.7120260026
146	0.7114625722
147	0.7106058862
148	0.7091607136
149	0.7083574866
150	0.7073512021
151	0.7060958653
152	0.7051261066
153	0.7042321612
154	0.7030463525
155	0.702583211
156	0.7012827903
157	0.6996382492
158	0.6981867871
159	0.6970097018
160	0.6959293093
161	0.6945275642
162	0.6932071685
163	0.6924784022
164	0.6910802937
165	0.6895175855
166	0.6879245668
167	0.6853277022
168	0.6843548357
169	0.6832663646
170	0.682204595
171	0.6805993063
172	0.6796508253
173	0.6784222698
174	0.6768800163
175	0.6749543359
176	0.6735003594
177	0.6729283279
178	0.6715438918
179	0.6700913456
180	0.6690722661
181	0.6680677479
182	0.6666494567
183	0.6656559953
184	0.6641764226
185	0.6632541036
186	0.6621433087
187	0.6611365338
188	0.6597844297
189	0.6584704729
190	0.6581422727
191	0.6567391122
192	0.6556325512
193	0.6544265018
194	0.6535238529
195	0.6525884972
196	0.6516176481
197	0.6504964839
198	0.6491336485
199	0.6479206627
200	0.6469516444
201	0.6460889773
202	0.6452987573
203	0.6443099951
204	0.6427468561
205	0.6418802855
206	0.6406818349
207	0.6396738873
208	0.6390455981
209	0.6380688541
210	0.636916471
211	0.6354318962
212	0.6344353496
213	0.6330920111
214	0.6313989578
215	0.6296492027
216	0.628859357
217	0.6276502524
218	0.6272177688
219	0.6266005188
220	0.6255472654
221	0.6244313397
222	0.6231434042
223	0.6220501938
224	0.6209131989
225	0.6201524148
226	0.6184283581
227	0.6173469121
228	0.6171470921
229	0.616053367
230	0.6146043021
231	0.6133046415
232	0.6126997529
233	0.6109513058
234	0.6098135836
235	0.6087182099
236	0.6074722629
237	0.6059875033
238	0.6049761819
239	0.6030877451
240	0.6027942009
241	0.6013759048
242	0.6005370345
243	0.5996293332
244	0.598503812
245	0.5981282573
246	0.5961661668
247	0.5955293388
248	0.5938633401
249	0.5925865143
250	0.5907894994
251	0.5903804025
252	0.5891727258
253	0.5879532625
254	0.5877495101
255	0.5866784462
256	0.5852202756
257	0.5842989455
258	0.5836858493
259	0.5826871134
260	0.5824068714
261	0.5808908027
262	0.5805521154
263	0.5795183983
264	0.5785129128
265	0.5773085424
266	0.5761539387
267	0.5745103736
268	0.5736758354
269	0.5722029726
270	0.5711236343
271	0.5703523899
272	0.5696023943
273	0.5688091383
274	0.5679919234
275	0.5668468704
276	0.5664537265
277	0.5647381947
278	0.563765375
279	0.5625675422
280	0.561429924
281	0.5610225819
282	0.560408035
283	0.5592286516
284	0.5588932394
285	0.5581443772
286	0.5570461549
287	0.5566688994
288	0.5551688709
289	0.5541529941
290	0.5536676908
291	0.5522327701
292	0.5511164784
293	0.5498608902
294	0.5485886226
295	0.5483166356
296	0.5479378407
297	0.546878845
298	0.5462367306
299	0.5458639755
