iter	Passed	Remaining
0	27	8078
1	60	9041
2	96	9588
3	128	9508
4	160	9440
5	189	9264
6	214	8972
7	244	8920
8	272	8800
9	300	8706
10	328	8627
11	355	8523
12	391	8642
13	424	8667
14	463	8812
15	502	8925
16	539	8983
17	572	8972
18	603	8924
19	631	8838
20	802	10665
21	867	10957
22	905	10910
23	954	10981
24	990	10895
25	1023	10787
26	1062	10738
27	1093	10621
28	1126	10526
29	1170	10533
30	1195	10376
31	1226	10272
32	1255	10155
33	1285	10054
34	1313	9945
35	1342	9842
36	1382	9823
37	1415	9761
38	1453	9730
39	1483	9644
40	1518	9589
41	1676	10300
42	1731	10349
43	1766	10276
44	1800	10203
45	1825	10081
46	1858	10002
47	1888	9914
48	1926	9866
49	1960	9803
50	1994	9737
51	2028	9673
52	2067	9636
53	2098	9558
54	2131	9492
55	2157	9401
56	2187	9325
57	2214	9238
58	2245	9171
59	2274	9096
60	2304	9028
61	2333	8959
62	2372	8926
63	2417	8912
64	2458	8888
65	2502	8873
66	2536	8821
67	2575	8785
68	2604	8720
69	2638	8670
70	2666	8601
71	2695	8534
72	2724	8473
73	2752	8404
74	2780	8342
75	2811	8285
76	2840	8225
77	2874	8180
78	2906	8129
79	2944	8097
80	2976	8048
81	3007	7995
82	3035	7937
83	3067	7889
84	3097	7835
85	3124	7774
86	3153	7720
87	3180	7662
88	3207	7603
89	3237	7554
90	3267	7504
91	3296	7452
92	3323	7396
93	3361	7366
94	3398	7333
95	3435	7299
96	3468	7259
97	3499	7213
98	3531	7170
99	3567	7135
100	3595	7083
101	3622	7031
102	3651	6983
103	3674	6925
104	3701	6874
105	3728	6823
106	3756	6775
107	3787	6732
108	3820	6694
109	3853	6656
110	3888	6620
111	3925	6589
112	3962	6557
113	3995	6519
114	4022	6470
115	4054	6432
116	4085	6390
117	4118	6351
118	4151	6314
119	4179	6268
120	4206	6223
121	4234	6178
122	4263	6135
123	4294	6095
124	4340	6076
125	4378	6046
126	4409	6006
127	4446	5975
128	4485	5946
129	4517	5907
130	4549	5869
131	4578	5827
132	4604	5781
133	4634	5741
134	4659	5695
135	4687	5652
136	4715	5610
137	4741	5566
138	4767	5522
139	4795	5481
140	4822	5437
141	4855	5402
142	4889	5367
143	4921	5331
144	4946	5287
145	4981	5254
146	5013	5218
147	5044	5180
148	5071	5139
149	5096	5096
150	5121	5054
151	5148	5013
152	5175	4972
153	5203	4932
154	5228	4891
155	5262	4857
156	5289	4817
157	5315	4777
158	5346	4741
159	5376	4704
160	5406	4667
161	5434	4629
162	5462	4591
163	5490	4553
164	5531	4525
165	5555	4484
166	5580	4443
167	5604	4403
168	5631	4365
169	5656	4325
170	5679	4284
171	5709	4248
172	5733	4209
173	5758	4170
174	5785	4132
175	5808	4092
176	5836	4056
177	5867	4021
178	5900	3988
179	5923	3949
180	5954	3914
181	5985	3880
182	6011	3843
183	6042	3809
184	6074	3776
185	6110	3745
186	6138	3709
187	6161	3670
188	6190	3635
189	6220	3601
190	6248	3566
191	6273	3528
192	6299	3492
193	6331	3459
194	6362	3425
195	6395	3393
196	6428	3361
197	6464	3330
198	6496	3296
199	6529	3264
200	6557	3229
201	6601	3202
202	6646	3176
203	6695	3151
204	6737	3122
205	6775	3091
206	6806	3057
207	6845	3027
208	6881	2996
209	6913	2962
210	6947	2930
211	6975	2895
212	7010	2863
213	7043	2830
214	7074	2796
215	7100	2761
216	7128	2726
217	7156	2691
218	7182	2656
219	7212	2622
220	7240	2588
221	7269	2554
222	7295	2519
223	7324	2484
224	7355	2451
225	7384	2417
226	7420	2386
227	7454	2353
228	7486	2321
229	7510	2285
230	7540	2252
231	7563	2217
232	7589	2182
233	7613	2147
234	7637	2112
235	7666	2078
236	7693	2045
237	7716	2010
238	7741	1975
239	7766	1941
240	7791	1907
241	7819	1874
242	7851	1841
243	7882	1808
244	7912	1776
245	7940	1743
246	7971	1710
247	8001	1677
248	8032	1645
249	8059	1611
250	8088	1578
251	8110	1544
252	8134	1511
253	8157	1477
254	8183	1444
255	8211	1411
256	8235	1377
257	8266	1345
258	8291	1312
259	8319	1279
260	8353	1248
261	8388	1216
262	8412	1183
263	8442	1151
264	8467	1118
265	8497	1086
266	8525	1053
267	8551	1021
268	8576	988
269	8603	955
270	8627	923
271	8653	890
272	8678	858
273	8702	825
274	8728	793
275	8752	761
276	8777	728
277	8802	696
278	8835	665
279	8868	633
280	8895	601
281	8924	569
282	8948	537
283	8979	505
284	9013	474
285	9041	442
286	9066	410
287	9091	378
288	9116	346
289	9140	315
290	9164	283
291	9188	251
292	9216	220
293	9243	188
294	9272	157
295	9302	125
296	9344	94
297	9374	62
298	9403	31
299	9431	0
