iter	RMSE
0	0.9692370556
1	0.9476689461
2	0.9302872381
3	0.9171252361
4	0.9019946219
5	0.8885838381
6	0.8756436657
7	0.8640438968
8	0.8522631352
9	0.8439922139
10	0.8362388635
11	0.8279059357
12	0.8202370384
13	0.8122986622
14	0.8048331985
15	0.7990779769
16	0.7925768705
17	0.7877349793
18	0.7824371416
19	0.7776228013
20	0.7725622425
21	0.7681928707
22	0.7642373149
23	0.7596989479
24	0.7556339887
25	0.7521422075
26	0.749057745
27	0.7459737894
28	0.7427073698
29	0.7394399462
30	0.7372266778
31	0.732725585
32	0.7293003149
33	0.7271469209
34	0.7247746977
35	0.7213940846
36	0.7188511244
37	0.7165878241
38	0.7136548607
39	0.7115402399
40	0.7096938979
41	0.7081220765
42	0.7060706718
43	0.7035254771
44	0.7019290269
45	0.7003350921
46	0.6991957553
47	0.6969705415
48	0.6946067758
49	0.6933103283
50	0.6908417831
51	0.6886665137
52	0.6874124441
53	0.6855702329
54	0.6833889663
55	0.6819191966
56	0.6802229774
57	0.6783610483
58	0.6766941918
59	0.6746879266
60	0.6730973494
61	0.6720843714
62	0.6710499421
63	0.670428562
64	0.667950729
65	0.6667589647
66	0.6642545874
67	0.6628469096
68	0.6616894611
69	0.6603211132
70	0.6579608148
71	0.6559768477
72	0.6551024804
73	0.6535584176
74	0.6517136255
75	0.6500802405
76	0.6484443636
77	0.6475235987
78	0.6457513334
79	0.6445729929
80	0.6433552848
81	0.6418771748
82	0.6410514415
83	0.6387520494
84	0.6380429982
85	0.6369213254
86	0.6351589633
87	0.6330813279
88	0.6302930232
89	0.6294546557
90	0.6281994007
91	0.6271338391
92	0.6252189836
93	0.6236518986
94	0.6223588872
95	0.6207553554
96	0.6189856485
97	0.6176688589
98	0.6168060964
99	0.6160941857
100	0.6144448088
