iter	Passed	Remaining
0	78	23517
1	143	21343
2	208	20612
3	251	18630
4	297	17531
5	328	16116
6	388	16247
7	437	15981
8	482	15590
9	538	15629
10	590	15516
11	690	16569
12	765	16908
13	818	16725
14	877	16676
15	914	16224
16	950	15825
17	1002	15711
18	1039	15374
19	1072	15011
20	1119	14879
21	1170	14791
22	1208	14551
23	1254	14426
24	1297	14274
25	1343	14156
26	1393	14091
27	1439	13979
28	1476	13798
29	1515	13639
30	1557	13514
31	1598	13389
32	1633	13215
33	1675	13108
34	1702	12890
35	1745	12798
36	1786	12699
37	1820	12548
38	1859	12441
39	1905	12384
40	1944	12282
41	1976	12143
42	2018	12067
43	2059	11980
44	2094	11870
45	2231	12322
46	2325	12520
47	2398	12591
48	2442	12510
49	2481	12407
50	2523	12321
51	2581	12312
52	2625	12236
53	2671	12168
54	2714	12093
55	2765	12047
56	2804	11957
57	2858	11928
58	2919	11926
59	2990	11960
60	3023	11846
61	3057	11735
62	3102	11669
63	3134	11558
64	3169	11458
65	3210	11381
66	3238	11260
67	3271	11163
68	3308	11074
69	3335	10960
70	3377	10894
71	3419	10827
72	3462	10766
73	3495	10676
74	3528	10585
75	3559	10491
76	3590	10398
77	3621	10306
78	3660	10240
79	3699	10173
80	3728	10081
81	3763	10004
82	3795	9922
83	3839	9872
84	3872	9794
85	3909	9728
86	3957	9688
87	4000	9636
88	4040	9579
89	4068	9492
90	4103	9425
91	4142	9366
92	4180	9304
93	4220	9249
94	4271	9216
95	4317	9174
96	4326	9055
97	4368	9004
98	4417	8969
99	4466	8932
100	4509	8884
101	4547	8827
102	4580	8760
103	4614	8696
104	4654	8644
105	4688	8579
106	4725	8523
107	4756	8456
108	4793	8399
109	4821	8327
110	4856	8268
111	4901	8227
112	4933	8165
113	4969	8108
114	5003	8049
115	5033	7983
116	5069	7929
117	5100	7867
118	5129	7801
119	5161	7741
120	5194	7684
121	5231	7633
122	5266	7579
123	5293	7513
124	5329	7461
125	5363	7407
126	5402	7359
127	5439	7309
128	5482	7267
129	5523	7222
130	5558	7171
131	5593	7119
132	5649	7093
133	5695	7055
134	5735	7010
135	5850	7054
136	5931	7057
137	5984	7025
138	6028	6982
139	6061	6927
140	6101	6880
141	6139	6830
142	6197	6803
143	6236	6756
