iter	Passed	Remaining
0	44	13421
1	88	13204
2	132	13098
3	181	13395
4	238	14100
5	280	13738
6	322	13518
7	368	13453
8	408	13213
9	456	13229
10	489	12854
11	536	12875
12	581	12827
13	618	12643
14	673	12805
15	717	12732
16	757	12612
17	799	12521
18	867	12835
19	937	13125
20	985	13098
21	1034	13067
22	1084	13066
23	1127	12971
24	1172	12896
25	1216	12816
26	1255	12694
27	1296	12598
28	1344	12566
29	1395	12562
30	1433	12441
31	1470	12313
32	1507	12199
33	1545	12093
34	1583	11988
35	1628	11944
36	1670	11872
37	1708	11777
38	1751	11719
39	1789	11633
40	1827	11547
41	1869	11485
42	1911	11422
43	1952	11360
44	1996	11310
45	2030	11213
46	2077	11180
47	2111	11085
48	2157	11053
49	2196	10984
50	2232	10902
51	2266	10809
52	2305	10746
53	2349	10704
54	2381	10606
55	2416	10529
56	2451	10452
57	2487	10380
58	2522	10304
59	2568	10272
60	2621	10272
61	2684	10305
62	2750	10347
63	2798	10317
64	2848	10297
65	2896	10268
66	2934	10203
67	2972	10140
68	3015	10093
69	3059	10053
70	3100	10000
71	3136	9933
72	3180	9890
73	3216	9821
74	3256	9768
75	3289	9695
76	3329	9642
77	3363	9574
78	3404	9523
79	3440	9460
80	3477	9401
81	3514	9342
82	3550	9283
83	3588	9227
84	3626	9174
85	3662	9114
86	3701	9061
87	3743	9019
88	3794	8996
89	3840	8961
90	3886	8925
91	3929	8883
92	3975	8847
93	4018	8805
94	4057	8755
95	4099	8711
96	4142	8670
97	4186	8628
98	4227	8582
99	4275	8551
100	4337	8546
101	4383	8508
102	4424	8463
103	4464	8413
104	4507	8370
105	4542	8313
106	4583	8267
107	4620	8213
108	4665	8175
109	4704	8125
110	4740	8071
111	4784	8031
112	4818	7974
113	4865	7938
114	4904	7889
115	4939	7835
116	4977	7784
117	5016	7736
118	5052	7684
119	5088	7632
120	5123	7579
121	5167	7539
122	5202	7486
123	5240	7438
124	5271	7379
125	5306	7327
126	5343	7278
127	5385	7237
128	5420	7185
129	5462	7143
130	5499	7094
131	5537	7047
132	5578	7004
133	5613	6954
134	5764	7045
135	5885	7097
136	5967	7100
137	6019	7065
138	6064	7024
139	6105	6977
140	6141	6925
141	6179	6876
142	6216	6825
143	6248	6769
144	6283	6716
145	6326	6673
146	6361	6621
147	6395	6567
148	6498	6586
149	6562	6562
150	6603	6515
151	6643	6468
152	6675	6413
153	6715	6366
154	6754	6318
155	6791	6269
156	6827	6218
157	6873	6177
158	6919	6136
159	6956	6087
160	6994	6038
161	7036	5994
162	7074	5945
163	7108	5894
164	7146	5847
165	7175	5792
166	7208	5740
167	7250	5696
168	7289	5650
169	7357	5626
170	7408	5588
171	7452	5545
172	7498	5504
173	7552	5469
174	7614	5438
175	7664	5399
176	7711	5358
177	7773	5327
178	7822	5287
179	7875	5250
180	7919	5206
181	7975	5170
182	8027	5132
183	8077	5092
184	8133	5055
185	8184	5016
186	8236	4976
187	8284	4935
188	8346	4902
189	8405	4866
190	8467	4832
191	8552	4810
192	8617	4777
193	8666	4735
194	8715	4693
195	8763	4649
196	8810	4606
197	8859	4563
198	8908	4521
199	8959	4479
200	9008	4437
201	9060	4395
202	9118	4357
203	9172	4316
204	9230	4277
205	9280	4234
206	9329	4191
207	9387	4151
208	9428	4105
209	9477	4061
210	9523	4017
211	9571	3972
212	9625	3931
213	9668	3885
214	9712	3839
215	9777	3802
216	9823	3757
217	9874	3714
218	9911	3665
219	9953	3619
220	10090	3607
221	10172	3574
222	10217	3527
223	10259	3481
224	10319	3439
225	10362	3393
226	10403	3345
227	10448	3299
228	10491	3252
229	10536	3206
230	10582	3160
231	10623	3113
232	10669	3068
233	10710	3020
234	10755	2975
235	10802	2929
236	10858	2886
237	10906	2841
238	10945	2793
239	10986	2746
240	11032	2700
241	11076	2654
242	11119	2608
243	11166	2562
244	11207	2516
245	11248	2469
246	11291	2422
247	11336	2377
248	11385	2331
249	11438	2287
250	11474	2240
251	11524	2195
252	11573	2150
253	11614	2103
254	11658	2057
255	11697	2010
256	11745	1965
257	11780	1917
258	11827	1872
259	11870	1826
260	11910	1779
261	11980	1737
262	12038	1693
263	12089	1648
264	12142	1603
265	12188	1557
266	12234	1512
267	12278	1466
268	12322	1420
269	12368	1374
270	12420	1329
271	12467	1283
272	12516	1237
273	12558	1191
274	12602	1145
275	12642	1099
276	12693	1053
277	12747	1008
278	12792	962
279	12841	917
280	12904	872
281	12951	826
282	12999	780
283	13046	735
284	13087	688
285	13222	647
286	13306	602
287	13357	556
288	13396	509
289	13434	463
290	13481	416
291	13528	370
292	13573	324
293	13621	277
294	13664	231
295	13716	185
296	13772	139
297	13838	92
298	13889	46
299	13945	0
