iter	RMSE
0	0.9575606518
1	0.9133287043
2	0.8735413122
3	0.8360858043
4	0.8027749627
5	0.7711748926
6	0.7427285671
7	0.7172234812
8	0.6934451917
9	0.6719248905
10	0.6527407525
11	0.635138853
12	0.6194604935
13	0.6047422517
14	0.5923651857
15	0.5804173773
16	0.5701385004
17	0.5610918944
18	0.5527708
19	0.5456808781
20	0.5389364183
21	0.5325582819
22	0.5271122047
23	0.5224286202
24	0.5182513717
25	0.514483695
26	0.5109196433
27	0.5073467983
28	0.5043779579
29	0.5017157503
30	0.4993257853
31	0.4969484334
32	0.4947591369
33	0.4930869736
34	0.4915855463
35	0.4900946355
36	0.4888779531
37	0.4875178133
38	0.4864544059
39	0.4854201277
40	0.484428491
41	0.4833687362
42	0.482532975
43	0.4818092407
44	0.4809998563
45	0.4801868489
46	0.479292261
47	0.4786483463
48	0.4780700896
49	0.4775304894
50	0.477045729
51	0.4765502059
52	0.4760498402
53	0.475472774
54	0.4750394444
55	0.4745744908
56	0.474160028
57	0.4737923614
58	0.4736002131
59	0.4732334833
60	0.4728609147
61	0.4725407439
62	0.4722087472
63	0.4718819791
64	0.4714695313
65	0.4711741052
66	0.4708401203
67	0.4705080616
68	0.4702337825
69	0.469920141
70	0.4697060112
71	0.4695121447
72	0.4693518899
73	0.4690873615
74	0.4688949922
75	0.468670443
76	0.4684115229
77	0.4682509908
78	0.4680570093
79	0.4679478838
80	0.4677840632
81	0.4675305265
82	0.4672767493
83	0.4670581438
84	0.4667643986
85	0.46656858
86	0.4664025439
87	0.4661482763
88	0.4658400827
89	0.4655846011
90	0.4653412655
91	0.4651046416
92	0.4648832533
93	0.4647110573
94	0.4645401033
95	0.4644731628
96	0.4642350604
97	0.4640686449
98	0.4638254803
99	0.4635641054
100	0.4633812601
101	0.4631966967
102	0.4630703471
103	0.4629799599
104	0.4627375577
105	0.4625333963
106	0.4623446534
107	0.4621205079
108	0.4619032789
109	0.4616831125
110	0.4615223204
111	0.4613519225
112	0.4611279468
113	0.460851933
114	0.4606264091
115	0.4604168108
116	0.460331203
117	0.4601379634
118	0.4599678081
119	0.4597720975
120	0.4596566511
121	0.4593469134
122	0.4592443389
123	0.4590788605
124	0.4588399751
125	0.4586369121
126	0.458491203
127	0.4583792771
128	0.4582120511
129	0.4579820986
130	0.4578405969
131	0.4576694199
132	0.457475327
133	0.4572453512
134	0.4571271648
135	0.456974566
136	0.4567550514
137	0.4566363231
138	0.4565338234
139	0.4563856094
140	0.4563114055
141	0.4561555634
142	0.456001409
143	0.4558174566
144	0.4556732296
145	0.4555768981
146	0.4554070246
147	0.4552319725
148	0.4551197106
149	0.4548730229
150	0.4547792108
151	0.4546304069
152	0.4544931496
153	0.4543360614
154	0.4541182608
155	0.4539494034
156	0.4537299293
157	0.4535368258
158	0.4534329709
159	0.4532958519
160	0.4531354085
161	0.4529099022
162	0.4527883593
163	0.4526797707
164	0.4525710107
165	0.4523299924
166	0.4520631416
167	0.4518843274
168	0.4516426343
169	0.4514229717
170	0.4512628382
171	0.4511415674
172	0.4509839933
173	0.4507437466
174	0.4505368633
175	0.4503840074
176	0.4501613038
177	0.4499659429
178	0.449937456
179	0.449751725
180	0.449639945
181	0.4494870012
182	0.4493273173
183	0.4492008086
184	0.4489091421
185	0.4487130984
186	0.4485374028
187	0.4483308864
188	0.4481814808
189	0.4480449387
190	0.4478938423
191	0.4477794452
192	0.4475775192
193	0.4473181371
194	0.447067396
195	0.4468880233
196	0.446647462
197	0.446423186
198	0.4463457567
199	0.4461301395
200	0.4461088067
201	0.4460847435
202	0.4458295025
203	0.4456503758
204	0.4455262335
205	0.4453497478
206	0.4451674813
207	0.444932533
208	0.4447795129
209	0.4446592857
210	0.4444447158
211	0.4441133036
212	0.4438895133
213	0.4437714237
214	0.4437535881
215	0.443623457
216	0.4436095423
217	0.4435837663
218	0.443460044
219	0.4432837294
220	0.4430424786
221	0.4428791475
222	0.4426180006
223	0.4424623057
224	0.4422660027
225	0.4420947416
226	0.4420023122
227	0.4418306635
228	0.4416732318
229	0.4414748031
230	0.4413129385
231	0.4411638073
232	0.4409460174
233	0.4407609898
234	0.440657128
235	0.4405258559
236	0.4403792508
237	0.440174049
238	0.4400420584
239	0.4398240368
240	0.4396895111
241	0.4395549692
242	0.4393917097
243	0.4393416119
244	0.439188297
245	0.4390438865
246	0.4388889211
247	0.4387219861
248	0.43858254
249	0.4384732576
250	0.4383148801
251	0.4381446
252	0.4379746876
253	0.4377873624
254	0.4376665093
255	0.4375148507
256	0.4374129986
257	0.4372546077
258	0.4371073862
259	0.4369032426
260	0.436756909
261	0.4366331025
262	0.4364789156
263	0.4364507652
264	0.4363266492
265	0.436123812
266	0.4359777809
267	0.4359151425
268	0.4359045524
269	0.4356769729
270	0.4354775761
271	0.4353153432
272	0.4351259778
273	0.4349763751
274	0.4347654525
275	0.43461583
276	0.4344348937
277	0.4342462735
278	0.4341754603
279	0.4340392068
280	0.4338651856
281	0.4337303936
282	0.4334979345
283	0.4333137921
284	0.4331974443
285	0.4330247816
286	0.4328771437
287	0.4328077248
288	0.4326865807
289	0.4325588185
290	0.432411255
291	0.4322638836
292	0.4321393063
293	0.4320732137
294	0.4319721856
295	0.4318679466
296	0.4317341697
297	0.4315899105
298	0.4314908748
299	0.4313774254
