iter	RMSE
0	0.971272271
1	0.9294693811
2	0.8928557551
3	0.8572850307
4	0.8256512461
5	0.7962648469
6	0.771260051
7	0.7480125818
8	0.726943327
9	0.7082543563
10	0.6909828599
11	0.6748770677
12	0.6605198871
13	0.6479541316
14	0.6363965949
15	0.6263597152
16	0.6172982264
17	0.6089967503
18	0.6010831819
19	0.5944533476
20	0.5884292441
21	0.5828809562
22	0.5780592764
23	0.5736100583
24	0.5694048526
25	0.5659635611
26	0.5626765383
27	0.5598665798
28	0.5575985357
29	0.5552251585
30	0.5531608857
31	0.5512705216
32	0.5497461207
33	0.548073716
34	0.5466156761
35	0.545413151
36	0.5441146235
37	0.5431309334
38	0.5421058991
39	0.5413559334
40	0.5404691019
41	0.5395843472
42	0.5389393517
43	0.5382235005
44	0.5376948718
45	0.5371659781
46	0.536578582
47	0.5361218969
48	0.5355155989
49	0.5350061678
50	0.5344863136
51	0.5340618417
52	0.5336602357
53	0.5332465421
54	0.5328758679
55	0.532574747
56	0.5322758361
57	0.5318575847
58	0.5315449066
59	0.5311620302
60	0.5308409308
61	0.5304664201
62	0.530226994
63	0.5298542337
64	0.5295612201
65	0.5293272569
66	0.5291220354
67	0.5288709378
68	0.5286219711
69	0.5282478827
70	0.528047344
71	0.527927141
72	0.5277254074
73	0.5274979578
74	0.5273070252
75	0.5270450716
76	0.5268098037
77	0.526635547
78	0.5264502748
79	0.5262530671
80	0.5259751636
81	0.5258031541
82	0.5254968025
83	0.5253534784
84	0.525173072
85	0.5249717236
86	0.5248121917
87	0.5245602476
88	0.5243884057
89	0.5242333179
90	0.5240318926
91	0.5239341807
92	0.5237971841
93	0.5236311741
94	0.5235157189
95	0.5234026199
96	0.52313031
97	0.5230317597
98	0.5229231159
99	0.5227586252
100	0.5225560717
101	0.5224281661
102	0.5223664868
103	0.5222436763
104	0.5221070476
105	0.522015201
106	0.5218548256
107	0.5217092349
108	0.5216112634
109	0.5214301407
110	0.521324036
111	0.5211771098
112	0.5209746519
113	0.5207771442
114	0.5205947695
115	0.5204534047
116	0.520299416
117	0.520166026
118	0.5199910938
119	0.5198550595
120	0.5197419079
121	0.5196076508
122	0.5194555355
123	0.5193154479
124	0.5191184454
125	0.5190164043
126	0.5188495169
127	0.5186606706
128	0.5185990566
129	0.51850921
130	0.5183695062
131	0.5182975074
132	0.5182074942
133	0.5179801476
134	0.5178263652
135	0.5176246027
136	0.5173877603
137	0.5172013036
138	0.5169751525
139	0.5167709759
140	0.5165651246
141	0.5164256499
142	0.5162463445
143	0.516170645
144	0.5160602522
145	0.515839913
146	0.5156796302
147	0.5155345471
148	0.5153802999
149	0.5151890242
150	0.5150929111
151	0.5149423064
152	0.5146957295
153	0.514548982
154	0.5142879439
155	0.5140967993
156	0.513915492
157	0.5136705013
158	0.5133715047
159	0.5132405137
160	0.5130818182
161	0.5128364518
162	0.5126451938
163	0.5124859145
164	0.5123869892
165	0.5122226815
166	0.5120741092
167	0.5118351437
168	0.5116529281
169	0.5115543552
170	0.5113331342
171	0.511105785
172	0.5109664482
173	0.5107713912
174	0.5105261422
175	0.5104029999
176	0.5101713752
177	0.5100378858
178	0.5098168538
179	0.5096190897
180	0.5094829202
181	0.5093616611
182	0.5091794963
183	0.508959301
184	0.508719948
185	0.5085161002
186	0.5083026232
187	0.5081197462
188	0.5081076595
189	0.5079349724
190	0.5078108266
191	0.5076152665
192	0.5074265704
193	0.5072581365
194	0.5070635896
195	0.5068378664
196	0.5065885056
197	0.506372366
198	0.506103639
199	0.5058345144
200	0.5058240214
201	0.5056838482
202	0.5055590378
203	0.5054074518
204	0.5052461894
205	0.5050955129
206	0.5049206644
207	0.5047461731
208	0.5045805733
209	0.5044071782
210	0.5043972608
211	0.5042667208
212	0.5041037163
213	0.503908898
214	0.5037233901
215	0.5036307794
216	0.5034642159
217	0.503257301
218	0.5031092214
219	0.5029860573
220	0.502705133
221	0.5026382799
222	0.5024588489
223	0.5022825124
224	0.5021601687
225	0.5019864137
226	0.5019071117
227	0.5017125732
228	0.5015757366
229	0.5014281149
230	0.5013013299
231	0.5011444729
232	0.50111841
233	0.5009965447
234	0.5008402388
235	0.5006705236
236	0.5003782611
237	0.5002642618
238	0.5000741696
239	0.4999499511
240	0.4999413121
241	0.4997246194
242	0.499585596
243	0.4993883525
244	0.4991332036
245	0.4991245548
246	0.4989888892
247	0.498852504
248	0.4986382919
249	0.4984038665
250	0.4982678262
251	0.4981633513
252	0.4981551132
253	0.4980374945
254	0.4978918283
255	0.4976536256
256	0.4974914509
257	0.4973806841
258	0.4972513264
259	0.49714284
260	0.4969669638
261	0.4968574626
262	0.4966970117
263	0.4965924409
264	0.4964824821
265	0.4963592439
266	0.4961769858
267	0.4960728453
268	0.4960262998
269	0.4958993463
270	0.4957336377
271	0.4955381673
272	0.4953871787
273	0.4951886572
274	0.4949712379
275	0.4947683056
276	0.4946599057
277	0.4945200676
278	0.4943963792
279	0.4942462533
280	0.4942392707
281	0.4941109941
282	0.4939896746
283	0.4937994069
284	0.4936592987
285	0.4935429706
286	0.4933007064
287	0.493141359
288	0.4929368062
289	0.4928543755
290	0.4927035195
291	0.4925499164
292	0.4924298966
293	0.4923164733
294	0.492119837
295	0.4919246004
296	0.4918371869
297	0.4916573485
298	0.4914732917
299	0.4914666356
