iter	Passed	Remaining
0	44	13277
1	80	11998
2	120	11918
3	170	12648
4	211	12474
5	247	12135
6	286	12012
7	330	12078
8	370	11995
9	417	12117
10	456	11991
11	493	11847
12	532	11764
13	576	11779
14	621	11805
15	664	11798
16	706	11757
17	750	11761
18	794	11757
19	844	11822
20	894	11879
21	944	11929
22	989	11919
23	1042	11983
24	1089	11979
25	1136	11975
26	1187	12005
27	1234	11996
28	1286	12017
29	1327	11950
30	1387	12040
31	1434	12010
32	1480	11982
33	1540	12049
34	1596	12089
35	1650	12103
36	1697	12067
37	1741	12010
38	1798	12035
39	1849	12022
40	1903	12024
41	1958	12028
42	2001	11963
43	2044	11895
44	2087	11831
45	2126	11739
46	2160	11630
47	2200	11550
48	2255	11553
49	2316	11584
50	2360	11525
51	2410	11497
52	2462	11475
53	2512	11444
54	2562	11415
55	2603	11345
56	2649	11293
57	2699	11264
58	2744	11212
59	2793	11173
60	2843	11140
61	2891	11099
62	2930	11024
63	2980	10990
64	3029	10954
65	3092	10965
66	3155	10975
67	3229	11018
68	3292	11023
69	3354	11022
70	3404	10980
71	3456	10946
72	3500	10883
73	3548	10838
74	3602	10807
75	3644	10741
76	3696	10706
77	3743	10655
78	3791	10606
79	3831	10535
80	3871	10467
81	3921	10424
82	3971	10382
83	4016	10328
84	4062	10276
85	4102	10207
86	4148	10156
87	4188	10090
88	4230	10029
89	4273	9970
90	4321	9925
91	4371	9883
92	4421	9840
93	4470	9796
94	4525	9766
95	4592	9758
96	4658	9749
97	4709	9706
98	4766	9678
99	4823	9647
100	4882	9619
101	4928	9567
102	4975	9515
103	5025	9471
104	5071	9418
105	5115	9361
106	5176	9337
107	5216	9274
108	5258	9214
109	5306	9166
110	5344	9100
111	5390	9047
112	5437	8998
113	5481	8943
114	5540	8913
115	5585	8859
116	5638	8818
117	5711	8809
118	5760	8761
119	5811	8716
120	5858	8666
121	5896	8602
122	5938	8545
123	5980	8488
124	6026	8436
125	6070	8383
126	6109	8322
127	6155	8271
128	6198	8217
129	6241	8162
130	6277	8099
131	6332	8059
132	6376	8007
133	6414	7946
134	6451	7885
135	6490	7827
136	6533	7773
137	6567	7710
138	6612	7658
139	6650	7600
140	6687	7541
141	6726	7484
142	6765	7427
143	6805	7372
144	6848	7320
145	6888	7266
146	6923	7205
147	6960	7148
148	6997	7091
149	7038	7038
150	7074	6981
151	7113	6926
152	7156	6875
153	7191	6818
154	7225	6759
155	7265	6706
156	7317	6665
157	7377	6630
158	7448	6605
159	7519	6579
160	7598	6560
161	7687	6548
162	7774	6534
163	7830	6493
164	7874	6442
165	7915	6389
166	7955	6336
167	8002	6287
168	8044	6235
169	8089	6185
170	8136	6137
171	8177	6085
172	8234	6044
173	8284	5999
174	8341	5958
175	8419	5931
176	8471	5887
177	8534	5849
178	8585	5803
179	8646	5764
180	8700	5720
181	8751	5674
182	8800	5626
183	8856	5583
184	8913	5540
185	8964	5494
186	9010	5444
187	9053	5393
188	9110	5350
189	9210	5332
190	9297	5306
191	9363	5266
192	9410	5217
193	9461	5169
194	9502	5116
195	9543	5064
196	9588	5013
197	9633	4962
198	9681	4913
199	9722	4861
200	9766	4810
201	9812	4760
202	9868	4715
203	9913	4665
204	9968	4619
205	10021	4573
206	10062	4521
207	10127	4479
208	10192	4437
209	10269	4401
210	10334	4359
211	10387	4311
212	10448	4267
213	10498	4219
214	10563	4176
215	10613	4127
216	10691	4089
217	10754	4045
218	10813	3999
219	10885	3958
220	10946	3912
221	11002	3865
222	11054	3817
223	11123	3774
224	11183	3727
225	11253	3684
226	11319	3640
227	11366	3589
228	11413	3538
229	11471	3491
230	11531	3444
231	11579	3393
232	11748	3378
233	11838	3338
234	11942	3303
235	12024	3260
236	12099	3216
237	12173	3171
238	12231	3121
239	12281	3070
240	12325	3017
241	12373	2965
242	12428	2915
243	12476	2863
244	12524	2811
245	12580	2761
246	12631	2710
247	12679	2658
248	12729	2607
249	12779	2555
250	12831	2504
251	12883	2453
252	12925	2401
253	12971	2349
254	13015	2296
255	13058	2244
256	13108	2193
257	13158	2142
258	13218	2092
259	13285	2043
260	13345	1994
261	13391	1942
262	13456	1893
263	13511	1842
264	13572	1792
265	13632	1742
266	13701	1693
267	13794	1647
268	13849	1596
269	13898	1544
270	13963	1494
271	14021	1443
272	14098	1394
273	14161	1343
274	14218	1292
275	14282	1241
276	14340	1190
277	14475	1145
278	14550	1095
279	14597	1042
280	14644	990
281	14693	937
282	14744	885
283	14795	833
284	14839	781
285	14885	728
286	14925	676
287	14979	624
288	15023	571
289	15071	519
290	15131	467
291	15190	416
292	15235	363
293	15280	311
294	15338	259
295	15387	207
296	15441	155
297	15493	103
298	15539	51
299	15584	0
