iter	Passed	Remaining
0	73	21930
1	131	19544
2	185	18356
3	235	17407
4	281	16633
5	331	16222
6	382	16002
7	429	15679
8	472	15286
9	515	14950
10	560	14715
11	608	14595
12	653	14418
13	707	14455
14	759	14436
15	814	14453
16	871	14510
17	923	14460
18	964	14266
19	1012	14181
20	1058	14066
21	1104	13959
22	1144	13783
23	1188	13670
24	1228	13508
25	1268	13366
26	1303	13176
27	1340	13021
28	1381	12905
29	1426	12835
30	1468	12743
31	1507	12621
32	1547	12521
33	1587	12421
34	1626	12316
35	1659	12170
36	1702	12103
37	1739	11990
38	1785	11950
39	1825	11865
40	1866	11792
41	1898	11663
42	2000	11958
43	2038	11861
44	2075	11763
45	2109	11645
46	2145	11551
47	2182	11459
48	2216	11352
49	2251	11256
50	2289	11178
51	2328	11106
52	2368	11038
53	2405	10959
54	2445	10895
55	2492	10859
56	2533	10801
57	2571	10730
58	2612	10671
59	2653	10615
60	2690	10543
61	2735	10502
62	2774	10437
63	2808	10356
64	2844	10284
65	2882	10218
66	2918	10147
67	2961	10102
68	3002	10052
69	3061	10057
70	3120	10065
71	3172	10046
72	3226	10034
73	3289	10045
74	3341	10025
75	3392	10000
76	3442	9969
77	3491	9938
78	3549	9929
79	3592	9878
80	3645	9856
81	3694	9823
82	3752	9811
83	3791	9749
84	3826	9679
85	3869	9628
86	3921	9601
87	3981	9591
88	4032	9560
89	4080	9521
90	4139	9507
91	4196	9487
92	4246	9451
93	4292	9407
94	4338	9362
95	4390	9330
96	4436	9283
97	4485	9245
98	4528	9194
99	4585	9170
100	4666	9193
101	4845	9405
102	4900	9373
103	4945	9320
104	4995	9277
105	5047	9238
106	5095	9191
107	5161	9175
108	5218	9143
109	5300	9155
110	5343	9098
111	5382	9035
112	5421	8972
113	5461	8910
114	5510	8864
115	5554	8809
116	5597	8755
117	5643	8704
118	5679	8639
119	5722	8583
120	5779	8550
121	5830	8506
122	5874	8454
123	5914	8394
124	5962	8347
125	6003	8290
126	6045	8234
127	6087	8180
128	6135	8132
129	6174	8074
130	6232	8040
131	6312	8034
132	6378	8008
133	6440	7978
134	6519	7968
135	6583	7939
136	6641	7901
137	6691	7854
138	6751	7819
139	6800	7771
140	6851	7726
141	6903	7681
142	6978	7661
143	7027	7613
144	7074	7562
145	7120	7511
146	7162	7454
147	7204	7399
148	7247	7345
149	7286	7286
150	7325	7228
151	7371	7177
152	7414	7123
153	7452	7065
154	7491	7007
155	7529	6950
156	7566	6891
157	7604	6834
158	7642	6777
159	7678	6718
160	7716	6662
161	7753	6604
162	7797	6553
163	7831	6494
164	7862	6433
165	7911	6386
166	7951	6332
167	7994	6281
168	8032	6226
169	8071	6172
170	8105	6114
171	8145	6061
172	8181	6005
173	8232	5961
174	8274	5910
175	8321	5862
176	8371	5817
177	8446	5789
178	8485	5735
179	8522	5681
180	8568	5633
181	8622	5590
182	8685	5553
183	8728	5502
184	8778	5456
185	8833	5414
186	9006	5442
187	9075	5406
188	9138	5366
189	9187	5318
190	9237	5271
191	9275	5217
192	9311	5162
193	9364	5116
194	9403	5063
195	9448	5013
196	9491	4962
197	9529	4909
198	9580	4862
199	9633	4816
200	9669	4762
201	9706	4708
202	9740	4654
203	9777	4601
204	9822	4551
205	9855	4497
206	9894	4445
207	9930	4392
208	9978	4344
209	10010	4290
210	10045	4237
211	10082	4185
212	10118	4132
213	10151	4079
214	10201	4033
215	10246	3984
216	10291	3936
217	10357	3896
218	10404	3848
219	10460	3803
220	10509	3756
221	10562	3711
222	10618	3666
223	10672	3621
224	10724	3574
225	10759	3523
226	10821	3480
227	10863	3430
228	10921	3386
229	10974	3340
230	11018	3291
231	11064	3243
232	11108	3194
233	11149	3144
234	11199	3097
235	11238	3047
236	11273	2996
237	11318	2948
238	11356	2898
239	11401	2850
240	11451	2803
241	11485	2752
242	11533	2705
243	11599	2662
244	11672	2620
245	11726	2574
246	11767	2524
247	11806	2475
248	11846	2426
249	11882	2376
250	11914	2326
251	11957	2277
252	12009	2230
253	12047	2181
254	12084	2132
255	12120	2083
256	12162	2034
257	12201	1986
258	12251	1939
259	12292	1891
260	12329	1842
261	12370	1794
262	12411	1746
263	12447	1697
264	12483	1648
265	12519	1600
266	12565	1553
267	12604	1505
268	12642	1456
269	12678	1408
270	12713	1360
271	12750	1312
272	12790	1264
273	12830	1217
274	12871	1170
275	12913	1122
276	12957	1075
277	12995	1028
278	13036	981
279	13079	934
280	13129	887
281	13195	842
282	13248	795
283	13310	749
284	13381	704
285	13468	659
286	13518	612
287	13575	565
288	13642	519
289	13698	472
290	13754	425
291	13806	378
292	13854	330
293	13903	283
294	13950	236
295	13992	189
296	14058	142
297	14118	94
298	14171	47
299	14239	0
