iter	RMSE
0	0.9662660242
1	0.9295115668
2	0.8945090923
3	0.8609695116
4	0.8322245039
5	0.8062106353
6	0.7831616621
7	0.7617341991
8	0.7426705646
9	0.7252889966
10	0.7097236108
11	0.6946791424
12	0.6812506061
13	0.6701150333
14	0.6604946424
15	0.6516889067
16	0.6433481437
17	0.6360358482
18	0.6290635223
19	0.6224471462
20	0.6172610586
21	0.6121809628
22	0.6079824904
23	0.6038260806
24	0.6001989967
25	0.5975081785
26	0.5945363019
27	0.5922796202
28	0.5899480838
29	0.5877254443
30	0.5856655454
31	0.5841284334
32	0.5826792791
33	0.5815265181
34	0.5804402412
35	0.5790514626
36	0.5779298989
37	0.5768110811
38	0.5759468894
39	0.5750476091
40	0.5743616902
41	0.5735022283
42	0.5727783302
43	0.5721888393
44	0.5715808598
45	0.5709394409
46	0.5704903431
47	0.5700226492
48	0.5695425863
49	0.5691066477
50	0.5687531339
51	0.5683682621
52	0.5679409947
53	0.5675734689
54	0.5672164016
55	0.5668932079
56	0.5665565417
57	0.566274567
58	0.5660902742
59	0.5658510984
60	0.5652463399
61	0.5650220595
62	0.5647929677
63	0.5645744643
64	0.5642270351
65	0.5640057481
66	0.5636302112
67	0.5633456361
68	0.5630323564
69	0.5626934544
70	0.5624070515
71	0.5621210582
72	0.5619139674
73	0.5617734928
74	0.5614531251
75	0.5612659292
76	0.561101113
77	0.5608936104
78	0.5606916169
79	0.5605232483
80	0.5602834108
81	0.5601378174
82	0.5599236973
83	0.5597441568
84	0.5595053536
85	0.5593636679
86	0.559136508
87	0.5588086412
88	0.5587235359
89	0.5585930251
90	0.5584677247
91	0.5583166885
92	0.5581717799
93	0.5580086198
94	0.5577967096
95	0.5575573711
96	0.557373534
97	0.5570638797
98	0.5567999129
99	0.5566546817
100	0.5564526077
101	0.5563177706
102	0.5561683288
103	0.5559216954
104	0.5558204982
105	0.5555935947
106	0.5554451311
107	0.5552642122
108	0.5550931945
109	0.5549446681
110	0.5547156278
111	0.5546083116
112	0.5543548963
113	0.5541128432
114	0.5539364991
115	0.5538073138
116	0.5536975867
117	0.5535301618
118	0.553369768
119	0.5532144303
120	0.553144951
121	0.5529972297
122	0.5529029317
123	0.5526786363
124	0.5525054357
125	0.5523655448
126	0.5522319625
127	0.5520035251
128	0.55180736
129	0.5517077489
130	0.551487569
131	0.5513945799
132	0.5512799217
133	0.5510401714
134	0.5509009226
135	0.5507432698
136	0.55061301
137	0.5504802076
138	0.5501873702
139	0.5500871545
140	0.5499888303
141	0.5498537399
142	0.5497113286
143	0.5495661848
144	0.5493332846
145	0.5492079763
146	0.5491170121
147	0.5489512249
148	0.5487555881
149	0.5485985897
150	0.5483049345
151	0.5481263237
152	0.5479692193
153	0.5477785913
154	0.5476248604
155	0.5473391504
156	0.5471375483
157	0.546965488
158	0.5468811204
159	0.5467348102
160	0.5464224872
161	0.5462932907
162	0.5462049962
163	0.5460282477
164	0.5457883418
165	0.5456353343
166	0.5455612903
167	0.5453824431
168	0.5452305415
169	0.5451076453
170	0.545003349
171	0.5449077457
172	0.5446755717
173	0.5444760352
174	0.5443322288
175	0.5441689163
176	0.5440995322
177	0.5439363349
178	0.5437542409
179	0.5436711743
180	0.5435183456
181	0.5433760798
182	0.5432661312
183	0.5431200141
184	0.5429452867
185	0.5428823253
186	0.5427545979
187	0.5426413793
188	0.5424715821
189	0.5422957901
190	0.542125109
191	0.5419448078
192	0.5419353036
193	0.5417446597
194	0.5415585475
195	0.5413968619
196	0.5412684152
197	0.5410803953
198	0.5408031818
199	0.5405955618
200	0.5404134511
201	0.5402110823
202	0.540119667
203	0.5399918739
204	0.5397907255
205	0.5396582294
206	0.5394919768
207	0.5391904903
208	0.5388900186
209	0.5386585077
210	0.5386463264
211	0.5385025756
212	0.5383914116
213	0.5381986381
214	0.5380383807
215	0.5379025434
216	0.5377472003
217	0.5376790783
218	0.5376010573
219	0.5374576187
220	0.5373864001
221	0.5373581235
222	0.5371794548
223	0.5369787269
224	0.536843527
225	0.5366748366
226	0.5364645784
227	0.5363306936
228	0.5361604623
229	0.5359729024
230	0.5358476473
231	0.5357155887
232	0.5356463544
233	0.5353544131
234	0.5351958446
235	0.535074785
236	0.5349530284
237	0.5348013058
238	0.5346722108
239	0.5344651352
240	0.534345618
241	0.5342030001
242	0.5340449546
243	0.5340045835
244	0.533932668
245	0.5338194645
246	0.5336080397
247	0.5335057228
248	0.5333770756
249	0.5333605057
250	0.5330900233
251	0.5329122461
252	0.5328150992
253	0.5325765551
254	0.5324446144
255	0.5322082932
256	0.5320689418
257	0.5319403423
258	0.5317530755
259	0.5316229066
260	0.5314773544
261	0.531312817
262	0.531209403
263	0.5311959216
264	0.5310232821
265	0.5309635462
266	0.530861387
267	0.5307889575
268	0.5306903706
269	0.5305835321
270	0.5304096695
271	0.5303012823
272	0.5301931517
273	0.5300494623
274	0.5298830716
275	0.5296888286
276	0.5295491491
277	0.529433878
278	0.5292489568
279	0.5291216508
280	0.5289111206
281	0.5286920745
282	0.5283885936
283	0.5282694427
284	0.5281160127
285	0.5279518
286	0.5277835
287	0.5276862971
288	0.527548963
289	0.5273554833
290	0.5272528836
291	0.5269458875
292	0.5267507258
293	0.5266047261
294	0.52659801
295	0.5263748222
296	0.526185935
297	0.5258655567
298	0.5257582018
299	0.5254974409
