iter	Passed	Remaining
0	52	15735
1	101	15196
2	165	16379
3	213	15828
4	266	15707
5	316	15518
6	365	15317
7	410	14988
8	457	14805
9	500	14520
10	563	14791
11	607	14568
12	656	14482
13	705	14402
14	759	14428
15	810	14389
16	878	14631
17	944	14798
18	994	14703
19	1044	14618
20	1100	14626
21	1157	14626
22	1201	14464
23	1256	14450
24	1304	14348
25	1357	14306
26	1399	14151
27	1451	14096
28	1499	14007
29	1546	13915
30	1589	13792
31	1651	13832
32	1698	13743
33	1796	14056
34	1864	14120
35	1920	14087
36	1977	14057
37	2048	14125
38	2180	14590
39	2292	14898
40	2362	14922
41	2429	14922
42	2482	14838
43	2548	14828
44	2602	14745
45	2661	14698
46	2728	14688
47	2799	14698
48	2868	14692
49	2932	14660
50	2990	14600
51	3034	14474
52	3094	14421
53	3158	14389
54	3223	14360
55	3282	14301
56	3359	14324
57	3408	14222
58	3475	14196
59	3521	14087
60	3571	13995
61	3748	14388
62	4025	15143
63	4139	15265
64	4202	15195
65	4267	15129
66	4341	15098
67	4404	15028
68	4455	14916
69	4517	14844
70	4581	14777
71	4636	14683
72	4701	14618
73	4768	14563
74	4820	14462
75	4887	14404
76	4946	14326
77	4999	14230
78	5074	14194
79	5158	14186
80	5216	14103
81	5278	14032
82	5348	13984
83	5403	13894
84	5468	13831
85	5526	13750
86	5578	13657
87	5671	13662
88	5732	13589
89	5798	13530
90	5878	13501
91	5964	13483
92	6039	13442
93	6110	13391
94	6166	13307
95	6255	13292
96	6330	13248
97	6394	13180
98	6447	13089
99	6490	12981
100	6541	12888
101	6588	12790
102	6654	12727
103	6708	12642
104	6765	12565
105	6817	12477
106	6872	12396
107	6930	12320
108	6982	12236
109	7038	12157
110	7089	12071
111	7149	12000
112	7203	11920
113	7268	11858
114	7342	11812
115	7384	11714
116	7430	11621
117	7476	11531
118	7520	11439
119	7586	11379
120	7669	11346
121	7717	11260
122	7766	11176
123	7818	11097
124	7866	11013
125	7912	10926
126	7960	10843
127	8007	10760
128	8060	10684
129	8111	10607
130	8161	10528
131	8209	10448
132	8274	10389
133	8313	10298
134	8374	10235
135	8425	10159
136	8463	10069
137	8506	9986
138	8553	9906
139	8596	9824
140	8673	9780
141	8728	9711
142	8771	9630
143	8812	9547
144	8860	9471
145	8920	9409
146	8967	9333
147	9021	9264
148	9073	9195
149	9120	9120
150	9168	9047
151	9226	8983
152	9284	8920
153	9336	8851
154	9383	8778
155	9431	8705
156	9476	8631
157	9515	8552
158	9578	8494
159	9640	8435
160	9678	8355
161	9718	8278
162	9767	8209
163	9813	8137
164	9866	8072
165	9927	8013
166	9965	7936
167	10016	7870
168	10071	7806
169	10115	7735
170	10165	7668
171	10213	7600
172	10260	7532
173	10306	7463
174	10346	7390
175	10390	7320
176	10430	7248
177	10476	7180
178	10520	7111
179	10567	7044
180	10620	6982
181	10672	6919
182	10722	6855
183	10771	6790
184	10829	6731
185	10872	6664
186	10919	6598
187	10960	6529
188	11009	6465
189	11124	6440
190	11292	6444
191	11358	6389
192	11424	6333
193	11514	6291
194	11574	6232
195	11640	6176
196	11707	6120
197	11787	6072
198	11839	6009
199	11897	5948
200	11938	5880
201	12134	5886
202	12256	5856
203	12354	5813
204	12402	5747
205	12464	5687
206	12526	5628
207	12584	5566
208	12636	5502
209	12692	5439
210	12749	5377
211	12803	5314
212	12861	5253
213	12914	5189
214	12975	5129
215	13038	5070
216	13108	5013
217	13165	4952
218	13225	4891
219	13273	4826
220	13327	4764
221	13405	4709
222	13466	4649
223	13517	4586
224	13572	4524
225	13636	4465
226	13692	4403
227	13749	4341
228	13806	4280
229	13853	4216
230	13905	4153
231	13973	4095
232	14039	4037
233	14088	3973
234	14149	3913
235	14215	3855
236	14257	3789
237	14314	3729
238	14366	3666
239	14425	3606
240	14494	3548
241	14562	3490
242	14629	3431
243	14691	3371
244	14748	3310
245	14815	3252
246	14874	3191
247	14926	3129
248	14979	3068
249	15054	3010
250	15112	2950
251	15185	2892
252	15242	2831
253	15297	2770
254	15356	2710
255	15409	2648
256	15473	2589
257	15536	2529
258	15607	2470
259	15677	2411
260	15726	2349
261	15786	2289
262	15839	2228
263	15893	2167
264	15963	2108
265	16019	2047
266	16087	1988
267	16151	1928
268	16201	1867
269	16260	1806
270	16311	1745
271	16369	1685
272	16432	1625
273	16488	1564
274	16557	1505
275	16608	1444
276	16671	1384
277	16730	1323
278	16782	1263
279	16832	1202
280	16884	1141
281	16937	1081
282	17002	1021
283	17073	961
284	17123	901
285	17182	841
286	17245	781
287	17304	721
288	17355	660
289	17402	600
290	17456	539
291	17502	479
292	17559	419
293	17619	359
294	17670	299
295	17720	239
296	17787	179
297	17834	119
298	17880	59
299	17939	0
