iter	RMSE
0	0.9511035219
1	0.9040221568
2	0.8602672605
3	0.8217527246
4	0.7867444351
5	0.7535687231
6	0.7235725187
7	0.6958996814
8	0.6704192976
9	0.6474731345
10	0.6265991495
11	0.6072405663
12	0.5905871553
13	0.5745572888
14	0.5596829176
15	0.546734715
16	0.5359364963
17	0.5250835891
18	0.5157342579
19	0.507784869
20	0.5002591696
21	0.4935411234
22	0.4878674451
23	0.4826621713
24	0.4778875871
25	0.4740481027
26	0.4703013607
27	0.4665183913
28	0.4634772173
29	0.4609540279
30	0.4587658778
31	0.4563327737
32	0.454209138
33	0.4523711259
34	0.4508815076
35	0.4495806407
36	0.4481337525
37	0.4468858913
38	0.4456178577
39	0.4446539253
40	0.4436180788
41	0.4427401524
42	0.4419549273
43	0.4411919429
44	0.4405284119
45	0.4398912393
46	0.439185468
47	0.4386123876
48	0.4380961508
49	0.437655156
50	0.4370515561
51	0.4365867753
52	0.4362671232
53	0.4358504526
54	0.435459193
55	0.4351724132
56	0.4347679797
57	0.4344295011
58	0.4340644874
59	0.4338364237
60	0.4336120333
61	0.4334127213
62	0.4332023368
63	0.4329180216
64	0.432624827
65	0.4324179317
66	0.4321420283
67	0.43190142
68	0.4316007945
69	0.4313999038
70	0.4312263481
71	0.4310071757
72	0.4307294788
73	0.4304865577
74	0.4302755239
75	0.4300373955
76	0.4298019411
77	0.4295533093
78	0.4293636513
79	0.4292223095
80	0.4289597523
81	0.4287358442
82	0.4285226386
83	0.4283884237
84	0.4282122736
85	0.4279733576
86	0.4277312515
87	0.4275708894
88	0.4273497142
89	0.4271196916
90	0.4269290763
91	0.4266772762
92	0.4264616898
93	0.4263623376
94	0.4261906209
95	0.4260858375
96	0.4259200658
97	0.4257808302
98	0.4256808039
99	0.4254497734
100	0.4252278424
101	0.4250647859
102	0.4248913558
103	0.4247835556
104	0.4245916608
105	0.4244298717
106	0.4242536066
107	0.4240852391
108	0.4239520026
109	0.4238622086
110	0.4236936918
111	0.4235132482
112	0.4233392492
113	0.4231889353
114	0.4230762817
115	0.4229091204
116	0.4227834737
117	0.422676563
118	0.4225878351
119	0.4224504743
120	0.422360346
121	0.4221188869
122	0.4219130385
123	0.4217659781
124	0.4216212059
125	0.4214154781
126	0.421245131
127	0.4210846628
128	0.4209950294
129	0.4208293997
130	0.4206579582
131	0.420526454
132	0.4204079305
133	0.4203007034
134	0.4201818122
135	0.4199966315
136	0.4198489049
137	0.4197092938
138	0.4195564696
139	0.4194703845
140	0.4192974523
141	0.4191969184
142	0.4189619596
143	0.4188310536
144	0.4187620882
145	0.4185455363
146	0.4184206965
147	0.4182359362
148	0.418109634
149	0.4178855031
150	0.4178092519
151	0.4177085834
152	0.4175409915
153	0.4173968213
154	0.4172319634
155	0.4171009289
156	0.4170775901
157	0.4170255561
158	0.416964048
159	0.4168133116
160	0.4166298704
161	0.4165715879
162	0.4164538445
163	0.4163988044
164	0.416297291
165	0.4161459339
166	0.4160139858
167	0.4158667467
168	0.415747536
169	0.4156228113
170	0.4155107382
171	0.4153912013
172	0.4151904612
173	0.415033984
174	0.4149015775
175	0.4147009543
176	0.4145331156
177	0.4144451128
178	0.41441959
179	0.4142246778
180	0.4140381987
181	0.4138919997
182	0.4137482658
183	0.4136090795
184	0.4134441989
185	0.4133614075
186	0.413244211
187	0.4130212357
188	0.4128459893
189	0.4126657714
190	0.412490422
191	0.4122927448
192	0.4121964392
193	0.4120634403
194	0.4119532103
195	0.4118210096
196	0.4116360205
197	0.4115089017
198	0.4113582986
199	0.4112063321
200	0.4111116457
201	0.4109935319
202	0.4108227856
203	0.4106622602
204	0.410486235
205	0.4103370633
206	0.410137265
207	0.4099967804
208	0.409868331
209	0.4097526344
210	0.4096150808
211	0.4095138688
212	0.4093576104
213	0.4091073674
214	0.4090000926
215	0.4088267399
216	0.4086364859
217	0.4085900568
218	0.4084269189
219	0.408241984
220	0.4080910993
221	0.4078972902
222	0.4077745865
223	0.4076150697
224	0.4075930515
225	0.4075135755
226	0.4073550298
227	0.4072998184
228	0.4072215321
229	0.4071082787
230	0.4070397071
231	0.4068688451
232	0.406833817
233	0.4067468552
234	0.4065257308
235	0.4063851916
236	0.4062113487
237	0.4061287658
238	0.406103341
239	0.4059512736
240	0.4058536508
241	0.4057338664
242	0.4056052087
243	0.4054295314
244	0.4053219534
245	0.4051626887
246	0.4049886386
247	0.4048412401
248	0.4047234474
249	0.4045009181
250	0.4044244043
251	0.4042825277
252	0.4042094163
253	0.4040387877
254	0.4039430363
255	0.4037540239
256	0.4034738847
257	0.4034035134
258	0.4032358709
259	0.4030633936
260	0.4029690095
261	0.4028905872
262	0.402793038
263	0.4026672759
264	0.4025222469
265	0.4023767118
266	0.4022231739
267	0.4021750935
268	0.4020767912
269	0.4020140025
270	0.401929394
271	0.4018404359
272	0.4017006101
273	0.401491076
274	0.4013316825
275	0.4012322977
276	0.4012085356
277	0.4011503477
278	0.4010621925
279	0.4008960142
280	0.4007114127
281	0.4006819692
282	0.4004578163
283	0.4002658551
284	0.4001392124
285	0.4000220528
286	0.3999630201
287	0.3998726528
288	0.399791883
289	0.3997354631
290	0.3995830349
291	0.3994185879
292	0.3993041124
293	0.3991749615
294	0.399050095
295	0.3989736087
296	0.3988828076
297	0.3987580882
298	0.3986746968
299	0.3985382216
