iter	Passed	Remaining
0	37	11293
1	79	11914
2	116	11574
3	148	10985
4	183	10837
5	223	10944
6	267	11186
7	313	11439
8	351	11358
9	393	11423
10	431	11336
11	474	11399
12	524	11570
13	566	11581
14	607	11538
15	650	11545
16	689	11483
17	737	11560
18	842	12467
19	908	12718
20	949	12608
21	986	12465
22	1021	12300
23	1061	12203
24	1098	12088
25	1136	11977
26	1168	11810
27	1200	11665
28	1236	11558
29	1274	11474
30	1312	11392
31	1350	11309
32	1382	11181
33	1417	11087
34	1456	11024
35	1498	10987
36	1550	11018
37	1610	11101
38	1652	11056
39	1696	11027
40	1739	10988
41	1772	10888
42	1807	10801
43	1841	10715
44	1874	10624
45	1914	10570
46	1949	10494
47	1983	10415
48	2015	10324
49	2074	10373
50	2112	10315
51	2153	10270
52	2188	10200
53	2225	10138
54	2262	10078
55	2302	10031
56	2340	9977
57	2387	9961
58	2430	9929
59	2484	9937
60	2527	9901
61	2573	9878
62	2612	9829
63	2655	9791
64	2691	9729
65	2731	9684
66	2769	9632
67	2804	9566
68	2841	9514
69	2879	9461
70	2914	9401
71	2954	9355
72	2989	9295
73	3037	9276
74	3092	9276
75	3140	9255
76	3193	9247
77	3225	9179
78	3259	9118
79	3297	9069
80	3332	9009
81	3369	8956
82	3405	8904
83	3442	8852
84	3480	8803
85	3517	8753
86	3555	8705
87	3593	8656
88	3650	8654
89	3714	8667
90	3764	8645
91	3819	8634
92	3860	8592
93	3898	8543
94	3943	8508
95	3977	8451
96	4015	8404
97	4053	8354
98	4087	8299
99	4128	8256
100	4178	8231
101	4215	8183
102	4287	8200
103	4331	8164
104	4377	8129
105	4422	8093
106	4471	8065
107	4533	8059
108	4580	8026
109	4617	7975
110	4658	7931
111	4700	7889
112	4745	7853
113	4788	7812
114	4828	7767
115	4874	7731
116	4909	7679
117	4947	7630
118	4983	7580
119	5021	7532
120	5067	7496
121	5113	7460
122	5168	7437
123	5212	7398
124	5268	7375
125	5317	7342
126	5360	7302
127	5396	7251
128	5436	7206
129	5473	7157
130	5509	7107
131	5544	7056
132	5583	7010
133	5621	6963
134	5655	6911
135	5693	6866
136	5729	6817
137	5775	6780
138	5819	6740
139	5854	6691
140	5893	6645
141	5929	6597
142	5964	6548
143	5997	6496
144	6028	6444
145	6068	6400
146	6106	6355
147	6138	6304
148	6174	6257
149	6210	6210
150	6251	6168
151	6289	6123
152	6319	6071
153	6358	6028
154	6391	5979
155	6429	5934
156	6464	5887
157	6498	5840
158	6533	5793
159	6563	5742
160	6596	5695
161	6630	5648
162	6675	5610
163	6714	5568
164	6754	5526
165	6798	5487
166	6845	5451
167	6896	5418
168	6946	5384
169	6990	5345
170	7029	5302
171	7071	5262
172	7109	5219
173	7146	5174
174	7183	5130
175	7213	5082
176	7243	5033
177	7281	4990
178	7313	4943
179	7358	4905
180	7395	4862
181	7441	4824
182	7479	4782
183	7521	4742
184	7559	4698
185	7598	4656
186	7634	4613
187	7674	4571
188	7706	4526
189	7741	4481
190	7790	4445
191	7856	4419
192	7891	4374
193	7929	4332
194	7967	4290
195	8005	4247
196	8047	4207
197	8080	4162
198	8114	4118
199	8153	4076
200	8190	4034
201	8225	3990
202	8264	3949
203	8298	3905
204	8334	3862
205	8369	3819
206	8404	3775
207	8443	3734
208	8478	3691
209	8529	3655
210	8570	3614
211	8611	3574
212	8653	3534
213	8700	3496
214	8746	3458
215	8787	3417
216	8830	3377
217	8870	3336
218	8907	3294
219	8942	3251
220	8979	3209
221	9024	3170
222	9063	3129
223	9098	3087
224	9137	3045
225	9167	3001
226	9202	2959
227	9236	2916
228	9273	2875
229	9312	2834
230	9350	2792
231	9385	2751
232	9427	2710
233	9462	2668
234	9493	2625
235	9538	2586
236	9583	2547
237	9629	2508
238	9668	2467
239	9711	2427
240	9757	2388
241	9804	2349
242	9859	2312
243	9915	2275
244	9973	2238
245	10018	2199
246	10059	2158
247	10108	2119
248	10152	2079
249	10194	2038
250	10231	1997
251	10273	1956
252	10308	1914
253	10337	1872
254	10372	1830
255	10416	1790
256	10451	1748
257	10487	1707
258	10527	1666
259	10562	1625
260	10595	1583
261	10628	1541
262	10669	1501
263	10710	1460
264	10742	1418
265	10775	1377
266	10813	1336
267	10850	1295
268	10885	1254
269	10933	1214
270	10981	1175
271	11024	1134
272	11067	1094
273	11111	1054
274	11147	1013
275	11190	973
276	11227	932
277	11266	891
278	11302	850
279	11332	809
280	11365	768
281	11404	727
282	11437	687
283	11472	646
284	11511	605
285	11541	564
286	11577	524
287	11613	483
288	11650	443
289	11687	403
290	11744	363
291	11793	323
292	11834	282
293	11873	242
294	11904	201
295	11949	161
296	11984	121
297	12023	80
298	12072	40
299	12133	0
