iter	RMSE
0	0.9580606158
1	0.9097342328
2	0.86581718
3	0.8236333464
4	0.7865153663
5	0.7514270505
6	0.7211725701
7	0.6935174583
8	0.6683448329
9	0.6449706286
10	0.6234464619
11	0.6036459072
12	0.5846504734
13	0.5685127206
14	0.5539310078
15	0.5413611279
16	0.5292319022
17	0.5182596085
18	0.5084673544
19	0.4995334466
20	0.4918071099
21	0.4846342289
22	0.4779113392
23	0.471785849
24	0.4664802238
25	0.4616394427
26	0.4569664129
27	0.4532622935
28	0.4500264852
29	0.4471825963
30	0.4448988055
31	0.4423632566
32	0.4402669682
33	0.4382165554
34	0.4365278903
35	0.4346566478
36	0.433087486
37	0.431557589
38	0.4301704687
39	0.4289568539
40	0.4279891226
41	0.4269223272
42	0.4260491034
43	0.425110661
44	0.424430436
45	0.4237784733
46	0.4230374372
47	0.4222856257
48	0.4216973753
49	0.421173878
50	0.4206113069
51	0.4200523444
52	0.4195988046
53	0.4191305458
54	0.4187342037
55	0.4182577062
56	0.4178722398
57	0.417504271
58	0.4171039598
59	0.416670319
60	0.4163167684
61	0.416056251
62	0.4158057421
63	0.4154848377
64	0.4151996029
65	0.4149444908
66	0.4147571971
67	0.4144890127
68	0.4141611209
69	0.4139648348
70	0.4137545416
71	0.4135557656
72	0.4133478323
73	0.4131280955
74	0.4127825012
75	0.412401929
76	0.4122043355
77	0.4120113441
78	0.4117513962
79	0.4115781623
80	0.4113759785
81	0.4111319361
82	0.4109240827
83	0.4106289187
84	0.410470476
85	0.4103146636
86	0.4101782244
87	0.4099710726
88	0.4096772744
89	0.4095099795
90	0.4092736763
91	0.409071548
92	0.4088776524
93	0.4086837771
94	0.4084979987
95	0.4083349195
96	0.4081694382
97	0.4079895938
98	0.4078775688
99	0.407772615
100	0.4076742217
101	0.4073865537
102	0.4072575593
103	0.4071037042
104	0.4069151203
105	0.4066753891
106	0.4064176657
107	0.4061600592
108	0.405948427
109	0.4058118822
110	0.4055964364
111	0.4054748401
112	0.4052687969
113	0.405136476
114	0.4050429877
115	0.4048596867
116	0.4047297532
117	0.4045829169
118	0.404369124
119	0.4042159304
120	0.4040352656
121	0.4038598203
122	0.4037504609
123	0.4036316277
124	0.4034881741
125	0.4032760416
126	0.4031689005
127	0.4030373188
128	0.4028189453
129	0.4026954098
130	0.4025248978
131	0.4023721125
132	0.4022508722
133	0.4020961097
134	0.401956647
135	0.4017818037
136	0.4017170011
137	0.4015040771
138	0.4013143616
139	0.4011788601
140	0.4010145342
141	0.4008183301
142	0.4006001963
143	0.4004698174
144	0.400294303
145	0.4001846316
146	0.4000823693
147	0.3998595683
148	0.3996811812
149	0.3995957993
150	0.3994441444
151	0.3992915233
152	0.3991602758
153	0.3989840584
154	0.3988419175
155	0.3986697098
156	0.3985120533
157	0.3983933486
158	0.398200905
159	0.3980929283
160	0.3979559911
161	0.3977869004
162	0.3976274381
163	0.3975637411
164	0.3972940117
165	0.3971524263
166	0.3970420029
167	0.396849582
168	0.3966912972
169	0.3965616063
170	0.3964629447
171	0.3962600514
172	0.3961316542
173	0.3958498511
174	0.3956674311
175	0.3954843973
176	0.3953349775
177	0.3951468545
178	0.3950130073
179	0.394911464
180	0.394767856
181	0.3946722766
182	0.3945256037
183	0.3944041729
184	0.3943139369
185	0.3941813722
186	0.3940487207
187	0.3939292834
188	0.3937391763
189	0.3935876178
190	0.3933659378
191	0.3932674378
192	0.3931050706
193	0.3929077949
194	0.3928026254
195	0.3926896168
196	0.3925801756
197	0.3924176074
198	0.3923175543
199	0.3921783116
200	0.3920711009
201	0.3919383123
202	0.3917700593
203	0.3915948001
204	0.3914188648
205	0.3912935768
206	0.3910904069
207	0.39098546
208	0.3908359877
209	0.3907213573
210	0.390527513
211	0.3903411232
212	0.390247943
213	0.3901308901
214	0.3900154119
215	0.3898571724
216	0.3896652405
217	0.389576147
218	0.3895106257
219	0.389423197
220	0.3892536591
221	0.3891746224
222	0.3890185641
223	0.3888866102
224	0.388785718
225	0.3886606559
226	0.3884731382
227	0.388338307
228	0.3881760684
229	0.3879781266
230	0.3877939966
231	0.3876469021
232	0.3875468906
233	0.3873462472
234	0.3872310809
235	0.3870446165
236	0.3869203938
237	0.3867902961
238	0.3866703896
239	0.3866185745
240	0.3865177202
241	0.3864134707
242	0.386208995
243	0.386053205
244	0.3859877223
245	0.385871122
246	0.3857491413
247	0.3856211029
248	0.3854520752
249	0.3853860314
250	0.3851589976
251	0.3849058015
252	0.3847596916
253	0.3846451288
254	0.3844769908
255	0.3843179187
256	0.384234828
257	0.3840563422
258	0.383880951
259	0.383802555
260	0.3837051042
261	0.3836359502
262	0.3835716345
263	0.3835066946
264	0.3834254457
265	0.383242454
266	0.3831222594
267	0.3829786171
268	0.3828012228
269	0.3827237545
270	0.3826757146
271	0.3824941458
272	0.3823443079
273	0.382178843
274	0.3820669283
275	0.3819472232
276	0.3818762649
277	0.3818062871
278	0.3816628644
279	0.3815512449
280	0.3815130598
281	0.3814118078
282	0.3812638463
283	0.381175274
284	0.3810747866
285	0.3809201945
286	0.3807796299
287	0.3806284414
288	0.3804132013
289	0.3803146349
290	0.3801586011
291	0.3800633282
292	0.3799093825
293	0.3797792882
294	0.3796526726
295	0.3795365103
296	0.3794093978
297	0.3792395727
298	0.3791784679
299	0.3790982738
