iter	RMSE
0	0.9699967663
1	0.9358754067
2	0.9040273821
3	0.8752921329
4	0.8483291457
5	0.8240355818
6	0.8026020386
7	0.7827369926
8	0.7656406777
9	0.7506606853
10	0.7361797906
11	0.7238351322
12	0.7125021273
13	0.7023915549
14	0.6932288971
15	0.6849626293
16	0.6767080771
17	0.6704293796
18	0.6642913349
19	0.6593053493
20	0.6544272376
21	0.6500845991
22	0.6465533971
23	0.6427248669
24	0.6397524602
25	0.6367480466
26	0.6337679011
27	0.6315520221
28	0.6296765417
29	0.627839411
30	0.6260759275
31	0.624626149
32	0.6229520502
33	0.6217318705
34	0.6204907147
35	0.6193812869
36	0.618317077
37	0.6173366433
38	0.6164638424
39	0.6156794674
40	0.6148891963
41	0.6141865508
42	0.6135529506
43	0.6129959719
44	0.6125461243
45	0.6119575816
46	0.6115496043
47	0.6110583164
48	0.610579717
49	0.6101559511
50	0.6096719356
51	0.6092394113
52	0.6089404056
53	0.6085363536
54	0.6082552862
55	0.6079437048
56	0.6076494804
57	0.60734897
58	0.6070448158
59	0.6066613972
60	0.6063983204
61	0.6060720912
62	0.6057237522
63	0.6054479315
64	0.605078739
65	0.60479572
66	0.6046553519
67	0.6043352437
68	0.6040995892
69	0.6038866678
70	0.6036626712
71	0.603462685
72	0.6031307585
73	0.6028998124
74	0.6027505384
75	0.6024967795
76	0.6023241408
77	0.6020563935
78	0.6018988695
79	0.6016756902
80	0.6015120632
81	0.6012201642
82	0.6009317635
83	0.60074173
84	0.6005613286
85	0.6004355003
86	0.6002269001
87	0.6000188898
88	0.5997571644
89	0.5995026171
90	0.5993411103
91	0.5991358459
92	0.5990473839
93	0.5988951899
94	0.5987244616
95	0.5985073899
96	0.5983663861
97	0.5982281828
98	0.5980785722
99	0.5978385618
100	0.5976582162
101	0.5974861882
102	0.5972706039
103	0.5969979459
104	0.5969080036
105	0.5966780131
106	0.5965691561
107	0.5964198943
108	0.5961566902
109	0.5959811712
110	0.5958046081
111	0.5956773787
112	0.5955896345
113	0.5953045987
114	0.5950615922
115	0.594900955
116	0.5947725661
117	0.5945957916
118	0.5943709967
119	0.5941468386
120	0.5940295097
121	0.5937595795
122	0.5935929113
123	0.5934759754
124	0.5933283038
125	0.5932469559
126	0.5930793328
127	0.5928199265
128	0.5926794823
129	0.5925322479
130	0.5924368546
131	0.592271501
132	0.5921044658
133	0.5918631851
134	0.5917057897
135	0.5915253264
136	0.5914249177
137	0.5912848225
138	0.5911256843
139	0.5909558645
140	0.5908262831
141	0.5906836719
142	0.5904580279
143	0.5903151342
144	0.5900531062
145	0.5899124321
146	0.5896674116
147	0.5894085188
148	0.5892988876
149	0.589121192
150	0.5889308781
151	0.5887863344
152	0.5886352491
153	0.5884517433
154	0.5883060456
155	0.5880233364
156	0.5878120485
157	0.5876532854
158	0.5875205525
159	0.5873367169
160	0.5871653018
161	0.5869790153
162	0.5867627219
163	0.5865834808
164	0.5863977937
165	0.5861941431
166	0.5859698639
167	0.585888303
168	0.5856250267
169	0.585505667
170	0.5853100159
171	0.5851091314
172	0.5848730252
173	0.5845726465
174	0.5844060369
175	0.5842612791
176	0.5840781327
177	0.5838705862
178	0.5835889895
179	0.5833788837
180	0.5831917937
181	0.5829864521
182	0.5827573706
183	0.5826080135
184	0.5824658089
185	0.5822497603
186	0.5820155254
187	0.5818151547
188	0.5816984165
189	0.581418839
190	0.5813129722
191	0.5811026726
192	0.5808762421
193	0.5807330937
194	0.5804829762
195	0.5803047822
196	0.5800292596
197	0.5798125233
198	0.5796235159
199	0.5795334291
200	0.5794203974
201	0.5791575124
202	0.5789678773
203	0.5787968851
204	0.5785913417
205	0.5782549769
206	0.5781263428
207	0.5777952239
208	0.5776456362
209	0.5774576264
210	0.5772534089
211	0.5770748958
212	0.5768915576
213	0.5767021235
214	0.5765233173
215	0.5764013746
216	0.5761847554
217	0.5759321833
218	0.5757182764
219	0.5755486603
220	0.575247806
221	0.5751032784
222	0.5748480787
223	0.5746112982
224	0.5744729663
225	0.5743599539
226	0.5741555952
227	0.5740055355
228	0.5737677562
229	0.5735170504
230	0.5731685063
231	0.5729677719
232	0.57271534
233	0.5725091566
234	0.5723721
235	0.5721892788
236	0.5718609248
237	0.5716320402
238	0.5714232945
239	0.5711455826
240	0.5709678043
241	0.5707616069
242	0.5706162319
243	0.5703721555
244	0.570263728
245	0.5701151944
246	0.5698763333
247	0.5696647846
248	0.5694916157
249	0.569399955
250	0.5692059969
251	0.5689789268
252	0.5688407725
253	0.5686125666
254	0.5684911298
255	0.5683278465
256	0.5682206582
257	0.5680518693
258	0.5678549791
259	0.567637606
260	0.5675083401
261	0.5673112295
262	0.5670348812
263	0.566849368
264	0.5666770535
265	0.5665138235
266	0.5663177765
267	0.5661006742
268	0.5658730081
269	0.5656799424
270	0.5654656398
271	0.5653425998
272	0.5651584218
273	0.5650301423
274	0.564880991
275	0.5646762946
276	0.5645560725
277	0.5644216133
278	0.5642759382
279	0.5641139987
280	0.5638332705
281	0.563676834
282	0.5635480705
283	0.563455123
284	0.5632318585
285	0.5631308638
286	0.5629335845
287	0.5627677534
288	0.5626613633
289	0.5624322605
290	0.5623649053
291	0.562225488
292	0.5620785962
293	0.5618083279
294	0.561673712
295	0.5615875275
296	0.561369192
297	0.5612139918
298	0.561017132
299	0.5608278198
