iter	Passed	Remaining
0	46	14016
1	95	14174
2	150	14948
3	203	15044
4	250	14759
5	297	14580
6	341	14303
7	393	14346
8	447	14455
9	501	14544
10	543	14284
11	586	14065
12	637	14077
13	688	14063
14	740	14078
15	793	14076
16	839	13977
17	887	13901
18	933	13809
19	994	13923
20	1041	13839
21	1088	13749
22	1134	13666
23	1180	13578
24	1231	13541
25	1281	13503
26	1325	13398
27	1373	13343
28	1413	13208
29	1462	13164
30	1515	13150
31	1561	13077
32	1607	13002
33	1649	12905
34	1708	12934
35	1758	12893
36	1809	12865
37	1857	12806
38	1907	12764
39	1960	12742
40	1999	12630
41	2059	12650
42	2106	12589
43	2145	12484
44	2202	12483
45	2250	12425
46	2306	12415
47	2359	12389
48	2410	12345
49	2456	12284
50	2503	12223
51	2547	12150
52	2593	12087
53	2641	12034
54	2690	11984
55	2732	11907
56	2782	11863
57	2832	11817
58	2873	11738
59	2919	11678
60	2967	11625
61	3019	11592
62	3065	11532
63	3135	11563
64	3183	11510
65	3225	11436
66	3270	11374
67	3316	11314
68	3360	11251
69	3403	11184
70	3455	11145
71	3504	11098
72	3548	11034
73	3590	10964
74	3636	10909
75	3690	10876
76	3739	10830
77	3783	10769
78	3835	10729
79	3885	10684
80	3944	10663
81	3989	10606
82	4047	10583
83	4098	10539
84	4154	10508
85	4216	10491
86	4336	10616
87	4404	10610
88	4455	10562
89	4498	10495
90	4552	10454
91	4598	10396
92	4646	10342
93	4705	10311
94	4755	10261
95	4802	10205
96	4857	10166
97	4912	10124
98	4959	10070
99	5011	10023
100	5061	9972
101	5100	9900
102	5144	9839
103	5190	9781
104	5244	9740
105	5329	9754
106	5395	9731
107	5459	9706
108	5569	9759
109	5735	9906
110	5904	10053
111	6030	10122
112	6138	10158
113	6288	10260
114	6382	10268
115	6518	10339
116	6711	10496
117	6764	10433
118	6812	10361
119	6883	10325
120	6956	10290
121	7010	10229
122	7076	10182
123	7125	10114
124	7180	10053
125	7226	9979
126	7284	9923
127	7346	9871
128	7391	9797
129	7442	9732
130	7538	9725
131	7648	9733
132	7703	9672
133	7753	9604
134	7797	9529
135	7852	9469
136	7912	9414
137	7960	9344
138	8009	9276
139	8091	9247
140	8139	9178
141	8185	9107
142	8235	9041
143	8284	8974
144	8340	8915
145	8389	8849
146	8477	8823
147	8593	8825
148	8657	8773
149	8706	8706
150	8750	8634
151	8796	8565
152	8845	8498
153	8891	8429
154	8945	8368
155	8996	8304
156	9042	8236
157	9096	8175
158	9148	8112
159	9202	8052
160	9253	7988
161	9309	7930
162	9370	7875
163	9430	7820
164	9482	7758
165	9540	7701
166	9600	7645
167	9675	7602
168	9734	7545
169	9793	7489
170	9839	7423
171	9895	7364
172	10115	7425
173	10180	7372
174	10242	7316
175	10299	7256
176	10353	7194
177	10398	7127
178	10457	7068
179	10505	7003
180	10559	6942
181	10609	6878
182	10666	6819
183	10718	6757
184	10777	6699
185	10836	6642
186	10890	6580
187	10953	6525
188	11015	6469
189	11057	6401
190	11103	6336
191	11143	6268
192	11185	6201
193	11225	6133
194	11270	6068
195	11316	6004
196	11357	5937
197	11401	5873
198	11446	5809
199	11499	5749
200	11548	5688
201	11603	5629
202	11644	5563
203	11681	5497
204	11730	5435
205	11770	5371
206	11815	5308
207	11863	5247
208	11907	5184
209	11943	5118
210	11983	5054
211	12026	4991
212	12065	4928
213	12112	4867
214	12155	4805
215	12193	4742
216	12231	4678
217	12273	4616
218	12312	4553
219	12349	4490
220	12391	4429
221	12432	4368
222	12468	4305
223	12512	4245
224	12564	4188
225	12608	4128
226	12653	4069
227	12696	4009
228	12732	3947
229	12774	3887
230	12811	3826
231	12852	3767
232	12894	3707
233	12934	3648
234	12980	3590
235	13017	3530
236	13060	3471
237	13109	3414
238	13152	3356
239	13191	3297
240	13234	3239
241	13279	3182
242	13323	3125
243	13367	3067
244	13413	3011
245	13456	2953
246	13504	2897
247	13543	2839
248	13595	2784
249	13646	2729
250	13694	2673
251	13739	2617
252	13781	2560
253	13823	2503
254	13877	2449
255	13931	2394
256	13981	2339
257	14029	2283
258	14076	2228
259	14121	2172
260	14165	2116
261	14224	2063
262	14271	2007
263	14367	1959
264	14426	1905
265	14495	1852
266	14565	1800
267	14655	1749
268	14736	1698
269	14795	1643
270	14863	1590
271	14918	1535
272	14962	1479
273	15017	1424
274	15083	1371
275	15137	1316
276	15203	1262
277	15254	1207
278	15305	1152
279	15358	1097
280	15457	1045
281	15528	991
282	15591	936
283	15672	882
284	15762	829
285	15829	774
286	15907	720
287	16015	667
288	16106	613
289	16177	557
290	16247	502
291	16307	446
292	16384	391
293	16445	335
294	16495	279
295	16569	223
296	16634	168
297	16700	112
298	16760	56
299	16834	0
