iter	RMSE
0	0.9560305216
1	0.9148461887
2	0.8791620751
3	0.8472206104
4	0.8181349847
5	0.7902588955
6	0.7651769568
7	0.7423135405
8	0.721629785
9	0.7019541206
10	0.6852248801
11	0.6693688559
12	0.6566935079
13	0.6424344761
14	0.6308138844
15	0.620266127
16	0.6109019218
17	0.6022757723
18	0.5955268332
19	0.5885639852
20	0.5823049602
21	0.5768212324
22	0.572379951
23	0.5684052922
24	0.5645848533
25	0.5611719362
26	0.5578852104
27	0.5546437688
28	0.5518059842
29	0.5494322879
30	0.5476113645
31	0.5456747472
32	0.5440602245
33	0.5422555618
34	0.5406922975
35	0.5391399589
36	0.5375796656
37	0.536128208
38	0.5350542377
39	0.5339634613
40	0.5328387019
41	0.5319850999
42	0.5310825141
43	0.5303441948
44	0.5295560976
45	0.528811454
46	0.5282115211
47	0.5276250859
48	0.5269570244
49	0.5263556239
50	0.5258553037
51	0.5254206723
52	0.5248654065
53	0.5243945544
54	0.5240082645
55	0.5236197432
56	0.523240219
57	0.5227830868
58	0.5223854695
59	0.5219265655
60	0.5215562612
61	0.5211494253
62	0.5207802158
63	0.5203919604
64	0.519998135
65	0.5196183552
66	0.5191728672
67	0.518906147
68	0.5187231981
69	0.5183822605
70	0.5180141205
71	0.5176685781
72	0.5173764077
73	0.5171023385
74	0.5167568695
75	0.5165202846
76	0.5163133494
77	0.5159905526
78	0.5157614658
79	0.5155367691
80	0.5152608436
81	0.5151160275
82	0.5149148898
83	0.5147034677
84	0.5145051087
85	0.5143012518
86	0.5140213093
87	0.5137946799
88	0.5136468403
89	0.513511267
90	0.5131605885
91	0.5130108523
92	0.512794482
93	0.5125805635
94	0.5124461732
95	0.5121876635
96	0.5119671459
97	0.5118308709
98	0.5115998023
99	0.5113658008
100	0.5111768732
101	0.5109393193
102	0.510751093
103	0.5105293026
104	0.510373952
105	0.5101528964
106	0.5100042057
107	0.5097640204
108	0.5095499248
109	0.5094261789
110	0.5092628311
111	0.5090867564
112	0.5089727338
113	0.5086709208
114	0.5084582234
115	0.5082473627
116	0.5081241456
117	0.507900378
118	0.5077253953
119	0.5076022378
120	0.5074561417
121	0.5073537662
122	0.507207463
123	0.5070719883
124	0.5068748817
125	0.5066868266
126	0.5065653328
127	0.5064256149
128	0.5062560153
129	0.506088808
130	0.5059436211
131	0.5058535357
132	0.5057226571
133	0.5055716903
134	0.5054128207
135	0.5052436601
136	0.5051006026
137	0.504975821
138	0.5047212637
139	0.5044670236
140	0.5042716931
141	0.5041087521
142	0.5039118782
143	0.5037022863
144	0.5034716452
145	0.5033159051
146	0.5031482978
147	0.5029775059
148	0.5028209179
149	0.5025886947
150	0.502448714
151	0.5022086918
152	0.5021197394
153	0.501929238
154	0.5017970294
155	0.5015948186
156	0.5014324382
157	0.5013204788
158	0.5012477999
159	0.5011792123
160	0.5010277724
161	0.5007840862
162	0.5005959404
163	0.5003677766
164	0.5001999085
165	0.5000525096
166	0.4998257701
167	0.4996184531
168	0.4995633505
169	0.4993129338
170	0.4991421473
171	0.4989676124
172	0.4986531018
173	0.4985186233
174	0.4983505673
175	0.4982324812
176	0.4980334098
177	0.497889149
178	0.4977384774
179	0.4975745354
180	0.4973377231
181	0.4972100166
182	0.4969776716
183	0.4967512784
184	0.4965871513
185	0.496515094
186	0.49631378
187	0.4962113733
188	0.4960992621
189	0.4959797165
190	0.4957766011
191	0.4956437335
192	0.4954923329
193	0.4953184188
194	0.4951877416
195	0.4948758647
196	0.4947296724
197	0.4946191411
198	0.4943376541
199	0.4942375035
200	0.4940374877
201	0.4938032135
202	0.4936013707
203	0.4933148983
204	0.493108832
205	0.4928786101
206	0.4927588511
207	0.4925974728
208	0.4924606837
209	0.4922953428
210	0.4919990793
211	0.4918776634
212	0.4916061207
213	0.4913907839
214	0.4911748474
215	0.4910726822
216	0.490985625
217	0.4908592478
218	0.4907182636
219	0.4906170484
220	0.4905209185
221	0.4902792156
222	0.4900913055
223	0.4899502266
224	0.4897891824
225	0.4896715331
226	0.4894851329
227	0.4892118743
228	0.4890646385
229	0.4889142387
230	0.4887748191
231	0.4885983884
232	0.4884540704
233	0.4882585144
234	0.4882031184
235	0.4881384386
236	0.4880039014
237	0.4877788994
238	0.4876903536
239	0.4875516821
240	0.4874653337
241	0.4872321562
242	0.4871958088
243	0.487066919
244	0.486764418
245	0.4866647318
246	0.4864830469
247	0.4863401112
248	0.4861559444
249	0.4859827189
250	0.4858006852
251	0.4856181202
252	0.4855097257
253	0.4853469598
254	0.4852143592
255	0.485024102
256	0.4848435458
257	0.4847181789
258	0.4846118538
259	0.484405511
260	0.4842684246
261	0.4840963182
262	0.483903977
263	0.4838403803
264	0.4836522133
265	0.4835561875
266	0.4834283351
267	0.4832755813
268	0.4832560589
269	0.483109713
270	0.4829767242
271	0.4827459141
272	0.4825517241
273	0.4824784325
274	0.4823427073
275	0.4822191462
276	0.4820939852
277	0.4819682859
278	0.4818029902
279	0.481676884
280	0.4815122233
281	0.4812863372
282	0.4812015981
283	0.4811027753
284	0.480947516
285	0.4808663311
286	0.4807622755
287	0.4806860164
288	0.4805288461
289	0.4803216044
290	0.4801969895
291	0.4799620755
292	0.4798057696
293	0.4796151279
294	0.4794938948
295	0.4793387863
296	0.4791946172
297	0.479005427
298	0.478940369
299	0.4788251839
