iter	Passed	Remaining
0	74	22298
1	127	19009
2	196	19405
3	245	18142
4	306	18063
5	357	17536
6	420	17604
7	475	17366
8	527	17066
9	581	16870
10	635	16687
11	704	16918
12	765	16908
13	837	17099
14	894	16990
15	962	17075
16	1012	16850
17	1072	16796
18	1139	16846
19	1186	16606
20	1245	16551
21	1297	16389
22	1359	16377
23	1424	16383
24	1482	16310
25	1538	16218
26	1600	16181
27	1662	16147
28	1710	15985
29	1766	15897
30	1815	15753
31	1864	15611
32	1919	15532
33	1965	15376
34	2027	15350
35	2085	15292
36	2268	16122
37	2356	16244
38	2416	16174
39	2473	16079
40	2532	16001
41	2596	15950
42	2648	15829
43	2699	15704
44	2762	15652
45	2818	15560
46	2892	15568
47	2957	15526
48	3013	15437
49	3063	15319
50	3113	15199
51	3168	15112
52	3215	14985
53	3268	14891
54	3333	14848
55	3382	14738
56	3449	14705
57	3529	14727
58	3591	14670
59	3664	14658
60	3746	14678
61	3810	14628
62	3872	14566
63	3926	14480
64	3992	14436
65	4060	14396
66	4118	14321
67	4185	14278
68	4254	14243
69	4319	14192
70	4377	14118
71	4448	14087
72	4514	14037
73	4571	13960
74	4640	13922
75	4707	13875
76	4775	13830
77	4846	13793
78	4910	13736
79	4972	13673
80	5038	13623
81	5103	13568
82	5181	13546
83	5240	13474
84	5294	13390
85	5346	13304
86	5402	13227
87	5453	13137
88	5503	13046
89	5550	12950
90	5601	12864
91	5660	12798
92	5712	12714
93	5767	12640
94	5817	12553
95	5879	12494
96	5941	12433
97	5990	12347
98	6079	12342
99	6206	12412
100	6283	12380
101	6336	12299
102	6392	12227
103	6459	12174
104	6518	12106
105	6572	12028
106	6619	11940
107	6683	11882
108	6736	11804
109	6789	11727
110	6841	11649
111	6896	11576
112	6964	11525
113	7011	11440
114	7070	11374
115	7127	11304
116	7178	11228
117	7242	11171
118	7297	11099
119	7353	11030
120	7400	10947
121	7450	10870
122	7517	10817
123	7568	10741
124	7623	10673
125	7678	10604
126	7736	10539
127	7786	10463
128	7841	10395
129	7890	10318
130	7941	10244
131	7990	10169
132	8052	10110
133	8107	10043
134	8152	9964
135	8200	9888
136	8245	9810
137	8294	9736
138	8356	9678
139	8405	9606
140	8457	9536
141	8505	9463
142	8555	9393
143	8616	9334
144	8660	9257
145	8708	9186
146	8755	9112
147	8807	9045
148	8864	8983
149	8913	8913
150	8963	8844
151	9006	8769
152	9053	8697
153	9105	8632
154	9167	8576
155	9220	8511
156	9264	8438
157	9312	8369
158	9380	8318
159	9437	8257
160	9488	8191
161	9534	8122
162	9584	8056
163	9683	8030
164	9808	8025
165	9865	7963
166	9980	7948
167	10102	7937
168	10187	7896
169	10243	7833
170	10293	7765
171	10355	7706
172	10403	7637
173	10451	7568
174	10495	7496
175	10552	7434
176	10603	7368
177	10655	7302
178	10696	7230
179	10750	7166
180	10793	7096
181	10836	7026
182	10889	6961
183	10939	6896
184	10988	6830
185	11036	6764
186	11089	6701
187	11138	6635
188	11189	6571
189	11243	6509
190	11291	6444
191	11341	6379
192	11389	6314
193	11441	6251
194	11488	6186
195	11537	6121
196	11591	6060
197	11645	5999
198	11695	5936
199	11747	5873
200	11812	5818
201	11872	5759
202	11921	5696
203	11982	5638
204	12033	5576
205	12097	5520
206	12145	5456
207	12199	5396
208	12263	5339
209	12306	5274
210	12365	5215
211	12415	5153
212	12473	5094
213	12524	5033
214	12575	4971
215	12622	4908
216	12670	4846
217	12723	4785
218	12774	4724
219	12824	4663
220	12874	4602
221	12935	4544
222	12982	4482
223	13043	4425
224	13095	4365
225	13153	4306
226	13199	4244
227	13252	4184
228	13318	4129
229	13375	4070
230	13437	4013
231	13490	3954
232	13552	3896
233	13609	3838
234	13656	3777
235	13714	3719
236	13883	3690
237	13967	3638
238	14031	3581
239	14086	3521
240	14142	3462
241	14210	3405
242	14253	3343
243	14312	3284
244	14368	3225
245	14418	3164
246	14472	3105
247	14524	3045
248	14585	2987
249	14643	2928
250	14695	2868
251	14758	2811
252	14811	2751
253	14863	2691
254	14946	2637
255	15005	2579
256	15049	2517
257	15113	2460
258	15167	2401
259	15227	2342
260	15277	2282
261	15331	2223
262	15389	2165
263	15444	2106
264	15512	2048
265	15569	1990
266	15631	1932
267	15678	1872
268	15728	1812
269	15791	1754
270	15845	1695
271	15898	1636
272	15958	1578
273	16019	1520
274	16078	1461
275	16132	1402
276	16193	1344
277	16260	1286
278	16314	1227
279	16371	1169
280	16424	1110
281	16483	1052
282	16545	993
283	16601	935
284	16653	876
285	16696	817
286	16752	758
287	16799	699
288	16861	641
289	16919	583
290	16975	525
291	17031	466
292	17094	408
293	17151	350
294	17211	291
295	17267	233
296	17318	174
297	17390	116
298	17446	58
299	17506	0
