iter	RMSE
0	1.027874703
1	1.014210819
2	1.001947167
3	0.991128804
4	0.9811571658
5	0.9707490663
6	0.964122488
7	0.9545607942
8	0.9452623209
9	0.9386995464
10	0.9326074885
11	0.9268357247
12	0.9211487647
13	0.9162763991
14	0.9108941856
15	0.9065600525
16	0.9022203267
17	0.8960512214
18	0.8921623062
19	0.887834116
20	0.8838397504
21	0.8789049107
22	0.8745141549
23	0.8704641485
24	0.8670683335
25	0.8638451006
26	0.8609225175
27	0.8585611302
28	0.85601401
29	0.8537580691
30	0.8520564008
31	0.8486657038
32	0.845186836
33	0.8427122632
34	0.8390338972
35	0.8367495873
36	0.8338970206
37	0.8315223944
38	0.8285740508
39	0.8265556572
40	0.8241879249
41	0.8209169852
42	0.8193349085
43	0.818232173
44	0.8146812226
45	0.8135740966
46	0.8113682497
47	0.8100139558
48	0.8081425737
49	0.8063343869
50	0.8052266753
51	0.8029642307
52	0.8000750217
53	0.7983668616
54	0.7958661875
55	0.794064208
56	0.7926724827
57	0.7913574811
58	0.7901827968
59	0.7886099842
60	0.7866827425
61	0.7845404967
62	0.7829066341
63	0.7813785697
64	0.7788788221
65	0.7776210268
66	0.7757184043
67	0.7742691476
68	0.7716619726
69	0.7696706792
70	0.7678965457
71	0.7667365328
72	0.7653419698
73	0.7632851625
74	0.7618671011
75	0.7601666288
76	0.7585046177
77	0.7565129534
78	0.7541883651
79	0.7528046023
80	0.7508947546
81	0.7488184036
82	0.7470888284
83	0.7449398297
84	0.7439859509
85	0.7426341031
86	0.7410223464
87	0.7395159404
88	0.7379785943
89	0.7356233177
90	0.7346034911
91	0.7331325932
92	0.7313485328
93	0.7298779133
94	0.7283816071
95	0.7265324632
96	0.7256059576
97	0.7243622386
98	0.7234673063
99	0.7219052187
100	0.7202484939
101	0.718808161
