iter	Passed	Remaining
0	34	10312
1	70	10446
2	109	10800
3	146	10811
4	185	10944
5	212	10422
6	245	10289
7	274	10012
8	299	9688
9	324	9404
10	358	9418
11	390	9381
12	417	9222
13	444	9079
14	477	9064
15	506	8999
16	540	8994
17	575	9019
18	604	8937
19	651	9122
20	688	9152
21	721	9119
22	752	9064
23	784	9020
24	819	9013
25	847	8936
26	876	8865
27	902	8768
28	932	8713
29	970	8730
30	1003	8707
31	1048	8780
32	1100	8900
33	1143	8947
34	1181	8945
35	1211	8885
36	1245	8856
37	1274	8784
38	1299	8693
39	1328	8637
40	1355	8565
41	1381	8488
42	1417	8471
43	1445	8412
44	1476	8368
45	1512	8351
46	1561	8404
47	1598	8394
48	1632	8361
49	1664	8322
50	1694	8274
51	1729	8249
52	1758	8197
53	1785	8134
54	1811	8069
55	1839	8013
56	1865	7950
57	1890	7887
58	1920	7843
59	1953	7815
60	1986	7781
61	2023	7768
62	2068	7779
63	2104	7758
64	2150	7775
65	2189	7763
66	2228	7751
67	2258	7705
68	2286	7656
69	2317	7614
70	2352	7586
71	2378	7532
72	2405	7480
73	2433	7433
74	2469	7408
75	2514	7411
76	2559	7412
77	2593	7380
78	2631	7362
79	2684	7381
80	2725	7367
81	2778	7386
82	2830	7399
83	2874	7391
84	2911	7363
85	2945	7328
86	2979	7293
87	3029	7298
88	3075	7290
89	3113	7265
90	3160	7259
91	3212	7262
92	3267	7272
93	3305	7243
94	3373	7280
95	3426	7280
96	3470	7263
97	3510	7236
98	3558	7225
99	3730	7461
100	3812	7511
101	3861	7495
102	3907	7473
103	3949	7442
104	3986	7404
105	4032	7380
106	4070	7341
107	4107	7302
108	4150	7273
109	4200	7255
110	4255	7245
111	4308	7232
112	4379	7247
113	4440	7244
114	4495	7231
115	4544	7208
116	4584	7170
117	4628	7139
118	4678	7115
119	4724	7086
120	4769	7055
121	4804	7010
122	4844	6971
123	4895	6947
124	4936	6911
125	4973	6868
126	5019	6837
127	5061	6801
128	5108	6771
129	5151	6737
130	5189	6695
131	5226	6651
132	5256	6599
133	5292	6555
134	5339	6526
135	5386	6495
136	5426	6456
137	5467	6418
138	5508	6380
139	5551	6344
140	5591	6305
141	5637	6272
142	5688	6245
143	5734	6212
144	5781	6180
145	5819	6138
146	5865	6104
147	5912	6072
148	5947	6027
149	5994	5994
150	6033	5953
151	6069	5910
152	6120	5880
153	6150	5831
154	6200	5800
155	6231	5752
156	6268	5709
157	6309	5670
158	6346	5627
159	6387	5588
160	6426	5548
161	6466	5508
162	6515	5475
163	6553	5434
164	6590	5392
165	6636	5357
166	6675	5316
167	6712	5274
168	6757	5237
169	6794	5195
170	6833	5155
171	6861	5106
172	6905	5069
173	6957	5038
174	6994	4995
175	7036	4957
176	7091	4927
177	7132	4888
178	7172	4848
179	7211	4807
180	7248	4765
181	7286	4724
182	7323	4682
183	7357	4638
184	7396	4597
185	7424	4550
186	7473	4516
187	7519	4479
188	7553	4436
189	7590	4394
190	7630	4354
191	7669	4314
192	7709	4273
193	7740	4229
194	7767	4182
195	7807	4142
196	7844	4101
197	7884	4061
