iter	RMSE
0	0.963564166
1	0.9450685795
2	0.9281012363
3	0.9134411472
4	0.8982700153
5	0.883741721
6	0.8715708888
7	0.8606469019
8	0.8498089874
9	0.8402489833
10	0.8326044681
11	0.8243585593
12	0.8157168941
13	0.8088551658
14	0.8021484364
15	0.7973238108
16	0.791734247
17	0.7862035564
18	0.7811803442
19	0.7763281388
20	0.7715455073
21	0.7674771029
22	0.76356249
23	0.7594651189
24	0.7551992556
25	0.7508301257
26	0.747541879
27	0.7440610908
28	0.7404235784
29	0.7372685588
30	0.733410726
31	0.7307111328
32	0.7279711147
33	0.724382286
34	0.7224757787
35	0.7207000717
36	0.7185457669
37	0.7160463458
38	0.7127343169
39	0.7102197513
40	0.708249385
41	0.7053195556
42	0.7037530861
43	0.7022505177
44	0.7002702455
45	0.6992556444
46	0.6976698457
47	0.695111212
48	0.6932329719
49	0.6903962987
50	0.6880141379
51	0.6866180184
52	0.6857542793
53	0.6842559574
54	0.6826578818
55	0.68164595
56	0.6797842595
57	0.6772543008
58	0.6758212102
59	0.674258597
60	0.6726779861
61	0.6713071024
62	0.6692742497
63	0.6675360883
64	0.665724851
65	0.6630875755
66	0.6619255719
67	0.6605970594
68	0.6587210509
69	0.6560138539
70	0.6545307921
71	0.6534124462
72	0.6519555077
73	0.6499978415
74	0.6484702066
75	0.6473684977
76	0.6463325866
77	0.6444482713
78	0.6427602136
79	0.6413746639
80	0.6402076532
81	0.6393471139
82	0.6377179515
83	0.6362379653
84	0.6354102181
85	0.6341713066
86	0.6333962185
87	0.6323835139
88	0.6311037473
89	0.630244411
90	0.6288604987
91	0.6278588428
92	0.6267856727
93	0.6260235671
94	0.6245899326
95	0.6233882168
96	0.62149373
97	0.6205239225
98	0.6184839038
99	0.6171283834
