iter	Passed	Remaining
0	54	16345
1	92	13717
2	126	12510
3	163	12119
4	198	11736
5	232	11399
6	259	10847
7	286	10466
8	311	10064
9	337	9795
10	371	9755
11	402	9664
12	427	9445
13	458	9357
14	482	9171
15	515	9142
16	544	9064
17	574	8997
18	598	8854
19	628	8801
20	656	8720
21	684	8649
22	710	8559
23	736	8465
24	761	8375
25	784	8267
26	808	8170
27	835	8118
28	862	8060
29	903	8134
30	936	8129
31	966	8097
32	997	8071
33	1033	8087
34	1066	8077
35	1099	8065
36	1121	7975
37	1150	7929
38	1177	7878
39	1206	7842
40	1235	7803
41	1261	7746
42	1285	7684
43	1309	7619
44	1335	7565
45	1364	7532
46	1394	7504
47	1426	7491
48	1451	7435
49	1481	7407
50	1511	7378
51	1544	7367
52	1569	7312
53	1596	7271
54	1619	7212
55	1644	7163
56	1667	7106
57	1693	7067
58	1719	7024
59	1746	6985
60	1771	6939
61	1796	6895
62	1822	6856
63	1849	6818
64	1880	6797
65	1911	6777
66	2026	7048
67	2062	7037
68	2113	7076
69	2138	7028
70	2163	6976
71	2190	6935
72	2212	6881
73	2240	6843
74	2271	6815
75	2301	6782
76	2327	6740
77	2357	6710
78	2387	6679
79	2418	6649
80	2442	6605
81	2470	6568
82	2500	6536
83	2528	6502
84	2558	6470
85	2589	6442
86	2612	6396
87	2638	6355
88	2664	6317
89	2688	6273
90	2712	6229
91	2735	6184
92	2758	6140
93	2787	6108
94	2815	6076
95	2841	6038
96	2873	6013
97	2906	5991
98	2933	5956
99	2966	5933
100	2999	5909
101	3023	5868
102	3057	5847
103	3086	5816
104	3114	5784
105	3139	5745
106	3165	5709
107	3191	5673
108	3214	5633
109	3242	5601
110	3265	5560
111	3291	5524
112	3320	5495
113	3363	5487
114	3385	5446
115	3415	5416
116	3445	5389
117	3475	5360
118	3500	5324
119	3529	5294
120	3557	5263
121	3583	5228
122	3610	5195
123	3636	5161
124	3660	5124
125	3683	5086
126	3708	5051
127	3729	5012
128	3755	4978
129	3778	4941
130	3801	4904
131	3826	4869
132	3861	4849
133	3895	4825
134	3929	4802
135	3955	4769
136	3984	4740
137	4012	4710
