iter	RMSE
0	0.9976191855
1	0.9782834153
2	0.9585738854
3	0.9429828008
4	0.9262844616
5	0.9104082287
6	0.8984719633
7	0.8855844214
8	0.8742131037
9	0.8632665714
10	0.8530237413
11	0.8449271411
12	0.8352376925
13	0.8276167223
14	0.8187983568
15	0.812192102
16	0.8045536753
17	0.7982896458
18	0.7918702289
19	0.7867414983
20	0.7802488947
21	0.774139111
22	0.769196844
23	0.7650495653
24	0.7613316622
25	0.7579318132
26	0.754430467
27	0.7513475205
28	0.7469029245
29	0.7430707271
30	0.7406369537
31	0.737462177
32	0.7331546667
33	0.7297139893
34	0.7265658668
35	0.7239099773
36	0.7217311954
37	0.7209532402
38	0.7180984764
39	0.7152341541
40	0.712372679
41	0.7096150279
42	0.7068811865
43	0.7053213596
44	0.7042499236
45	0.7016976421
46	0.6985231643
47	0.6961231474
48	0.6946178945
49	0.6923504893
50	0.6912530172
51	0.6891552518
52	0.6873429289
53	0.6848784881
54	0.6827667201
55	0.6807624142
56	0.6787629017
57	0.6773153565
58	0.6752825528
59	0.6734709919
60	0.6717222423
61	0.6693074636
62	0.6684099631
63	0.6668495271
