iter	Passed	Remaining
0	65	19643
1	134	19986
2	180	17889
3	241	17891
4	293	17309
5	406	19925
6	492	20605
7	537	19626
8	584	18907
9	678	19680
10	718	18888
11	764	18336
12	820	18122
13	894	18277
14	936	17787
15	982	17444
16	1032	17184
17	1071	16785
18	1125	16642
19	1159	16229
20	1204	16007
21	1328	16793
22	1367	16471
23	1402	16126
24	1429	15727
25	1458	15375
26	1487	15043
27	1641	15949
28	1688	15776
29	1728	15560
30	1786	15503
31	1814	15196
32	1846	14940
33	1880	14710
34	1908	14449
35	1934	14187
36	1961	13943
37	1987	13704
38	2040	13655
39	2065	13428
40	2091	13210
41	2118	13012
42	2146	12830
43	2181	12695
44	2208	12517
45	2244	12394
46	2300	12383
47	2337	12270
48	2372	12153
49	2405	12029
50	2433	11883
51	2457	11720
52	2484	11577
53	2528	11519
54	2557	11392
55	2582	11252
56	2610	11128
57	2639	11013
58	2666	10891
59	2710	10840
60	2747	10763
61	2817	10813
62	2853	10735
63	2903	10706
