iter	Passed	Remaining
0	60	18063
1	116	17332
2	156	15500
3	199	14731
4	233	13791
5	278	13658
6	316	13265
7	672	24532
8	737	23833
9	809	23475
10	842	22126
11	895	21490
12	940	20764
13	998	20404
14	1046	19883
15	1115	19797
16	1163	19368
17	1220	19126
18	1271	18809
19	1312	18380
20	1369	18200
21	1413	17859
22	1458	17570
23	1494	17185
24	1528	16810
25	1569	16543
26	1620	16384
27	1658	16110
28	1691	15809
29	1724	15521
30	1783	15478
31	1831	15336
32	1916	15506
33	1985	15533
34	2025	15335
35	2096	15374
36	2145	15253
37	2205	15207
38	2268	15180
39	2321	15087
40	2390	15101
41	2531	15549
42	2686	16053
43	2746	15977
44	2868	16254
45	2969	16397
46	3019	16251
47	3094	16246
48	3154	16157
49	3233	16165
50	3300	16112
51	3390	16168
52	3438	16022
53	3523	16051
54	3620	16127
55	3660	15951
56	3692	15741
57	3730	15563
58	3769	15397
59	3806	15226
60	3844	15062
61	3878	14889
62	3921	14752
63	3958	14595
64	3999	14458
65	4048	14353
66	4083	14199
67	4134	14104
68	4170	13960
69	4220	13867
70	4286	13825
71	4341	13747
72	4392	13659
73	4424	13513
74	4454	13363
75	4488	13230
76	4525	13105
77	4563	12987
78	4600	12869
79	4634	12744
80	4673	12636
81	4704	12507
82	4738	12387
83	4772	12270
84	4808	12162
85	4841	12046
86	4877	11941
87	4906	11820
88	4940	11712
89	4975	11609
90	5010	11506
91	5042	11400
92	5075	11296
93	5141	11267
94	5325	11491
95	5387	11448
96	5456	11419
97	5502	11341
98	5547	11263
99	5597	11195
100	5659	11150
101	5699	11063
102	5729	10958
103	5787	10906
104	5835	10837
105	5873	10749
106	5911	10662
107	5948	10574
108	5983	10485
109	6016	10392
110	6055	10310
111	6101	10241
112	6135	10154
113	6169	10066
114	6216	10000
115	6251	9916
116	6291	9840
117	6349	9792
118	6387	9715
119	6425	9637
120	6462	9559
121	6501	9486
122	6548	9423
123	6592	9357
124	6637	9291
125	6709	9265
126	6757	9204
127	6814	9157
128	6867	9103
129	6913	9041
130	6963	8983
131	7003	8913
132	7042	8842
133	7088	8781
134	7207	8809
135	7312	8817
136	7349	8744
137	7430	8722
138	7482	8666
139	7518	8592
140	7554	8518
141	7592	8447
