iter	RMSE
0	0.9655619509
1	0.9314330241
2	0.8995565241
3	0.8684634595
4	0.8398287036
5	0.8121966732
6	0.7869614545
7	0.7629593378
8	0.741261732
9	0.7197873453
10	0.6994990544
11	0.6803152635
12	0.6633677368
13	0.646823433
14	0.6312468038
15	0.6170586076
16	0.6032859136
17	0.5908188051
18	0.579726889
19	0.5694303029
20	0.5595333053
21	0.550710544
22	0.5421100532
23	0.53432003
24	0.5271983902
25	0.5203304172
26	0.5137532078
27	0.5078909397
28	0.5018403531
29	0.4966239249
30	0.4919299622
31	0.487326015
32	0.4833164303
33	0.4795561475
34	0.475901931
35	0.4725193202
36	0.4695858808
37	0.4669941178
38	0.464211077
39	0.4619558952
40	0.459719861
41	0.4577326143
42	0.4557872938
43	0.4540936305
44	0.4525253084
45	0.450951742
46	0.4495400303
47	0.4482248319
48	0.4468433684
49	0.4455503364
50	0.4445592696
51	0.4435025421
52	0.4427267571
53	0.4418447676
54	0.4411726858
55	0.440211824
56	0.4393372331
57	0.4386658946
58	0.4379729973
59	0.4375222071
60	0.4369099544
61	0.4363137493
62	0.4358310945
63	0.4352439272
64	0.4347314559
65	0.4342059234
66	0.433799354
67	0.433349195
68	0.4330421513
69	0.4326651196
70	0.4323189525
71	0.4320074197
72	0.4316670319
73	0.4313065499
74	0.4310111539
75	0.4307555354
76	0.4305066801
77	0.4301733708
78	0.4299786754
79	0.4297564909
80	0.4295010452
81	0.429346078
82	0.4290207536
83	0.4288454696
84	0.4285753876
85	0.4283981584
86	0.428217326
87	0.4280125756
88	0.4277274543
89	0.4275652875
90	0.4273878979
91	0.4271956336
92	0.4269490957
93	0.4267157844
94	0.4265427975
95	0.4262836255
96	0.426075828
97	0.4259055297
98	0.425683215
99	0.4255083175
100	0.4253330862
101	0.4251883671
102	0.4250789182
103	0.4248522812
104	0.4247387582
105	0.4244795145
106	0.4243303435
107	0.424148557
108	0.4239185533
109	0.423829424
110	0.4236596819
111	0.4234802575
112	0.4232937427
113	0.4230876187
114	0.4229381112
115	0.4228181989
116	0.4225831249
117	0.4225003536
118	0.4224317223
119	0.4223244619
120	0.4222019115
121	0.4220212936
122	0.4219178537
123	0.4217758772
124	0.4216451663
125	0.421479804
126	0.4213366823
127	0.4212318931
128	0.4211058013
129	0.4209872604
130	0.4208199342
131	0.4207171567
132	0.420578035
133	0.4204349013
134	0.4202848799
135	0.4201729952
136	0.4199813501
137	0.4198949848
138	0.4198018347
139	0.4196740722
140	0.4195095618
141	0.4193553778
142	0.4192131415
143	0.4190766586
144	0.4189545674
145	0.4188550117
146	0.4187435283
147	0.4186298399
148	0.4184475376
149	0.4183805054
150	0.4182721217
151	0.4181196944
152	0.4179949342
153	0.4179028804
154	0.4177538961
155	0.4176005078
156	0.4174750004
157	0.4173452905
158	0.4171475949
159	0.4170346488
160	0.4169433082
161	0.4167645775
162	0.4166447118
163	0.4165370415
164	0.4164099885
165	0.4162529452
166	0.416167938
167	0.4160842717
168	0.4159793621
169	0.4158972709
170	0.4158205993
171	0.4157514815
172	0.4156098952
173	0.4154427708
174	0.4153327507
175	0.4151923853
176	0.4150818246
177	0.4149498684
178	0.4148568127
179	0.4147997709
180	0.4146944129
181	0.4145876359
182	0.4144792967
183	0.4143404079
184	0.4142322293
185	0.4140705292
186	0.4139526885
187	0.413845811
188	0.4135836176
189	0.4134731287
190	0.4133896737
191	0.413291307
192	0.4131849492
193	0.4130934206
194	0.4129652199
195	0.4128962227
196	0.4127802709
197	0.4126485575
198	0.4125834935
199	0.4124267195
200	0.4123201013
201	0.4122422239
202	0.4121864492
203	0.412091612
204	0.4120135696
205	0.4118216257
206	0.4117265464
207	0.411615962
208	0.4115341332
209	0.4114638203
