iter	Passed	Remaining
0	86	34438
1	174	34764
2	257	34020
3	336	33337
4	436	34462
5	528	34679
6	605	33975
7	680	33367
8	757	32904
9	843	32883
10	925	32714
11	1008	32600
12	1104	32877
13	1195	32971
14	1291	33149
15	1377	33054
16	1474	33224
17	1562	33162
18	1674	33581
19	1762	33489
20	1861	33597
21	1975	33949
22	2061	33789
23	2140	33527
24	2216	33244
25	2326	33467
26	2427	33528
27	2502	33251
28	2590	33134
29	2665	32871
30	2751	32756
31	2874	33058
32	2976	33097
33	3108	33458
34	3243	33823
35	3433	34717
36	3656	35869
37	3798	36190
38	3985	36887
39	4106	36955
40	4183	36628
41	4257	36287
42	4325	35910
43	4407	35664
44	4517	35637
45	4604	35436
46	4683	35174
47	4764	34937
48	4837	34649
49	4913	34396
50	4989	34140
51	5064	33896
52	5150	33720
53	5264	33733
54	5354	33586
55	5448	33470
56	5541	33346
57	5643	33277
58	5715	33031
59	5789	32809
60	5866	32604
61	5940	32383
62	6022	32213
63	6113	32097
64	6202	31968
65	6266	31713
66	6343	31526
67	6418	31337
68	6489	31132
69	6560	30926
70	6637	30756
71	6715	30590
72	6793	30432
73	6865	30244
74	6942	30086
75	7028	29963
76	7102	29792
77	7194	29698
78	7285	29601
79	7376	29506
80	7457	29369
81	7536	29225
82	7621	29110
83	7705	28988
84	7805	28926
85	7915	28901
86	8045	28944
87	8171	28973
88	8307	29028
89	8437	29063
90	8560	29068
91	8702	29134
92	8831	29152
93	8954	29150
94	9074	29134
95	9173	29049
96	9272	28965
97	9411	29004
98	9539	29003
99	9662	28987
100	9777	28945
101	9869	28835
102	10018	28888
103	10115	28789
104	10207	28677
105	10308	28590
106	10448	28611
107	10628	28736
108	10743	28682
109	10859	28628
110	10952	28515
111	11043	28398
112	11129	28265
113	11248	28218
114	11374	28188
115	11510	28180
116	11619	28104
117	11718	28004
118	11846	27973
119	11964	27916
120	12053	27793
121	12133	27648
122	12224	27529
123	12320	27423
124	12455	27402
125	12554	27300
126	12635	27161
127	12730	27051
128	12814	26921
129	12909	26811
130	13001	26697
131	13083	26562
132	13160	26420
133	13244	26291
134	13469	26441
135	13600	26400
136	13677	26256
137	13761	26126
138	13840	25987
139	13923	25857
140	14004	25723
141	14107	25631
142	14207	25533
143	14295	25414
144	14371	25274
145	14467	25169
146	14559	25057
147	14651	24947
148	14727	24808
149	14830	24716
150	14908	24584
151	14993	24463
152	15088	24359
153	15183	24253
154	15383	24315
155	15467	24192
156	15588	24127
157	15678	24014
158	15790	23933
159	15865	23797
160	15946	23672
161	16027	23546
162	16109	23423
163	16192	23301
164	16274	23179
165	16355	23055
166	16438	22934
167	16513	22804
168	16593	22680
169	16670	22554
170	16755	22438
171	16830	22310
172	16906	22183
173	16982	22057
174	17064	21939
175	17154	21832
176	17273	21763
177	17379	21674
178	17491	21595
179	17598	21509
180	17691	21405
181	17822	21347
182	17935	21268
183	18049	21188
184	18131	21071
185	18218	20960
186	18336	20886
187	18495	20856
188	18731	20911
189	19053	21059
190	19156	20961
191	19241	20845
192	19333	20735
193	19448	20651
194	19533	20535
195	19611	20412
196	19693	20293
197	19787	20186
198	19938	20138
199	20053	20053
200	20157	19957
201	20267	19866
202	20349	19747
203	20424	19623
204	20520	19519
205	20609	19408
206	20709	19308
207	20807	19206
208	20887	19088
209	20970	18972
210	21052	18857
211	21155	18760
212	21269	18673
213	21367	18571
214	21471	18475
215	21587	18389
216	21670	18274
217	21778	18182
218	21854	18062
219	21947	17956
220	22030	17843
221	22106	17725
222	22191	17613
223	22276	17502
224	22355	17387
225	22434	17272
226	22528	17169
227	22617	17062
228	22708	16956
229	22803	16855
230	22894	16749
231	22983	16643
232	23060	16528
233	23159	16429
234	23272	16340
235	23355	16229
236	23442	16122
237	23528	16015
238	23607	15903
239	23686	15790
240	23774	15685
241	23861	15578
242	23952	15475
243	24042	15371
244	24125	15263
245	24220	15162
246	24307	15056
247	24418	14966
248	24502	14858
249	24569	14741
250	24645	14630
251	24728	14523
252	24827	14425
253	24924	14326
254	25026	14230
255	25130	14136
256	25223	14034
257	25326	13939
258	25426	13842
259	25598	13784
260	25695	13684
261	25796	13587
262	25894	13488
263	25997	13392
264	26074	13283
265	26170	13183
266	26241	13071
267	26331	12969
268	26417	12865
269	26524	12770
270	26599	12661
271	26688	12559
272	26826	12479
273	26962	12398
274	27148	12340
275	27319	12274
276	27452	12190
277	27552	12091
278	27635	11985
279	27722	11880
280	27822	11782
281	27914	11680
282	28013	11581
283	28123	11486
284	28247	11397
285	28371	11308
286	28550	11241
287	28658	11144
288	28750	11042
289	28841	10939
290	28939	10839
291	29024	10735
292	29137	10640
293	29254	10547
294	29375	10455
295	29476	10356
296	29597	10264
297	29714	10170
298	29820	10073
299	29923	9974
300	30009	9870
301	30109	9770
302	30265	9689
303	30353	9585
304	30494	9498
305	30601	9400
306	30752	9315
307	30889	9226
308	31031	9138
309	31150	9043
310	31378	8979
311	31585	8908
312	31676	8804
313	31764	8699
314	31847	8593
315	32116	8537
316	32237	8440
317	32338	8338
318	32435	8235
319	32544	8136
320	32628	8030
321	32739	7930
322	32860	7833
323	32958	7731
324	33099	7638
325	33200	7536
326	33308	7435
327	33392	7330
328	33484	7226
329	33581	7123
330	33667	7018
331	33756	6914
332	33877	6816
333	33971	6712
334	34068	6610
335	34174	6509
336	34348	6421
337	34427	6315
338	34527	6212
339	34624	6110
340	34719	6007
341	34821	5905
342	34900	5799
343	34980	5694
344	35104	5596
345	35217	5496
346	35349	5399
347	35436	5295
348	35568	5197
349	35666	5095
350	35791	4996
351	35896	4894
352	35993	4792
353	36092	4689
354	36187	4587
355	36327	4489
356	36433	4388
357	36514	4283
358	36613	4181
359	36699	4077
360	36782	3973
361	36888	3872
362	36965	3767
363	37045	3663
364	37162	3563
365	37254	3460
366	37392	3362
367	37489	3259
368	37590	3157
369	37781	3063
370	37895	2962
371	38012	2861
372	38143	2761
373	38233	2657
374	38329	2555
375	38415	2452
376	38503	2348
377	38588	2245
378	38681	2143
379	38762	2040
380	38872	1938
381	38976	1836
382	39088	1735
383	39173	1632
384	39259	1529
385	39365	1427
386	39442	1324
387	39516	1222
388	39592	1119
389	39680	1017
390	39754	915
391	39851	813
392	39930	711
393	40005	609
394	40094	507
395	40177	405
396	40295	304
397	40407	203
398	40502	101
399	40601	0
