iter	RMSE
0	0.9631860361
1	0.93769903
2	0.9139293461
3	0.8936095881
4	0.8723054031
5	0.8518768306
6	0.8332374312
7	0.8166614374
8	0.800761156
9	0.7858469174
10	0.7722503637
11	0.7590558965
12	0.747056209
13	0.7362347226
14	0.7255160292
15	0.7153838532
16	0.7057652281
17	0.6975194672
18	0.6885209977
19	0.6803001259
20	0.6727014747
21	0.6651669704
22	0.6585228913
23	0.6520351534
24	0.6461186983
25	0.6400473503
26	0.6354085277
27	0.6302930208
28	0.6249745811
29	0.6200978639
30	0.61564025
31	0.6110164095
32	0.6069182555
33	0.6024184528
34	0.599300995
35	0.5955239832
36	0.5918913228
37	0.5893232921
38	0.5862087441
39	0.582796763
40	0.5802244035
41	0.5774001557
42	0.5753138731
43	0.5727814949
44	0.5703235394
45	0.568589577
46	0.5662983211
47	0.5642099858
48	0.5622408425
49	0.5604271961
50	0.5579913706
51	0.5556523114
52	0.5537606126
53	0.5510674016
54	0.5499849422
55	0.5486198308
56	0.5470447464
57	0.5458822146
58	0.5445342219
59	0.542606157
60	0.5407707401
61	0.539251775
62	0.5367738715
63	0.5354107756
64	0.5343300366
65	0.5324354285
66	0.5313702858
67	0.5302926795
68	0.5293285611
69	0.5270842409
70	0.5262709867
71	0.5248445379
72	0.5237856267
73	0.5219916857
74	0.5200913762
75	0.5179628895
76	0.5164456219
77	0.5153240275
78	0.514384231
79	0.51300748
80	0.5120616336
81	0.5110226146
82	0.5096999473
83	0.5086093906
84	0.507860687
85	0.5068093011
86	0.5047000394
87	0.5034763827
88	0.5020188426
89	0.5009763739
90	0.5001453565
91	0.4992641389
92	0.4980621158
93	0.4971075808
94	0.4957742166
95	0.4948312109
96	0.4941999987
97	0.4926806742
98	0.4915128382
99	0.4905148116
100	0.4896249758
101	0.4886659732
102	0.4877623476
103	0.4867808818
104	0.4858134762
105	0.4848222125
106	0.483204533
107	0.4820296593
108	0.4813905095
109	0.480790163
110	0.4798611078
111	0.4787880243
112	0.4780076726
113	0.4769073804
114	0.4762063307
115	0.4749552088
116	0.4738145197
117	0.4731133537
118	0.4724006474
119	0.4716185202
120	0.4711778896
121	0.4708756776
122	0.4697221327
123	0.4687990417
124	0.4677028217
125	0.4663659738
126	0.4657138057
127	0.4651820555
128	0.4645092037
129	0.463655427
130	0.46244571
131	0.4611676179
132	0.4600844011
133	0.4582942717
134	0.4578579724
135	0.4567607796
136	0.4560536165
137	0.4552344328
138	0.454505447
139	0.4524387888
140	0.4515416012
141	0.4509248259
142	0.450598681
143	0.4502530674
144	0.4490702121
145	0.4479686729
146	0.4474239813
147	0.4466976609
148	0.4461151148
149	0.4453535119
150	0.4443576534
151	0.4436951129
152	0.4433744845
153	0.4423741868
154	0.4418608009
155	0.4412012506
156	0.4405871511
157	0.4398273781
158	0.4388224156
159	0.4381059715
160	0.437070555
161	0.4366305631
162	0.4357698642
163	0.4345669681
164	0.4338038546
165	0.4333754029
166	0.4316619663
167	0.429999094
168	0.4295400393
169	0.4288882923
170	0.4278863666
171	0.4272077962
172	0.4264871246
173	0.4259529206
174	0.4255055178
175	0.4249969505
176	0.4242775851
177	0.4237512039
178	0.4224427761
179	0.4220291253
180	0.4214225799
181	0.420831975
182	0.4198558804
183	0.4184418434
184	0.4165862478
185	0.4160386996
186	0.4151577157
187	0.4143053516
188	0.4135821636
189	0.4124850713
190	0.4116938228
191	0.4107673727
192	0.4097291435
193	0.4088273667
194	0.408145162
195	0.4071656102
196	0.40685756
197	0.4052888921
198	0.4044427861
199	0.4038968944
200	0.4033996436
201	0.4027879589
202	0.4023215733
203	0.4016036101
204	0.400892043
205	0.4003738467
206	0.3998137631
207	0.3992673165
208	0.3979993341
209	0.3969321125
210	0.3960477326
211	0.3952791887
212	0.3947937362
213	0.3933558014
214	0.393011526
215	0.3922384531
216	0.3908681005
217	0.3902102979
218	0.3897550396
219	0.3885390565
220	0.3878651242
221	0.3874478297
222	0.386530962
223	0.3858345125
224	0.3845979591
225	0.3836265024
226	0.3827753983
227	0.3820658191
228	0.3813958755
229	0.381188499
230	0.3804434623
231	0.3798570884
232	0.3794928325
233	0.3789356503
234	0.3786180513
235	0.3781020138
236	0.3774525024
237	0.3769748632
238	0.3763083234
239	0.3756183298
240	0.3750366998
241	0.3748873122
242	0.373248832
243	0.3726027758
244	0.3723874355
245	0.3718766004
246	0.3710588441
247	0.370196123
248	0.3694133265
249	0.3687790051
250	0.3682571334
251	0.3671430933
252	0.3665601994
253	0.36582739
254	0.3650434036
255	0.3640143405
256	0.3636520475
257	0.3628762849
258	0.3622369389
259	0.3615637019
260	0.3612535622
261	0.3609126493
262	0.3601475957
263	0.3591377177
264	0.3586306147
265	0.3572914118
266	0.3562529947
267	0.3558795329
268	0.3552924699
269	0.3544927724
270	0.3541150248
271	0.3531609444
272	0.3525475579
273	0.3514189661
274	0.3508303628
275	0.3503203882
276	0.3495786841
277	0.3488802542
278	0.3477706142
279	0.3471035082
280	0.3466304924
281	0.3461368338
282	0.3457652816
283	0.345500335
284	0.3452078238
285	0.3446428275
286	0.3438969827
287	0.3433088196
288	0.3427623069
289	0.3415986326
290	0.3413210063
291	0.3408447775
292	0.3403269684
293	0.3395425624
294	0.3390485944
295	0.3387558586
296	0.3380096426
297	0.3377692812
298	0.3374663151
299	0.3369835138
300	0.3361291298
301	0.3356123491
302	0.3347026585
303	0.3340318683
304	0.3330984883
305	0.3325027224
306	0.3316522858
307	0.3309219508
308	0.3301854261
309	0.3294279549
310	0.3287037745
311	0.3276523062
312	0.3272246514
313	0.3269786969
314	0.3264142729
315	0.3256018303
