iter	Passed	Remaining
0	77	30886
1	146	29089
2	242	32107
3	315	31214
4	397	31407
5	481	31595
6	582	32712
7	700	34342
8	795	34539
9	949	37034
10	1071	37890
11	1153	37297
12	1228	36569
13	1330	36676
14	1438	36924
15	1534	36836
16	1635	36841
17	1752	37183
18	1843	36970
19	1953	37109
20	2055	37090
21	2123	36488
22	2197	36017
23	2270	35572
24	2334	35015
25	2401	34551
26	2470	34124
27	2549	33871
28	2641	33795
29	2743	33834
30	2921	34775
31	3018	34712
32	3157	35116
33	3257	35066
34	3374	35186
35	3477	35166
36	3580	35123
37	3693	35182
38	3834	35497
39	3944	35502
40	4057	35526
41	4155	35416
42	4256	35334
43	4390	35525
44	4491	35431
45	4588	35311
46	4658	34984
47	4745	34798
48	4832	34615
49	4917	34420
50	4990	34153
51	5078	33985
52	5167	33833
53	5249	33634
54	5372	33701
55	5453	33497
56	5562	33469
57	5641	33263
58	5728	33111
59	5830	33041
60	5944	33034
61	6026	32852
62	6143	32861
63	6218	32644
64	6287	32406
65	6385	32315
66	6473	32174
67	6538	31922
68	6637	31839
69	6703	31602
70	6768	31362
71	6838	31151
72	6916	30981
73	6983	30763
74	7061	30597
75	7187	30642
76	7282	30549
77	7363	30399
78	7436	30218
79	7512	30051
80	7594	29910
81	7680	29783
82	7747	29588
83	7858	29561
84	7967	29525
85	8086	29523
86	8213	29550
87	8379	29710
88	8543	29854
89	8665	29846
90	8793	29859
91	8894	29778
92	8976	29631
93	9067	29518
94	9187	29495
95	9303	29461
96	9391	29337
97	9470	29183
98	9548	29030
99	9664	28993
100	9772	28930
101	9863	28815
102	9934	28644
103	10003	28472
104	10096	28367
105	10180	28236
106	10245	28055
107	10353	27992
108	10441	27875
109	10505	27696
110	10581	27550
111	10665	27425
112	10734	27264
113	10798	27090
114	10882	26969
115	10959	26832
116	11019	26654
117	11083	26487
118	11163	26360
119	11241	26230
120	11301	26058
121	11394	25965
122	11499	25897
123	11571	25755
124	11654	25638
125	11733	25515
126	11800	25365
127	11877	25239
128	11935	25073
129	12000	24924
130	12109	24866
131	12184	24737
132	12262	24617
133	12334	24484
134	12420	24380
135	12479	24223
136	12547	24088
137	12776	24257
138	12867	24161
139	12934	24020
140	12995	23870
141	13056	23722
142	13132	23600
143	13200	23467
144	13286	23366
145	13393	23300
146	13465	23174
147	13562	23093
148	13645	22987
149	13728	22881
150	13797	22751
151	13897	22675
152	13980	22570
153	14066	22469
154	14148	22363
155	14216	22236
156	14277	22098
157	14346	21973
158	14411	21844
159	14487	21730
160	14559	21613
161	14637	21504
162	14722	21406
163	14794	21289
164	14864	21170
165	14930	21047
166	15000	20928
167	15073	20815
168	15148	20705
169	15217	20588
170	15280	20463
171	15344	20340
172	15403	20211
173	15484	20111
174	15546	19987
175	15610	19867
176	15679	19754
177	15751	19644
178	15819	19531
179	15892	19423
180	15966	19319
181	16047	19221
182	16117	19111
183	16193	19009
184	16265	18903
185	16330	18788
186	16393	18673
187	16470	18573
188	16531	18455
189	16609	18357
190	16695	18268
191	16768	18165
192	16847	18070
193	16941	17989
194	17004	17876
195	17080	17777
196	17161	17684
197	17235	17583
198	17310	17484
199	17379	17379
200	17454	17280
201	17516	17169
202	17577	17058
203	17638	16946
204	17708	16844
205	17783	16748
206	17855	16648
207	17926	16547
208	17993	16443
209	18073	16352
210	18139	16248
211	18201	16141
212	18278	16046
213	18347	15946
214	18415	15845
215	18481	15743
216	18549	15642
217	18618	15543
218	18690	15447
219	18756	15345
220	18827	15249
221	18883	15140
222	18943	15035
223	19009	14936
224	19076	14837
225	19146	14741
226	19207	14638
227	19286	14549
228	19355	14453
229	19419	14353
230	19479	14251
231	19542	14151
232	19606	14052
233	19673	13956
234	19740	13860
235	19800	13759
236	19875	13669
237	19950	13579
238	20015	13483
