iter	RMSE
0	0.971822934
1	0.9376819538
2	0.9056622041
3	0.8754499064
4	0.8478363794
5	0.8209702496
6	0.7959205799
7	0.7722270535
8	0.7502316156
9	0.729567432
10	0.7104424972
11	0.6924324318
12	0.675804651
13	0.6600934272
14	0.6451936544
15	0.6309632291
16	0.6181821451
17	0.6062556585
18	0.5953609521
19	0.5853404886
20	0.5756606252
21	0.5670509681
22	0.5590669521
23	0.5515390116
24	0.5444724157
25	0.53807284
26	0.5319232884
27	0.5262643786
28	0.5209628261
29	0.5161043604
30	0.5117141362
31	0.5076669908
32	0.5038409199
33	0.5001698569
34	0.4968884175
35	0.4939578616
36	0.4910861217
37	0.4884174853
38	0.485955079
39	0.4837984596
40	0.4817356149
41	0.4797001482
42	0.4777988503
43	0.4761487
44	0.4748315235
45	0.4731705141
46	0.4719694061
47	0.4707403254
48	0.4695174389
49	0.4684605315
50	0.4673411115
51	0.4663078199
52	0.4654623708
53	0.464516808
54	0.4638070006
55	0.4629720327
56	0.4622127375
57	0.4614534602
58	0.4607857434
59	0.4601350791
60	0.4595928149
61	0.4590727105
62	0.4584687464
63	0.4578897511
64	0.4573444654
65	0.4568497163
66	0.4563872727
67	0.4557582648
68	0.4553608593
69	0.4549382626
70	0.4546247491
71	0.4541370312
72	0.4535449577
73	0.4531994568
74	0.4528966187
75	0.4525473561
76	0.4522300865
77	0.4518225876
78	0.4515891673
79	0.451325417
80	0.4509979733
81	0.4506608559
82	0.4503923687
83	0.4501715938
84	0.4498571933
85	0.4495599933
86	0.4493586037
87	0.4490987839
88	0.4488480021
89	0.4485895543
90	0.4483527891
91	0.4481060207
92	0.4478720354
93	0.4476000522
94	0.4473561782
95	0.4471181232
96	0.4468939375
97	0.4466601697
98	0.4463480545
99	0.4461921513
100	0.4460214774
101	0.4458869403
102	0.4457397172
103	0.4454725375
104	0.4453048201
105	0.4451082033
106	0.4448524758
107	0.4446535701
108	0.4444347228
109	0.444289143
110	0.4441411348
111	0.4438940136
112	0.4436768568
113	0.44355282
114	0.4433655258
115	0.4432245668
116	0.4429815833
117	0.4428491634
118	0.44259197
119	0.4424353642
120	0.442329916
121	0.4422443369
122	0.4420662841
123	0.441833191
124	0.4416130775
125	0.4414400233
126	0.4412055555
127	0.4409495868
128	0.4409044281
129	0.4408221485
130	0.4406130103
131	0.4405012447
132	0.4403034269
133	0.4402285203
134	0.4401280096
135	0.4399933751
136	0.4397996616
137	0.4396291689
138	0.4395297352
139	0.439417735
140	0.4392372201
141	0.4390741111
142	0.4388984173
143	0.4386743907
144	0.4384024625
145	0.4382834137
146	0.4381880388
147	0.4380523398
148	0.4378774273
149	0.4377702317
150	0.4375790296
151	0.4373463334
152	0.4372004252
153	0.4370361984
154	0.4368886296
155	0.4367489065
156	0.4365770036
157	0.4364379536
158	0.4363394166
159	0.4362078368
160	0.4360804364
161	0.4357786858
162	0.4356049607
163	0.43542051
164	0.4353020764
165	0.4352054715
166	0.435040938
167	0.4349342142
168	0.4347968209
169	0.434714512
170	0.4346530094
171	0.4345516118
172	0.4343168091
173	0.4342253418
174	0.4340950792
175	0.4339713839
176	0.4338315088
177	0.433706933
178	0.4335720113
179	0.4334801876
180	0.433334443
181	0.4332281685
182	0.4331401223
183	0.4330181165
184	0.4328942053
185	0.4328017976
186	0.4327077965
187	0.4326067441
188	0.4324100078
189	0.4322694766
190	0.4321195067
191	0.4320553613
192	0.4318971393
193	0.4317995464
194	0.4317169004
195	0.4316481858
196	0.4315778379
197	0.4314180282
198	0.4313572288
199	0.4312300817
200	0.4311309647
201	0.4310905558
202	0.4309948523
203	0.4308336016
204	0.4307080089
205	0.4306098446
206	0.4304850639
207	0.4303075837
208	0.430222785
209	0.430150243
210	0.430009899
211	0.4298417652
212	0.4297606404
213	0.4296611391
214	0.4294388995
215	0.4293269739
216	0.4291820819
217	0.4289915515
218	0.4288034066
219	0.428638979
220	0.4285295531
221	0.4283837145
222	0.4282633345
223	0.428097895
224	0.4279080049
225	0.4277520555
226	0.4276184235
227	0.4274986085
228	0.4273873995
229	0.4272102586
230	0.4270828186
231	0.4269854213
232	0.4268009099
233	0.4266352704
234	0.4264769433
235	0.4263959636
236	0.4263710298
237	0.4263181131
238	0.4262291627
239	0.4262047967
240	0.4260951253
241	0.4259270087
242	0.4257346849
243	0.4255965234
244	0.4255145111
245	0.425488041
246	0.4253520974
247	0.425185092
248	0.4250593401
249	0.4249096523
250	0.4248018832
251	0.4246586918
252	0.4246386192
253	0.4244750167
254	0.4243454466
255	0.4242720071
256	0.4241577813
257	0.423978738
258	0.4237947954
259	0.4236941437
260	0.4235399332
261	0.4234346443
262	0.4233612285
263	0.4231957578
264	0.4231371614
265	0.4229544727
266	0.4227995295
267	0.422741022
268	0.4226454821
269	0.42247077
270	0.4223328654
271	0.4221634777
272	0.422006585
273	0.4219241644
274	0.421776101
275	0.4216518118
276	0.4213932373
277	0.4212782786
278	0.4212182316
279	0.4210733506
280	0.4209551186
281	0.4208772619
282	0.4207477578
283	0.4206484428
284	0.4205725945
285	0.420409494
286	0.4202081944
287	0.4200273322
288	0.4198812369
289	0.4197273187
290	0.4196255662
291	0.4194560329
292	0.4193478911
293	0.4192514433
294	0.4190876617
295	0.4190295834
296	0.4189806692
297	0.4187273032
298	0.4185802619
299	0.418401272
300	0.4183082943
301	0.418203245
302	0.4180774297
303	0.4179724362
304	0.4178156028
305	0.4176507367
306	0.41744355
307	0.4172705021
308	0.4171149598
309	0.4170339809
310	0.4169149637
311	0.4167583286
312	0.4166451294
313	0.4165610598
314	0.4164752467
315	0.4163505502
316	0.4162248178
317	0.4160430258
318	0.415901105
319	0.4157587662
320	0.4156612643
321	0.4155636401
322	0.4154638137
323	0.4153116735
324	0.4151759307
325	0.4151026673
326	0.4149791657
327	0.4149050711
328	0.4147562087
329	0.4146053397
330	0.4144870067
331	0.4143887422
332	0.4142443722
333	0.4140685884
334	0.4139692031
335	0.4138965619
336	0.4137694559
337	0.4135782207
338	0.413408808
339	0.4132527267
340	0.4131691283
341	0.4130118141
342	0.4129042886
343	0.4127269561
344	0.4126054846
345	0.4125006787
346	0.4123546278
347	0.4122660161
348	0.4121476164
349	0.4120449214
350	0.4118686646
351	0.4117893904
352	0.4117027547
353	0.4115600523
354	0.4114602584
355	0.4113818504
356	0.411217833
357	0.4111132533
358	0.4109656626
359	0.4108577557
360	0.4107722523
361	0.4106982458
362	0.410591065
363	0.410518873
364	0.4103736969
365	0.4102949321
366	0.4102226929
367	0.4100939404
368	0.4099880084
369	0.4099113652
370	0.4098378575
371	0.4097948239
372	0.4097298716
373	0.4096376487
374	0.4095310797
375	0.4093837623
376	0.409308043
377	0.4092539456
378	0.4090976274
379	0.4089884348
380	0.4088602562
381	0.4087407265
382	0.4086219276
383	0.4084767872
384	0.408397066
385	0.4083113124
386	0.4082774176
387	0.4081188764
388	0.4080389878
389	0.4079561257
390	0.4078140209
391	0.4077215767
392	0.4076928524
393	0.40760751
394	0.4074207519
395	0.4073199181
396	0.4071798002
397	0.4069999426
398	0.4069255632
399	0.4068104392
