iter	Passed	Remaining
0	77	30776
1	144	28729
2	218	28908
3	297	29431
4	373	29537
5	455	29929
6	526	29546
7	595	29189
8	672	29221
9	743	28984
10	824	29158
11	914	29571
12	996	29661
13	1081	29815
14	1158	29723
15	1234	29621
16	1311	29552
17	1389	29479
18	1461	29316
19	1541	29285
20	1615	29153
21	1691	29060
22	1768	28984
23	1838	28805
24	1922	28836
25	1993	28670
26	2065	28533
27	2136	28383
28	2200	28150
29	2273	28042
30	2347	27948
31	2419	27820
32	2491	27710
33	2561	27573
34	2635	27488
35	2712	27423
36	2784	27322
37	2860	27248
38	2924	27065
39	2996	26965
40	3069	26879
41	3141	26781
42	3212	26672
43	3285	26582
44	3358	26494
45	3430	26396
46	3503	26310
47	3578	26245
48	3654	26175
49	3726	26088
50	3807	26057
51	3875	25935
52	3949	25855
53	4027	25803
54	4105	25754
55	4181	25688
56	4262	25649
57	4332	25546
58	4411	25496
59	4484	25414
60	4567	25384
61	4656	25385
62	4735	25331
63	4806	25235
64	4882	25163
65	4956	25080
66	5026	24984
67	5106	24931
68	5188	24890
69	5264	24820
70	5342	24757
71	5418	24682
72	5495	24617
73	5576	24568
74	5655	24507
75	5738	24466
76	5814	24390
77	5886	24299
78	5961	24221
79	6033	24135
80	6101	24029
81	6176	23951
82	6280	23987
83	6357	23917
84	6430	23832
85	6513	23781
86	6590	23709
87	6659	23609
88	6733	23528
89	6815	23475
90	6889	23394
91	6959	23300
92	7031	23210
93	7107	23138
94	7185	23068
95	7255	22974
96	7334	22909
97	7407	22825
98	7482	22750
99	7557	22673
100	7631	22592
101	7704	22509
102	7773	22413
103	7850	22342
104	7926	22268
105	7995	22176
106	8068	22093
107	8140	22010
108	8212	21924
109	8296	21873
110	8370	21792
111	8447	21722
112	8513	21623
113	8583	21534
114	8662	21467
115	8735	21386
116	8820	21334
117	8894	21256
118	8969	21181
119	9048	21112
120	9116	21020
121	9186	20932
122	9265	20866
123	9338	20784
124	9413	20709
125	9494	20645
126	9568	20568
127	9641	20489
128	9726	20432
129	9802	20358
130	9877	20283
131	9950	20203
132	10028	20133
133	10112	20073
134	10185	19993
135	10259	19915
136	10328	19827
137	10395	19737
138	10464	19649
139	10537	19570
140	10613	19495
141	10685	19414
142	10846	19493
143	11043	19632
144	11115	19547
145	11186	19461
146	11258	19377
147	11338	19305
148	11409	19220
149	11483	19139
150	11554	19053
151	11634	18983
152	11714	18911
153	11790	18834
154	11860	18747
155	11929	18658
156	11995	18565
157	12057	18467
158	12137	18396
159	12213	18319
160	12284	18236
161	12350	18145
162	12418	18055
163	12488	17971
164	12557	17884
165	12625	17797
166	12703	17723
167	12776	17644
168	12848	17561
169	12922	17482
170	12991	17398
171	13057	17308
172	13127	17225
173	13196	17140
174	13276	17069
175	13348	16989
176	13420	16907
177	13490	16825
178	13558	16740
179	13634	16663
180	13703	16580
181	13770	16494
182	13851	16424
183	13914	16334
184	13982	16249
185	14064	16181
