iter	RMSE
0	0.9711383318
1	0.9388734194
2	0.9093798569
3	0.8820107102
4	0.8557225132
5	0.831438166
6	0.8086030045
7	0.7873627837
8	0.7679559095
9	0.7487749909
10	0.7310213616
11	0.7148579809
12	0.7000432958
13	0.6854750187
14	0.6719268174
15	0.6596635761
16	0.6483770029
17	0.63763412
18	0.6278989642
19	0.6185405177
20	0.6104808892
21	0.6024852003
22	0.5950487646
23	0.5881762952
24	0.5820904881
25	0.5763875412
26	0.5712985941
27	0.5666032945
28	0.5618287957
29	0.5574759775
30	0.5536543126
31	0.5502218518
32	0.5470501954
33	0.544133218
34	0.5413594298
35	0.5388286762
36	0.5365679167
37	0.5344680415
38	0.5324925898
39	0.5307246199
40	0.5291885155
41	0.5276014126
42	0.5260130398
43	0.524723724
44	0.5235085096
45	0.5222575864
46	0.5210023815
47	0.5199187132
48	0.5189943868
49	0.5179886467
50	0.5171072349
51	0.5163451968
52	0.5154559224
53	0.5147504113
54	0.5141355344
55	0.5133673563
56	0.5126371436
57	0.5120588252
58	0.511352977
59	0.5107827256
60	0.5101745595
61	0.5097098013
62	0.5092418833
63	0.5088640602
64	0.5083814017
65	0.5080110571
66	0.5074731197
67	0.5070627229
68	0.5067092408
69	0.5063187859
70	0.5059718276
71	0.5056468163
72	0.5053733483
73	0.5050414536
74	0.5046672636
75	0.5043569323
76	0.5040303289
77	0.5037505145
78	0.5034379921
79	0.5031634534
80	0.502896707
81	0.5026776748
82	0.5023985083
83	0.502211259
84	0.5019699312
85	0.5017023822
86	0.5015199276
87	0.5012894448
88	0.5010399052
89	0.5007866301
90	0.5005542422
91	0.5003000872
92	0.5000625734
93	0.4998351835
94	0.4996117853
95	0.4994005043
96	0.49919088
97	0.4990374726
98	0.4988186655
99	0.4986541979
100	0.4984722375
101	0.4982661875
102	0.4981220635
103	0.4979027654
104	0.4977139018
105	0.4975264344
106	0.4973753557
107	0.497190255
108	0.4970625996
109	0.496868074
110	0.4967335926
111	0.4964480943
112	0.4962779439
113	0.4961256304
114	0.4959976457
115	0.4958566099
116	0.495572386
117	0.4953997577
118	0.4952354657
119	0.495028262
120	0.494946288
121	0.4947187934
122	0.4946197307
123	0.4945390671
124	0.4942381489
125	0.4940966519
126	0.4939770091
127	0.4937584229
128	0.4936311628
129	0.4935084521
130	0.4933316528
131	0.4932263378
132	0.4929994726
133	0.4929252962
134	0.4926801156
135	0.4925047437
136	0.4923799194
137	0.4921316501
138	0.4920474184
139	0.4919274742
140	0.4918061534
141	0.4916253136
142	0.4915102478
143	0.4913214412
144	0.4911801422
145	0.4910661592
146	0.4908674032
147	0.4907433763
148	0.4906542452
149	0.4905526521
150	0.4903645377
151	0.4902064308
152	0.4901118903
153	0.4899629103
154	0.4898111963
155	0.4897487571
156	0.4896717518
157	0.4895750852
158	0.4893415604
159	0.4892378662
160	0.4891473561
161	0.4890240192
162	0.4889001376
163	0.4886916171
164	0.4885145912
165	0.4884271014
166	0.4883505251
167	0.4882255877
168	0.488097979
169	0.4880444129
170	0.4879131601
171	0.4877785426
172	0.4875203074
173	0.4874708763
174	0.4873275804
175	0.4872454981
176	0.4872060645
177	0.4870416654
178	0.4868915489
179	0.4867182026
180	0.4866313949
181	0.4864020529
182	0.4861870147
183	0.4860343776
184	0.4859370589
185	0.4857697033
186	0.4856491056
187	0.485607806
188	0.4854288993
189	0.4852278002
190	0.4850823354
191	0.4850366534
192	0.4849105113
193	0.4847642047
194	0.4846903114
195	0.4844302562
196	0.4843195277
197	0.4841352083
198	0.4839991352
199	0.4838760769
200	0.4837462176
201	0.4836026679
202	0.4834622874
203	0.4833234089
204	0.4831864898
