iter	Passed	Remaining
0	81	32409
1	150	29852
2	229	30368
3	303	30011
4	381	30128
5	456	29981
6	535	30060
7	606	29706
8	686	29803
9	753	29383
10	822	29093
11	907	29353
12	988	29441
13	1073	29604
14	1151	29545
15	1226	29440
16	1299	29270
17	1370	29081
18	1445	28993
19	1512	28739
20	1584	28591
21	1658	28502
22	1732	28396
23	1809	28352
24	1891	28376
25	1976	28432
26	2062	28499
27	2151	28589
28	2221	28420
29	2294	28293
30	2357	28064
31	2430	27946
32	2507	27882
33	2574	27710
34	2649	27631
35	2726	27566
36	2795	27423
37	2867	27312
38	2930	27129
39	3008	27072
40	3079	26961
41	3154	26889
42	3228	26805
43	3302	26719
44	3367	26566
45	3439	26472
46	3513	26388
47	3588	26317
48	3654	26177
49	3733	26131
50	3805	26044
51	3879	25965
52	3951	25873
53	4019	25751
54	4094	25684
55	4166	25592
56	4245	25548
57	4311	25422
58	4384	25339
59	4449	25211
60	4514	25090
61	4584	24990
62	4664	24952
63	4734	24853
64	4814	24814
65	4885	24725
66	4956	24633
67	5023	24525
68	5094	24436
69	5169	24370
70	5249	24327
71	5328	24274
72	5404	24210
73	5477	24132
74	5547	24039
75	5617	23950
76	5693	23884
77	5759	23776
78	5833	23702
79	5911	23644
80	5984	23566
81	6059	23499
82	6205	23700
83	6339	23849
84	6420	23792
85	6489	23692
86	6560	23601
87	6631	23511
88	6701	23419
89	6780	23356
90	6858	23288
91	6938	23229
92	7014	23154
93	7083	23060
94	7163	22997
95	7235	22913
96	7315	22850
97	7388	22770
98	7463	22692
99	7537	22613
100	7604	22512
101	7676	22428
102	7745	22333
103	7815	22243
104	7892	22174
105	7959	22075
106	8035	22004
107	8107	21920
108	8176	21827
109	8244	21735
110	8324	21674
111	8404	21611
112	8491	21567
113	8574	21511
114	8653	21446
115	8736	21390
116	8821	21337
117	8900	21271
118	8976	21197
119	9051	21119
120	9125	21041
121	9206	20979
122	9280	20900
123	9354	20821
124	9422	20729
125	9491	20639
126	9567	20565
127	9651	20508
128	9736	20454
129	9824	20404
130	9904	20337
131	9985	20272
132	10071	20219
133	10148	20144
134	10233	20087
135	10331	20054
136	10421	20006
137	10513	19959
138	10615	19932
139	10707	19886
140	10812	19861
141	10914	19829
142	11001	19772
143	11082	19702
144	11179	19659
145	11270	19607
146	11361	19554
147	11447	19492
148	11528	19419
149	11610	19350
150	11693	19282
151	11774	19211
152	11858	19144
153	11941	19076
154	12020	19000
155	12092	18913
156	12171	18838
157	12257	18774
158	12340	18704
159	12423	18634
160	12492	18545
161	12565	18461
162	12645	18386
163	12731	18321
164	12811	18246
165	12893	18175
166	12965	18089
167	13044	18013
168	13118	17931
169	13193	17850
170	13262	17761
171	13336	17678
172	13404	17589
173	13476	17503
174	13548	17418
175	13619	17333
176	13697	17257
177	13774	17179
178	13859	17111
179	13952	17052
180	14029	16975
181	14110	16901
182	14188	16824
183	14261	16742
184	14341	16667
185	14426	16598
186	14506	16523
187	14592	16455
188	14668	16376
189	14742	16294
190	14819	16216
191	14890	16131
192	14957	16042
193	15036	15966
194	15106	15881
195	15182	15801
196	15260	15725
197	15394	15705
198	15485	15640
199	15559	15559
200	15635	15480
201	15714	15403
202	15787	15320
203	15862	15240
204	15935	15157
205	16015	15082
206	16081	14994
207	16161	14918
208	16231	14833
209	16305	14752
210	16374	14667
211	16443	14582
212	16519	14503
213	16595	14424
214	16667	14341
215	16747	14266
216	16814	14179
217	16881	14093
218	16954	14012
219	17028	13932
220	17103	13853
221	17175	13771
222	17245	13688
223	17317	13606
224	17389	13524
225	17459	13442
226	17530	13360
227	17614	13288
228	17691	13210
229	17769	13134
230	17849	13058
231	17916	12973
232	17988	12893
233	18053	12807
234	18120	12722
235	18189	12640
236	18262	12559
237	18335	12480
238	18404	12397
239	18470	12313
240	18545	12235
241	18619	12156
242	18710	12088
243	18780	12007
244	18850	11926
245	18926	11848
246	18994	11765
247	19070	11688
248	19145	11610
249	19214	11528
250	19280	11445
251	19344	11361
252	19414	11280
253	19489	11202
254	19560	11122
255	19633	11043
256	19700	10961
257	19775	10884
258	19841	10801
259	19911	10721
260	19988	10645
261	20054	10563
262	20131	10486
263	20196	10404
264	20271	10327
265	20355	10254
266	20420	10171
267	20492	10093
268	20585	10024
269	20656	9945
270	20731	9868
271	20807	9791
272	20887	9717
273	20974	9645
274	21065	9575
275	21159	9506
276	21239	9431
277	21319	9355
278	21415	9287
279	21495	9212
280	21590	9143
281	21687	9074
282	21770	9000
283	21863	8930
284	21946	8855
285	22189	8844
286	22273	8769
287	22353	8693
288	22427	8613
289	22499	8534
290	22574	8455
291	22643	8374
292	22717	8295
293	22793	8217
294	22865	8138
295	22935	8058
296	23012	7980
297	23086	7902
298	23157	7822
299	23232	7744
300	23304	7664
301	23379	7586
302	23447	7506
303	23535	7432
304	23619	7356
305	23688	7276
306	23770	7200
307	23845	7122
308	23917	7043
309	23986	6963
310	24059	6885
311	24131	6806
312	24195	6725
313	24262	6645
314	24333	6566
315	24405	6487
316	24476	6408
317	24546	6329
318	24625	6252
319	24697	6174
320	24773	6096
321	24847	6018
322	24927	5942
323	24994	5862
324	25068	5785
325	25146	5708
326	25219	5629
327	25290	5551
328	25363	5473
329	25433	5394
330	25505	5316
331	25579	5239
332	25655	5161
333	25734	5085
334	25809	5007
