iter	Passed	Remaining
0	82	32991
1	159	31797
2	243	32244
3	325	32207
4	419	33156
5	505	33206
6	589	33110
7	679	33311
8	759	32985
9	873	34051
10	1000	35379
11	1103	35695
12	1173	34920
13	1270	35022
14	1381	35469
15	1472	35333
16	1565	35262
17	1726	36641
18	1858	37275
19	1961	37267
20	2059	37168
21	2137	36725
22	2243	36771
23	2327	36461
24	2399	35997
25	2474	35600
26	2540	35094
27	2615	34747
28	2691	34431
29	2782	34315
30	2887	34367
31	2984	34323
32	3081	34270
33	3168	34103
34	3237	33766
35	3342	33797
36	3442	33775
37	3523	33562
38	3596	33294
39	3667	33004
40	3744	32791
41	3860	32905
42	3951	32807
43	4049	32764
44	4135	32621
45	4228	32541
46	4306	32344
47	4403	32295
48	4501	32246
49	4588	32122
50	4690	32101
51	4769	31921
52	4842	31703
53	4922	31537
54	5062	31757
55	5176	31801
56	5273	31732
57	5360	31607
58	5439	31440
59	5532	31350
60	5638	31336
61	5740	31295
62	5828	31179
63	5915	31054
64	6015	31001
65	6101	30879
66	6197	30800
67	6305	30787
68	6396	30686
69	6480	30551
70	6552	30362
71	6647	30284
72	6720	30102
73	6811	30009
74	6880	29816
75	6956	29657
76	7138	29944
77	7259	29969
78	7333	29798
79	7411	29647
80	7478	29452
81	7547	29271
82	7638	29175
83	7720	29043
84	7797	28896
85	7880	28774
86	7974	28688
87	8077	28638
88	8172	28557
89	8259	28450
90	8337	28309
91	8404	28138
92	8484	28008
93	8587	27956
94	8674	27849
95	8760	27741
96	8838	27609
97	8952	27588
98	9054	27527
99	9125	27376
100	9254	27397
101	9349	27316
102	9428	27185
103	9522	27103
104	9618	27022
105	9703	26913
106	9775	26767
107	9872	26693
108	9965	26606
109	10049	26495
110	10131	26379
111	10211	26257
112	10298	26156
113	10385	26054
114	10475	25961
115	10547	25824
116	10620	25688
117	10684	25533
118	10772	25438
119	10854	25327
120	10935	25214
121	11014	25098
122	11091	24979
123	11178	24881
124	11261	24774
125	11342	24666
126	11416	24540
127	11479	24394
128	11570	24306
129	11654	24205
130	11737	24103
131	11820	23998
132	11900	23890
133	11978	23778
134	12058	23669
135	12140	23567
136	12208	23436
137	12301	23354
138	12384	23254
139	12455	23131
140	12541	23037
141	12618	22926
142	12701	22826
143	12808	22770
144	12884	22659
145	12950	22529
146	13031	22427
147	13115	22331
148	13198	22233
149	13282	22137
150	13376	22057
151	13442	21933
152	13525	21835
