iter	Passed	Remaining
0	92	36709
1	159	31765
2	232	30798
3	293	29099
4	362	28619
5	428	28141
6	502	28236
7	577	28289
8	660	28710
9	736	28731
10	824	29156
11	903	29219
12	999	29756
13	1076	29672
14	1147	29445
15	1220	29293
16	1299	29280
17	1386	29434
18	1476	29599
19	1552	29493
20	1636	29528
21	1708	29362
22	1771	29042
23	1831	28690
24	1895	28438
25	1982	28522
26	2052	28353
27	2130	28300
28	2201	28170
29	2260	27877
30	2316	27576
31	2373	27296
32	2439	27133
33	2501	26925
34	2561	26708
35	2620	26496
36	2710	26592
37	2788	26565
38	2860	26475
39	2944	26499
40	3019	26441
41	3088	26326
42	3158	26220
43	3228	26123
44	3298	26019
45	3441	26482
46	3533	26535
47	3623	26570
48	3712	26594
49	3822	26757
50	3909	26750
51	4018	26892
52	4102	26859
53	4184	26809
54	4286	26889
55	4396	27007
56	4488	27008
57	4576	26987
58	4660	26934
59	4736	26838
60	4821	26797
61	4904	26735
62	4979	26635
63	5056	26546
64	5229	26952
65	5354	27096
66	5437	27025
67	5522	26961
68	5602	26874
69	5706	26899
70	5830	27017
71	5950	27108
72	6121	27422
73	6231	27454
74	6390	27690
75	6553	27936
76	6674	27999
77	6786	28014
78	6933	28174
79	7041	28166
80	7155	28180
81	7291	28277
82	7463	28503
83	7655	28799
84	7755	28739
85	7840	28626
86	7932	28540
87	8006	28388
88	8075	28219
89	8150	28074
90	8223	27924
91	8285	27738
92	8345	27549
93	8420	27411
94	8490	27257
95	8562	27113
96	8639	26988
97	8707	26832
98	8779	26692
99	8869	26607
100	8974	26568
101	9072	26505
102	9177	26463
103	9257	26348
104	9378	26348
105	9510	26376
106	9655	26439
107	9743	26343
108	9831	26247
109	9973	26294
110	10051	26171
111	10125	26037
112	10205	25920
113	10277	25783
114	10350	25651
115	10436	25551
116	10526	25462
117	10600	25334
118	10678	25216
119	10746	25076
120	10865	25052
121	10979	25017
122	11071	24933
123	11203	24937
124	11299	24858
125	11400	24790
126	11511	24746
127	11629	24712
128	11723	24629
129	11809	24526
130	11948	24535
131	12045	24455
132	12129	24351
133	12285	24388
134	12485	24507
135	12661	24579
136	12796	24565
137	12975	24635
138	13065	24532
139	13162	24443
140	13239	24319
141	13315	24192
142	13452	24176
143	13569	24123
144	13661	24025
145	13805	24017
146	13917	23953
147	14016	23866
148	14090	23735
149	14176	23626
150	14272	23536
151	14352	23417
152	14429	23295
153	14540	23226
154	14621	23110
155	14720	23024
156	14802	22911
157	14892	22810
158	15006	22746
159	15116	22674
160	15212	22583
161	15333	22527
162	15434	22441
163	15515	22326
164	15585	22197
165	15708	22142
166	16008	22334
167	16247	22436
168	16440	22472
169	16590	22446
170	16719	22390
171	16880	22376
172	17017	22328
173	17213	22357
174	17508	22511
175	17835	22700
176	18093	22796
177	18321	22849
178	18523	22869
179	19029	23258
180	19173	23198
181	19322	23144
182	19598	23239
183	19777	23217
184	19949	23184
185	20079	23102
186	20345	23174
187	20551	23174
188	20813	23236
189	21059	23276
190	21247	23250
191	21445	23232
192	21671	23243
193	21801	23150
194	21964	23090
195	22111	23014
196	22249	22927
197	22357	22809
198	22481	22707
199	22585	22585
200	22716	22490
201	22868	22415
202	23086	22404
203	23238	22327
204	23353	22214
205	23521	22151
206	23635	22037
207	23775	21946
208	23872	21816
209	24032	21743
210	24204	21681
211	24350	21594
212	24465	21479
213	24602	21383
214	24757	21303
215	24873	21188
216	24967	21055
217	25062	20924
218	25172	20804
219	25430	20806
220	25603	20737
221	25853	20729
222	25994	20632
223	26104	20510
224	26199	20377
225	26312	20258
226	26409	20126
227	26515	20003
228	26630	19885
229	26749	19771
230	26862	19652
231	26964	19525
232	27284	19555
233	27429	19458
234	27531	19330
235	27646	19212
236	27756	19090
237	27864	18966
238	27974	18844
239	28085	18723
240	28205	18608
241	28313	18485
242	28426	18366
243	28531	18241
244	28631	18114
245	28731	17986
246	28840	17865
247	28942	17738
248	29044	17613
