iter	RMSE
0	0.9582475984
1	0.9206897826
2	0.8872502428
3	0.8542575613
4	0.8232414503
5	0.7937366522
6	0.7670310108
7	0.7416862038
8	0.7178482058
9	0.695364235
10	0.6733878101
11	0.6533113732
12	0.6347028355
13	0.6181490454
14	0.602330856
15	0.5868741546
16	0.5720262089
17	0.5587593027
18	0.5460309342
19	0.5342816874
20	0.5234538292
21	0.5134164491
22	0.5041409864
23	0.4952562349
24	0.4869815423
25	0.4796207634
26	0.4724727171
27	0.466055737
28	0.4603460254
29	0.4545138138
30	0.4494272319
31	0.4447997058
32	0.440246693
33	0.4358117115
34	0.4319514185
35	0.428295555
36	0.4249325428
37	0.4218850113
38	0.4192202421
39	0.4165914755
40	0.4141855067
41	0.4120317744
42	0.4100401626
43	0.4079615464
44	0.4061676644
45	0.4046241689
46	0.4032398068
47	0.4016813535
48	0.400352537
49	0.3990584646
50	0.3979162212
51	0.3969260022
52	0.395896375
53	0.3950616981
54	0.394219623
55	0.3933151743
56	0.3924925761
57	0.3917810966
58	0.3911242642
59	0.3905862357
60	0.3899511878
61	0.3893651125
62	0.388801474
63	0.3883144499
64	0.3877574886
65	0.38726536
66	0.386761603
67	0.3864083632
68	0.3858813206
69	0.3854792736
70	0.3851687849
71	0.3847595497
72	0.384495485
73	0.3842207571
74	0.3839195475
75	0.3835229829
76	0.383239358
77	0.3829947074
78	0.382678819
79	0.3823350909
80	0.3820285373
81	0.3816849071
82	0.3814420679
83	0.3812070063
84	0.3809730198
85	0.3808076847
86	0.3805027727
87	0.380278431
88	0.3800808794
89	0.3798849253
90	0.3796013696
91	0.3794044216
92	0.3792127604
93	0.3790160022
94	0.3788480797
95	0.3786419683
96	0.3784728998
97	0.3783436319
98	0.3781650742
99	0.3779897659
100	0.3777850401
101	0.3776110608
102	0.3773323199
103	0.3772106422
104	0.3770899163
105	0.3769459554
106	0.3766258666
107	0.3764003774
108	0.3762602371
109	0.3760845845
110	0.3759410979
111	0.3758175906
112	0.3755777468
113	0.3753725616
114	0.3752613543
115	0.3750840982
116	0.3749993802
117	0.3748324719
118	0.3746954271
119	0.3745680907
120	0.3744670921
121	0.37433896
122	0.3742083567
123	0.3740999432
124	0.3739811247
125	0.3738619031
126	0.3737659008
127	0.3736618364
128	0.3734975886
129	0.37335076
130	0.3732366319
131	0.3730758642
132	0.3728601803
133	0.3726718312
134	0.3726034724
135	0.372515432
136	0.372402532
137	0.3723248018
138	0.3721931133
139	0.372121579
140	0.3719876194
141	0.3719096597
142	0.3717752652
143	0.3716884287
144	0.3715420558
145	0.3714453799
146	0.3713875193
147	0.3712312512
148	0.3711316947
149	0.3710169378
150	0.3708745918
151	0.3707640754
152	0.3706455443
153	0.3705748746
154	0.3704877109
155	0.3703994491
156	0.3702805885
157	0.3701422236
158	0.3700197846
159	0.3698760344
160	0.3697905803
161	0.3696661876
162	0.3695713299
163	0.3694497364
164	0.3693141246
165	0.3692275759
166	0.3690435834
167	0.3689430851
168	0.3688451802
169	0.3687655118
170	0.3686661208
171	0.3685952669
172	0.368503334
173	0.3683825246
174	0.3682794722
175	0.3682119208
176	0.3681616576
177	0.3680390196
178	0.3679095487
179	0.3677706244
180	0.3676306959
181	0.3674954799
182	0.3674242746
183	0.3673328872
184	0.3671750203
185	0.3670795687
186	0.3669769728
187	0.3669059909
188	0.3668598258
189	0.3667739734
190	0.3666857526
191	0.3666208231
192	0.366534891
193	0.3664199288
194	0.3663347203
195	0.3662536156
196	0.3661784661
197	0.3660668041
198	0.3659043604
199	0.3656872859
200	0.3655701022
201	0.3654934297
202	0.3653891611
203	0.3653367561
204	0.3652811636
205	0.3651729249
206	0.3650709334
207	0.3649623898
208	0.3648200761
209	0.364732484
210	0.3646474762
211	0.3645591477
212	0.3643978276
213	0.3642933885
214	0.3641972119
215	0.3640366993
216	0.363882409
217	0.3638215157
218	0.3637326571
219	0.3636269728
220	0.363478247
221	0.3633758652
222	0.36326033
223	0.3632005102
224	0.363074214
225	0.3630291616
226	0.3629811067
227	0.3628760678
228	0.3628104472
229	0.3627004893
230	0.3625618167
231	0.3624889201
232	0.3624228829
233	0.3623162722
234	0.362243579
235	0.3621195575
236	0.3619880631
237	0.3619108258
238	0.3618696991
239	0.3617838495
240	0.361719444
241	0.3616328921
242	0.3615506343
243	0.361470233
244	0.3613583708
245	0.3612677819
246	0.3612162929
247	0.3611315966
248	0.3610318413
249	0.3610065207
250	0.360922566
251	0.3608326779
252	0.3607704075
253	0.3606960901
254	0.3606002476
255	0.3604835042
256	0.3603298673
257	0.3602995564
258	0.3601927158
259	0.3601222644
260	0.3599960086
261	0.3598966136
262	0.3598509882
263	0.3597775467
264	0.3596348362
265	0.3595349231
266	0.3594486145
267	0.3593792269
268	0.3592924721
269	0.3590705351
270	0.3589516718
271	0.3588207087
272	0.3586891437
273	0.3585603858
274	0.358528496
275	0.3584728
276	0.3583923785
277	0.3583157325
278	0.3582626853
279	0.3582156621
280	0.3580677864
281	0.3579461224
282	0.3578421136
283	0.3577332031
284	0.3576763142
285	0.3575946858
286	0.3575381112
287	0.3573511507
288	0.3572773879
289	0.3571887194
290	0.3571363784
291	0.3569952056
292	0.3568939318
293	0.356713816
294	0.3565937022
295	0.356418663
296	0.3562815891
297	0.3561741984
298	0.3560666391
299	0.3560266708
300	0.3559179752
301	0.3557896423
302	0.3557232971
303	0.3555899777
304	0.3555554166
305	0.3555319069
306	0.3553812041
307	0.3553618218
308	0.3552984816
309	0.355119849
310	0.355053889
311	0.3548325428
312	0.354630199
313	0.3544808124
314	0.3544225468
315	0.3543432007
316	0.3542275241
317	0.3540907708
318	0.353949417
319	0.3538066716
320	0.3536746061
321	0.3535655098
322	0.3534088875
323	0.3532811053
324	0.3531737542
325	0.3531465588
326	0.3530506458
327	0.3529717025
328	0.3528739214
329	0.3527705219
330	0.352676818
331	0.3526152928
332	0.3525972388
333	0.3525008627
334	0.3523853387
335	0.3522649987
336	0.3521780641
337	0.3520435917
338	0.3520129516
339	0.351942612
340	0.3518782882
341	0.3517723362
342	0.3516742793
343	0.3516046699
344	0.351531315
345	0.3514511978
346	0.3513801293
347	0.351278687
348	0.3511613544
349	0.3510252153
350	0.3508729676
351	0.3507664984
352	0.3506913637
353	0.3505744382
354	0.3505242582
355	0.3503955041
356	0.3503201498
357	0.3502666678
358	0.3501983142
359	0.3500903698
360	0.3499496801
361	0.3498762249
362	0.349827543
363	0.3497223608
364	0.3496362104
365	0.3495608088
366	0.3495095533
367	0.3494539606
368	0.349390096
369	0.3493434361
370	0.3492603689
371	0.3491693756
372	0.349099999
373	0.3490401885
374	0.3488615068
375	0.3487817938
376	0.348705079
377	0.3485494782
378	0.3484593118
379	0.3484051853
380	0.348389973
381	0.3483385794
382	0.3482978765
383	0.3481929671
384	0.3481034785
385	0.3480590223
386	0.347910404
387	0.3478301762
388	0.3477503435
389	0.3476130874
390	0.3475443798
391	0.3475083787
392	0.3473547112
393	0.3473198453
394	0.3472632993
395	0.3471984051
396	0.3471084511
397	0.347063402
398	0.3469124168
399	0.3468117883
