iter	Passed	Remaining
0	89	35870
1	173	34472
2	263	34889
3	344	34116
4	428	33820
5	506	33232
6	581	32647
7	666	32678
8	751	32645
9	840	32793
10	939	33218
11	1032	33383
12	1106	32944
13	1201	33129
14	1300	33372
15	1383	33193
16	1471	33147
17	1561	33139
18	1662	33335
19	1749	33244
20	1855	33483
21	1945	33428
22	2023	33160
23	2097	32858
24	2186	32799
25	2275	32735
26	2345	32407
27	2432	32316
28	2523	32284
29	2608	32166
30	2703	32185
31	2783	32005
32	2859	31803
33	2937	31623
34	3014	31440
35	3099	31340
36	3176	31164
37	3257	31033
38	3338	30906
39	3429	30865
40	3517	30799
41	3608	30756
42	3686	30609
43	3761	30436
44	3833	30240
45	3903	30042
46	3987	29948
47	4094	30024
48	4199	30079
49	4309	30165
50	4430	30321
51	4536	30359
52	4654	30476
53	4766	30538
54	4851	30432
55	4949	30405
56	5045	30362
57	5128	30239
58	5242	30300
59	5321	30157
60	5414	30087
61	5501	29994
62	5654	30245
63	5790	30397
64	5900	30411
65	6010	30418
66	6107	30355
67	6205	30298
68	6315	30295
69	6410	30220
70	6495	30100
71	6590	30025
72	6686	29953
73	6772	29837
74	6880	29815
75	6977	29745
76	7070	29659
77	7155	29540
78	7230	29381
79	7329	29317
80	7424	29241
81	7519	29159
82	7626	29128
83	7714	29022
84	7798	28902
85	7887	28800
86	7988	28739
87	8086	28669
88	8173	28560
89	8267	28475
90	8380	28458
91	8473	28366
92	8550	28224
93	8639	28124
94	8719	27995
95	8798	27862
96	8873	27718
97	8951	27584
98	9027	27445
99	9098	27295
100	9175	27162
101	9251	27029
102	9334	26915
103	9417	26804
104	9497	26683
105	9581	26573
106	9700	26562
107	9792	26476
108	9903	26440
109	10009	26389
110	10105	26311
111	10193	26212
112	10275	26096
113	10350	25966
114	10426	25838
115	10514	25743
116	10605	25652
117	10696	25563
118	10767	25424
119	10855	25330
120	10925	25191
121	10992	25047
122	11070	24931
123	11152	24823
124	11231	24708
125	11306	24586
126	11389	24482
127	11461	24356
128	11529	24221
129	11607	24108
130	11690	24005
131	11775	23907
132	11853	23797
133	11927	23677
134	12004	23564
135	12083	23455
136	12156	23335
137	12240	23239
138	12319	23132
139	12411	23049
140	12490	22944
141	12574	22847
142	12652	22738
143	12722	22616
144	12795	22502
145	12879	22406
146	12953	22293
147	13029	22185
148	13100	22069
149	13181	21968
150	13259	21865
151	13341	21767
152	13425	21674
153	13517	21592
154	13616	21523
155	13698	21425
156	13775	21320
157	13861	21231
158	13937	21125
159	14011	21017
160	14100	20932
161	14223	20895
162	14320	20822
163	14419	20749
164	14513	20670
165	14597	20577
166	14689	20494
167	14768	20395
168	14858	20310
169	14935	20206
170	15019	20113
171	15118	20040
172	15210	19958
173	15291	19861
174	15376	19770
175	15459	19675
176	15589	19640
177	15686	19563
178	15775	19477
179	15855	19378
180	15932	19277
181	16013	19181
182	16099	19090
183	16182	18996
184	16263	18901
185	16338	18798
186	16414	18696
187	16501	18608
188	16593	18525
189	16696	18454
190	16778	18360
191	16861	18266
192	16939	18167
193	17019	18072
194	17095	17972
195	17177	17878
196	17265	17791
197	17590	17946
198	17818	17997
199	17918	17918
200	18006	17827
201	18106	17747
202	18212	17674
203	18314	17595
204	18404	17506
205	18491	17414
206	18604	17346
207	18684	17246
208	18778	17160
209	18853	17057
210	18935	16961
211	19015	16863
212	19111	16778
213	19207	16694
214	19280	16590
215	19368	16499
216	19446	16399
217	19534	16308
218	19611	16208
219	19692	16112
220	19784	16024
221	19867	15929
222	19954	15838
223	20036	15742
224	20111	15641
225	20189	15544
226	20256	15437
227	20335	15340
228	20415	15244
229	20493	15147
230	20574	15052
231	20650	14953
232	20729	14857
233	20803	14758
234	20875	14657
235	20958	14564
236	21035	14467
237	21113	14371
238	21188	14273
239	21270	14180
240	21354	14088
241	21431	13992
242	21519	13903
243	21599	13809
244	21687	13720
245	21765	13625
246	21839	13528
247	21919	13434
248	21997	13340
249	22070	13242
250	22182	13168
251	22303	13099
252	22381	13004
253	22470	12916
254	22553	12824
255	22630	12729
256	22702	12632
257	22788	12542
258	22857	12443
259	22939	12352
260	23027	12263
261	23100	12167
262	23194	12082
263	23297	12001
264	23386	11914
265	23474	11825
266	23560	11736
267	23647	11647
268	23735	11559
269	23844	11480
270	23923	11387
271	24000	11294
272	24070	11197
273	24150	11105
274	24219	11009
275	24301	10918
276	24383	10827
277	24455	10732
278	24536	10641
279	24616	10549
280	24688	10455
281	24760	10360
282	24836	10268
283	24918	10178
284	24995	10085
285	25076	9995
286	25166	9908
287	25244	9817
288	25316	9723
289	25387	9629
290	25470	9540
291	25539	9446
292	25671	9374
293	25779	9294
294	25862	9205
295	25947	9116
296	26038	9030
297	26122	8941
298	26225	8858
299	26365	8788
300	26499	8715
301	26616	8637
302	26708	8550
303	26804	8464
304	26889	8375
305	26968	8284
306	27064	8198
307	27154	8110
308	27262	8028
309	27364	7944
310	27449	7855
311	27526	7763
312	27594	7670
313	27685	7582
314	27772	7494
315	27853	7404
316	27931	7313
317	28048	7232
318	28225	7166
319	28302	7075
320	28369	6981
321	28440	6889
322	28508	6796
323	28585	6705
324	28658	6613
325	28746	6525
326	28825	6435
327	28904	6344
328	28977	6253
329	29058	6163
330	29156	6077
331	29236	5988
332	29319	5899
333	29399	5809
334	29480	5720
335	29575	5633
336	29668	5546
337	29764	5459
338	29859	5373
339	29964	5287
340	30083	5205
341	30208	5123
342	30338	5041
343	30472	4960
344	30587	4876
345	30720	4794
346	30800	4704
347	30889	4615
348	31002	4530
349	31083	4440
350	31165	4350
351	31256	4262
352	31333	4171
353	31408	4081
354	31499	3992
355	31588	3904
356	31671	3814
357	31760	3726
358	31828	3635
359	31907	3545
360	31994	3456
361	32094	3369
362	32176	3279
363	32251	3189
364	32326	3099
365	32518	3020
366	32657	2936
367	32737	2846
368	32808	2756
369	32886	2666
370	32958	2576
371	33057	2488
372	33152	2399
373	33229	2310
374	33322	2221
375	33400	2131
376	33487	2042
377	33571	1953
378	33659	1865
379	33737	1775
380	33811	1686
381	33885	1596
382	33952	1507
383	34025	1417
384	34099	1328
385	34168	1239
386	34252	1150
387	34321	1061
388	34387	972
389	34461	883
390	34538	795
391	34604	706
392	34674	617
393	34743	529
394	34815	440
395	34886	352
396	34954	264
397	35028	176
398	35100	87
399	35175	0
