iter	RMSE
0	0.96816969
1	0.9409575257
2	0.915843158
3	0.89129618
4	0.8688173504
5	0.847685819
6	0.8284834702
7	0.8106556718
8	0.7933092878
9	0.7775155467
10	0.7626630856
11	0.7487197291
12	0.7357258344
13	0.7235763642
14	0.7130897682
15	0.7027169797
16	0.6934796462
17	0.6850141439
18	0.6766404567
19	0.6692631264
20	0.6625847419
21	0.6564243006
22	0.6505241702
23	0.6449270174
24	0.6398225596
25	0.6352189621
26	0.6308977462
27	0.627016808
28	0.6233874799
29	0.6197613389
30	0.6166557269
31	0.6139328209
32	0.6111928428
33	0.6088637416
34	0.6065218524
35	0.6043576874
36	0.6024539549
37	0.6006461842
38	0.5989765142
39	0.5973567709
40	0.5958352748
41	0.5947090758
42	0.5934403449
43	0.5921187022
44	0.5909926824
45	0.5899861081
46	0.5890248402
47	0.5880988869
48	0.5872614925
49	0.5864531374
50	0.5857030284
51	0.5849415263
52	0.5843756809
53	0.5836239377
54	0.5829812509
55	0.5823886675
56	0.581814946
57	0.581377888
58	0.5808810036
59	0.5804415976
60	0.5800459841
61	0.5795550401
62	0.5791271094
63	0.578846322
64	0.5784751914
65	0.5781396998
66	0.5777418275
67	0.5773137069
68	0.5769538914
69	0.5766505953
70	0.5763785014
71	0.576174291
72	0.5758397457
73	0.5755007163
74	0.5751984795
75	0.574823833
76	0.5746092121
77	0.5743751824
78	0.5741711037
79	0.5738372365
80	0.5736372532
81	0.5734502277
82	0.5732615548
83	0.5727866499
84	0.5725128494
85	0.5721715711
86	0.5719260066
87	0.5716196844
88	0.5713879562
89	0.5711174764
90	0.5709378687
91	0.5706978708
92	0.5705011011
93	0.5702352933
94	0.5699478325
95	0.5697603422
96	0.5694042419
97	0.5692213214
98	0.5690981802
99	0.5688823449
100	0.5687697084
101	0.5685117104
102	0.5683414051
103	0.5681388169
104	0.5680348109
105	0.5678035373
106	0.5676592561
107	0.5675946774
108	0.5674617807
109	0.567359517
110	0.5672557212
111	0.5671609993
112	0.5670199566
113	0.5667510034
114	0.5664938677
115	0.5663264503
116	0.5660833467
117	0.5659614145
118	0.5658014746
119	0.5656157266
120	0.5654170496
121	0.5652239818
122	0.5650426678
123	0.564915841
124	0.5647702818
125	0.5645420906
126	0.5643725461
127	0.5641795826
128	0.5639929712
129	0.563917481
130	0.5636955027
131	0.5635855256
132	0.5633900304
133	0.5632490537
134	0.5631462536
135	0.5629077287
136	0.5626525117
137	0.5625816128
138	0.5624718467
139	0.5622765889
140	0.5621375962
141	0.5618785698
142	0.5617170075
143	0.5615567054
144	0.5614283509
145	0.561282238
146	0.5609563408
147	0.560752894
148	0.5606146642
149	0.5604350313
150	0.5601726367
151	0.5601221158
152	0.5599872413
153	0.5598458006
154	0.5597047831
155	0.5595225415
156	0.5594129792
157	0.5592003648
158	0.559058205
159	0.5588276238
160	0.5586472788
161	0.5584926881
162	0.5584037381
163	0.5583156281
164	0.5582298529
165	0.5581268467
166	0.5580582455
167	0.5578668372
168	0.5576972688
169	0.5574801161
170	0.5573174787
171	0.5571272716
172	0.5569109063
173	0.55669905
174	0.5565284262
175	0.5563515659
176	0.5562613132
177	0.556026777
178	0.5559501682
179	0.5558070981
180	0.5556691696
181	0.5555505599
182	0.5554318075
183	0.5553325357
184	0.5553016908
185	0.5551846847
186	0.5549481929
187	0.5548272325
188	0.5546858221
189	0.5545713927
190	0.5544704748
191	0.5543422764
192	0.5541422429
193	0.5540306932
194	0.5538919577
195	0.5536777646
196	0.5535494764
197	0.553446647
198	0.5533565694
199	0.5532575511
200	0.553117614
201	0.5529937082
202	0.552900484
203	0.5526910688
204	0.5525616281
205	0.5523942504
206	0.5522419286
207	0.5521279294
208	0.5520427505
209	0.5518908147
210	0.5517421089
211	0.5516011843
212	0.5514326433
213	0.55127724
214	0.5510096729
215	0.5508803331
216	0.5507741833
217	0.5506584634
218	0.5504658844
219	0.5503262195
220	0.5501024857
221	0.5500228076
222	0.5498270363
223	0.5496391528
224	0.5495420368
225	0.5493991616
226	0.5492582014
227	0.5491804863
228	0.5490444289
229	0.5489184831
230	0.5488103802
231	0.5487244097
232	0.5484891951
233	0.5483510902
234	0.548144524
235	0.5479363079
236	0.5477604978
237	0.5476764951
238	0.5475375269
239	0.5473211911
240	0.5471420302
241	0.5469691664
242	0.546789746
243	0.5466365045
244	0.5465305171
245	0.5463615861
246	0.5461748521
247	0.5460357783
248	0.5458586029
249	0.5457751885
250	0.545619346
251	0.5454703775
252	0.5453159337
253	0.5451497689
254	0.5449489356
255	0.5448146647
256	0.544692118
257	0.5445675439
258	0.5444290248
259	0.5443386832
260	0.5441862626
261	0.5439715793
262	0.5438352519
263	0.5435914449
264	0.543431978
265	0.5432384771
266	0.5430825593
267	0.5428956813
268	0.5428035222
269	0.5427449899
270	0.5425269365
271	0.5424050588
272	0.5421839836
273	0.5420602483
274	0.5417971611
275	0.5416803768
276	0.541533328
277	0.5413673712
278	0.5412282843
279	0.5411560743
280	0.5410169291
281	0.540911353
282	0.5407359102
283	0.5405251738
284	0.5402463685
