iter	Passed	Remaining
0	76	30378
1	150	30028
2	230	30474
3	303	30011
4	370	29245
5	439	28875
6	521	29276
7	594	29131
8	677	29441
9	749	29221
10	816	28866
11	898	29063
12	990	29473
13	1072	29582
14	1162	29828
15	1239	29752
16	1305	29409
17	1378	29246
18	1458	29249
19	1533	29136
20	1599	28859
21	1680	28879
22	1763	28910
23	1835	28749
24	1915	28733
25	1982	28520
26	2060	28466
27	2137	28400
28	2228	28513
29	2305	28433
30	2377	28300
31	2445	28121
32	2517	28000
33	2584	27821
34	2662	27765
35	2731	27614
36	2799	27462
37	2885	27484
38	2954	27351
39	3018	27167
40	3089	27051
41	3163	26964
42	3240	26902
43	3313	26807
44	3383	26693
45	3459	26619
46	3538	26577
47	3602	26420
48	3674	26323
49	3746	26227
50	3818	26131
51	3897	26081
52	3965	25962
53	4047	25931
54	4121	25855
55	4196	25778
56	4273	25717
57	4339	25585
58	4425	25577
59	4521	25621
60	4590	25509
61	4673	25476
62	4757	25451
63	4836	25392
64	4922	25368
65	5000	25303
66	5098	25339
67	5181	25300
68	5259	25230
69	5344	25194
70	5431	25167
71	5514	25120
72	5588	25034
73	5674	24999
74	5760	24964
75	5848	24934
76	5930	24876
77	6012	24821
78	6106	24811
79	6345	25383
80	6427	25314
81	6511	25252
82	6592	25179
83	6703	25219
84	6779	25123
85	6870	25085
86	6946	24991
87	7030	24924
88	7108	24839
89	7189	24762
90	7261	24656
91	7331	24543
92	7406	24449
93	7486	24369
94	7567	24295
95	7656	24244
96	7746	24197
97	7832	24137
98	7905	24037
99	7995	23985
100	8077	23912
101	8164	23852
102	8248	23785
103	8343	23745
104	8428	23680
105	8510	23605
106	8581	23497
107	8657	23407
108	8739	23331
109	8831	23282
110	8912	23205
111	8996	23132
112	9076	23053
113	9168	23002
114	9247	22918
115	9313	22802
116	9385	22701
117	9462	22614
118	9533	22511
119	9595	22389
120	9677	22314
121	9755	22229
122	9831	22141
123	9911	22059
124	9983	21962
125	10055	21865
126	10137	21792
127	10204	21684
128	10274	21583
129	10335	21466
130	10409	21374
131	10483	21283
132	10550	21180
133	10620	21081
134	10697	20997
135	10768	20902
136	10850	20828
137	10918	20728
138	10992	20640
139	11060	20540
140	11132	20449
141	11207	20362
142	11277	20268
143	11348	20175
144	11416	20076
145	11491	19991
146	11559	19895
147	11640	19819
148	11710	19727
149	11774	19623
150	11853	19546
151	11919	19447
152	11984	19347
153	12056	19259
154	12139	19188
155	12207	19093
156	12276	19001
157	12338	18898
158	12409	18809
159	12486	18730
160	12556	18640
161	12637	18566
162	12711	18482
163	12782	18393
164	12847	18298
165	12920	18213
166	12996	18132
167	13071	18050
168	13152	17977
169	13225	17893
170	13296	17806
171	13380	17736
172	13461	17663
173	13539	17586
174	13620	17511
175	13695	17430
176	13772	17351
177	13839	17260
178	13902	17165
179	13978	17085
180	14049	16999
181	14116	16908
182	14201	16839
183	14331	16823
184	14462	16807
185	14581	16776
186	14714	16760
187	14867	16765
188	14986	16730
189	15060	16645
190	15133	16559
191	15214	16482
192	15289	16398
193	15374	16325
194	15453	16246
195	15531	16165
196	15611	16086
197	15692	16009
198	15780	15939
199	15856	15856
200	15945	15786
201	16034	15716
202	16125	15649
203	16212	15577
204	16305	15510
205	16407	15451
206	16503	15387
207	16586	15310
208	16698	15259
209	16785	15187
210	16885	15125
211	16973	15051
212	17075	14991
213	17163	14918
214	17286	14874
215	17376	14802
216	17470	14732
217	17560	14660
218	17651	14588
219	17747	14520
220	17828	14440
221	17912	14362
222	17995	14283
223	18067	14196
224	18147	14114
225	18220	14028
226	18298	13945
227	18377	13863
228	18468	13790
229	18551	13712
230	18632	13631
231	18714	13552
232	18803	13477
233	18901	13408
234	18992	13335
235	19079	13258
236	19159	13177
237	19240	13096
238	19316	13012
239	19404	12936
240	19484	12854
241	19561	12771
242	19635	12686
243	19700	12595
244	19776	12511
245	19850	12426
246	19933	12347
247	19999	12257
248	20070	12171
249	20140	12084
250	20212	11998
251	20283	11912
252	20348	11823
253	20417	11736
254	20491	11652
255	20559	11564
256	20632	11480
