iter	Passed	Remaining
0	81	32537
1	164	32712
2	245	32514
3	317	31383
4	402	31816
5	486	31950
6	562	31586
7	643	31526
8	724	31464
9	805	31432
10	892	31566
11	1001	32385
12	1078	32111
13	1155	31853
14	1231	31615
15	1303	31293
16	1387	31255
17	1466	31128
18	1565	31391
19	1683	31983
20	1781	32153
21	1883	32354
22	1998	32750
23	2083	32643
24	2178	32674
25	2277	32765
26	2377	32838
27	2495	33154
28	2603	33302
29	2697	33267
30	2786	33162
31	2872	33030
32	2958	32906
33	3045	32786
34	3133	32674
35	3207	32430
36	3279	32177
37	3356	31977
38	3446	31904
39	3531	31784
40	3634	31822
41	3723	31736
42	3813	31656
43	3890	31478
44	3971	31334
45	4063	31272
46	4146	31142
47	4243	31118
48	4340	31089
49	4428	30996
50	4534	31029
51	4643	31075
52	4750	31100
53	4838	30999
54	4920	30862
55	5003	30734
56	5081	30580
57	5217	30765
58	5316	30728
59	5416	30691
60	5533	30750
61	5638	30740
62	5731	30657
63	5817	30542
64	5895	30382
65	5972	30223
66	6044	30043
67	6122	29894
68	6191	29703
69	6264	29531
70	6337	29364
71	6426	29278
72	6539	29294
73	6626	29193
74	6708	29068
75	6775	28884
76	6857	28767
77	6952	28701
78	7100	28852
79	7196	28785
80	7304	28768
81	7389	28655
82	7485	28590
83	7568	28473
84	7690	28501
85	7812	28523
86	7976	28696
87	8108	28747
88	8215	28708
89	8330	28694
90	8444	28672
91	8556	28644
92	8669	28617
93	8762	28524
94	8871	28482
95	8963	28383
96	9072	28338
97	9177	28280
98	9285	28231
99	9371	28115
100	9458	28002
101	9548	27897
102	9653	27836
103	9767	27798
104	9855	27688
105	9934	27555
106	10017	27432
107	10096	27296
108	10181	27181
109	10287	27121
110	10376	27017
111	10459	26894
112	10541	26774
113	10641	26698
114	10716	26558
115	10819	26489
116	10905	26378
117	10982	26247
118	11078	26160
119	11299	26366
120	11454	26412
121	11537	26289
122	11617	26162
123	11690	26019
124	11764	25882
125	11862	25795
126	11962	25715
127	12063	25635
128	12150	25525
129	12231	25404
130	12313	25285
131	12407	25190
132	12507	25109
133	12598	25008
134	12693	24916
135	12781	24812
136	12872	24711
137	12962	24609
138	13047	24499
139	13147	24417
140	13244	24329
141	13322	24205
142	13425	24127
143	13527	24049
144	13629	23968
145	13723	23875
146	13807	23763
147	13896	23661
148	14006	23594
149	14106	23511
150	14236	23476
151	14368	23443
152	14472	23364
153	14634	23376
154	14733	23289
155	14820	23180
156	14901	23064
157	15034	23027
158	15121	22919
159	15267	22901
160	15380	22831
161	15472	22731
162	15592	22671
163	15704	22598
164	15805	22511
165	15915	22434
166	15988	22307
167	16072	22195
168	16163	22093
169	16238	21970
170	16314	21848
171	16397	21736
172	16478	21621
173	16564	21514
174	16642	21397
175	16720	21280
176	16790	21154
177	16867	21036
178	16958	20937
179	17043	20830
180	17132	20729
181	17216	20621
182	17292	20505
183	17368	20389
184	17449	20278
185	17538	20178
186	17618	20068
187	17698	19958
188	17783	19853
189	17863	19743
190	17941	19632
191	18007	19507
192	18081	19393
193	18151	19274
194	18228	19163
195	18318	19066
196	18393	18954
197	18475	18849
198	18557	18743
199	18635	18635
200	18768	18581
201	18933	18558
202	19025	18462
203	19145	18394
204	19249	18310
205	19366	18238
206	19465	18148
207	19549	18045
208	19652	17960
209	19750	17869
210	19852	17782
211	20005	17740
212	20158	17697
213	20266	17615
214	20356	17515
215	20447	17418
216	20540	17322
217	20623	17217
218	20711	17117
219	20811	17027
220	20899	16927
221	20992	16831
222	21099	16746
223	21199	16656
224	21307	16572
225	21412	16486
226	21513	16395
227	21621	16310
228	21714	16214
229	21807	16118
230	21891	16015
231	21983	15919
232	22081	15826
233	22184	15737
234	22271	15637
235	22374	15548
236	22471	15455
237	22568	15361
238	22655	15261
239	22760	15173
240	22883	15097
241	22988	15008
242	23086	14915
243	23183	14822
244	23284	14730
245	23374	14632
246	23461	14533
247	23549	14433
248	23644	14338
249	23736	14241
250	23860	14163
251	23950	14066
252	24038	13966
253	24143	13877
254	24235	13781
255	24319	13679
256	24415	13585
257	24508	13489
258	24589	13386
259	24666	13281
260	24737	13174
261	24814	13070
262	24889	12965
263	24967	12862
264	25053	12762
265	25144	12666
266	25225	12565
267	25307	12464
268	25391	12365
269	25477	12266
270	25596	12184
271	25713	12100
272	25789	11997
273	25866	11894
274	25950	11795
275	26026	11693
276	26119	11598
277	26182	11490
278	26257	11387
279	26331	11284
280	26402	11181
281	26473	11077
282	26553	10978
283	26643	10882
284	26724	10783
285	26794	10680
286	26870	10579
287	26944	10478
288	27035	10384
289	27118	10286
290	27200	10188
291	27292	10094
292	27363	9992
293	27439	9893
294	27515	9793
295	27600	9697
296	27682	9600
297	27765	9503
298	27856	9409
299	27931	9310
300	28014	9214
301	28114	9123
302	28192	9025
303	28277	8929
304	28356	8832
305	28440	8736
306	28525	8641
307	28600	8543
308	28690	8449
309	28781	8355
310	28854	8257
311	28933	8160
312	29013	8064
313	29091	7967
314	29182	7874
315	29283	7784
316	29378	7692
317	29467	7598
318	29560	7505
319	29649	7412
320	29748	7321
321	29834	7227
322	29933	7135
323	30019	7041
324	30230	6976
325	30344	6887
326	30521	6813
327	30623	6722
328	30750	6636
329	30844	6542
330	30945	6450
331	31060	6361
332	31202	6277
333	31608	6245
334	31759	6162
335	31866	6069
336	31965	5975
337	32084	5885
338	32288	5809
339	32479	5731
340	32597	5640
341	32767	5557
342	32944	5474
343	33035	5377
344	33120	5280
345	33210	5183
346	33310	5087
347	33401	4991
348	33484	4893
349	33572	4796
350	33661	4699
351	33749	4602
352	33869	4509
353	33964	4413
354	34080	4320
355	34190	4225
356	34271	4127
357	34351	4030
358	34429	3932
359	34516	3835
360	34601	3738
361	34684	3640
362	34761	3543
363	34840	3445
364	34936	3350
365	35066	3257
366	35181	3163
367	35289	3068
368	35405	2974
369	35506	2878
370	35582	2781
371	35671	2684
372	35754	2588
373	35835	2491
374	35914	2394
375	35993	2297
376	36070	2200
377	36151	2104
378	36238	2007
379	36315	1911
380	36394	1814
381	36471	1718
382	36559	1622
383	36654	1527
384	36750	1431
385	36837	1336
386	36917	1240
387	36993	1144
388	37083	1048
389	37163	952
390	37251	857
391	37334	761
392	37418	666
393	37498	571
394	37575	475
395	37665	380
396	37747	285
397	37837	190
398	37930	95
399	38009	0
