iter	RMSE
0	0.9963494414
1	0.980128934
2	0.9654150217
3	0.9508281292
4	0.9384169309
5	0.9255445162
6	0.9140561962
7	0.9032890156
8	0.8941254179
9	0.8840849669
10	0.8747582723
11	0.8656700924
12	0.8576942957
13	0.8502683959
14	0.8433341627
15	0.8364007275
16	0.829669081
17	0.8239931129
18	0.8182751295
19	0.812750948
20	0.8084119691
21	0.8035654401
22	0.7985617961
23	0.7928199935
24	0.7887206237
25	0.7839108544
26	0.7806253227
27	0.7768279046
28	0.773390766
29	0.7702539317
30	0.7671888064
31	0.7635196762
32	0.7594610805
33	0.7563360334
34	0.7532703694
35	0.750324745
36	0.7470078882
37	0.7447727581
38	0.7424058357
39	0.7405102182
40	0.7378385127
41	0.7349300162
42	0.7319171561
43	0.729514352
44	0.7271224617
45	0.7248095181
46	0.7232490668
47	0.7216170805
48	0.7199863179
49	0.7177269678
50	0.716309379
51	0.7143541156
52	0.7126924327
53	0.7104898441
54	0.7081823555
55	0.707084693
56	0.7059801608
57	0.7045229751
58	0.7029682962
59	0.7009620968
60	0.6997528393
61	0.698924099
62	0.6977062613
63	0.6954832376
64	0.6931064727
65	0.692008133
66	0.6904127946
67	0.6890614739
68	0.6876287213
69	0.6865422142
70	0.6841472201
71	0.6827757271
72	0.68099242
73	0.6794070523
74	0.6777820001
75	0.6763620998
76	0.6752980179
77	0.6740569139
78	0.672533909
79	0.6709204987
80	0.6697974453
81	0.6688569236
82	0.6675563148
83	0.6666908947
84	0.6654408988
85	0.6644892835
86	0.6637429571
87	0.6627335366
88	0.661851525
89	0.6600144037
90	0.6593338238
91	0.6569458551
92	0.6550675248
93	0.6542371284
94	0.6524010653
95	0.6515231538
96	0.6509041639
97	0.6492929621
98	0.6486594795
99	0.6478405081
100	0.646581447
101	0.6453509524
102	0.6446414665
103	0.643557883
104	0.6427000287
105	0.6414747924
106	0.6400620206
107	0.6392208657
108	0.6380597276
109	0.6368677587
110	0.6356554965
111	0.6343956472
112	0.6331745786
113	0.6323393257
114	0.6309818267
115	0.6302039152
116	0.6292904848
117	0.6288732251
118	0.6275732727
119	0.6260911365
120	0.6252521023
121	0.6239234477
122	0.6231052743
123	0.6216135513
124	0.6199196592
125	0.618818553
126	0.6183591274
127	0.6176241191
128	0.6166639304
129	0.6159047105
130	0.6150639924
131	0.614095166
132	0.6122725446
133	0.6112166753
134	0.6103784453
135	0.6094566238
136	0.6081994581
137	0.6071118716
138	0.6063281937
139	0.6053332143
140	0.6038922237
141	0.6028379337
142	0.6021681317
143	0.6011746606
144	0.6004783409
145	0.5996414713
146	0.5987950911
147	0.5975050428
148	0.596655402
149	0.595751462
150	0.5946261484
151	0.5940081207
152	0.5933757505
153	0.5922703062
154	0.5907681305
155	0.5905265803
156	0.5895212046
157	0.5886849633
158	0.5882747484
159	0.5874350256
160	0.5866824095
161	0.5852830438
162	0.5843408964
163	0.5837550036
164	0.5826478276
165	0.5815377845
166	0.5809412467
167	0.5800111574
168	0.5786312871
169	0.5778267197
170	0.5769440993
171	0.5764999736
172	0.575680185
173	0.5743262056
174	0.5730416265
175	0.5720468699
176	0.5715725673
177	0.5706053339
178	0.5694422125
179	0.5684860228
180	0.5677229019
181	0.5673845051
182	0.5666176488
183	0.5660131207
184	0.565693257
185	0.5647279534
