iter	Passed	Remaining
0	63	25454
1	121	24180
2	179	23759
3	240	23764
4	305	24151
5	384	25219
6	472	26538
7	528	25893
8	586	25472
9	645	25174
10	700	24777
11	762	24662
12	821	24445
13	886	24442
14	948	24341
15	1026	24627
16	1097	24736
17	1160	24636
18	1220	24480
19	1303	24759
20	1371	24750
21	1445	24841
22	1503	24646
23	1560	24451
24	1618	24273
25	1670	24032
26	1723	23814
27	1783	23700
28	1841	23556
29	1904	23492
30	1973	23490
31	2023	23270
32	2076	23088
33	2125	22879
34	2177	22709
35	2234	22592
36	2319	22755
37	2415	23009
38	2495	23103
39	2563	23067
40	2647	23181
41	2710	23105
42	2771	23007
43	2826	22868
44	2888	22788
45	2950	22708
46	3001	22545
47	3050	22367
48	3105	22244
49	3161	22131
50	3215	22002
51	3290	22019
52	3354	21965
53	3412	21867
54	3473	21790
55	3525	21656
56	3580	21543
57	3634	21429
58	3687	21311
59	3753	21267
60	3810	21175
61	3876	21130
62	3941	21081
63	3998	20992
64	4047	20858
65	4098	20740
66	4149	20624
67	4206	20536
68	4266	20469
69	4335	20437
70	4396	20371
71	4463	20335
72	4520	20249
73	4573	20145
74	4625	20044
75	4675	19930
76	4752	19934
77	4849	20020
78	4934	20048
79	5023	20093
80	5100	20087
81	5180	20089
82	5296	20230
83	5544	20857
84	5644	20919
85	5727	20911
86	5804	20881
87	5921	20995
88	6055	21159
89	6207	21381
90	6323	21473
91	6452	21601
92	6591	21759
93	6735	21925
94	6871	22062
95	6985	22121
96	7097	22171
97	7217	22241
98	7324	22268
99	7450	22351
100	7553	22361
101	7685	22453
102	7813	22529
103	7909	22512
104	8017	22526
105	8123	22530
106	8245	22578
107	8349	22575
108	8451	22562
109	8549	22539
110	8656	22537
111	8756	22516
112	8883	22563
113	8980	22529
114	9060	22454
115	9135	22366
116	9232	22331
117	9320	22273
118	9386	22164
119	9457	22066
120	9524	21960
121	9601	21878
122	9676	21791
123	9742	21685
124	9809	21580
125	9900	21529
126	9969	21430
127	10041	21338
128	10123	21267
129	10193	21170
130	10273	21095
131	10352	21019
132	10439	20957
133	10520	20884
134	10596	20799
135	10664	20702
136	10747	20632
137	10820	20544
138	10899	20466
139	10972	20376
140	11043	20285
141	11110	20186
142	11194	20119
143	11282	20058
144	11361	19981
145	11443	19909
146	11527	19840
147	11598	19748
148	11669	19658
149	11732	19553
150	11801	19460
151	11872	19370
152	11933	19265
153	11991	19155
154	12056	19056
155	12113	18947
156	12178	18848
157	12242	18750
158	12322	18677
159	12385	18578
160	12448	18478
161	12511	18381
162	12588	18303
163	12650	18204
164	12725	18124
165	12797	18039
166	12866	17950
167	12926	17850
168	12988	17753
169	13053	17660
170	13125	17577
171	13191	17486
172	13253	17390
173	13329	17312
174	13397	17225
175	13464	17136
176	13522	17036
177	13585	16944
178	13654	16858
179	13737	16790
180	13800	16697
181	13862	16604
182	13922	16508
183	13987	16420
184	14048	16326
185	14112	16237
186	14170	16140
187	14245	16063
188	14311	15977
189	14372	15885
190	14440	15801
191	14516	15725
192	14577	15635
193	14645	15551
194	14701	15455
195	14760	15362
196	14828	15279
197	14888	15188
198	14960	15111
199	15021	15021
200	15100	14950
201	15156	14856
202	15221	14771
203	15280	14680
204	15356	14607
205	15418	14520
206	15493	14445
207	15556	14359
208	15627	14281
209	15698	14203
210	15758	14115
211	15824	14033
212	15896	13956
213	15955	13868
214	16020	13784
215	16091	13707
216	16150	13620
217	16214	13536
218	16273	13449
219	16339	13369
220	16399	13283
221	16467	13203
222	16528	13119
223	16588	13033
224	16667	12963
225	16742	12890
226	16821	12820
227	16890	12742
228	16958	12663
229	17040	12595
230	17118	12523
231	17183	12443
232	17264	12373
233	17333	12296
234	17406	12221
235	17476	12144
236	17556	12074
237	17639	12006
238	17739	11949
239	17814	11876
240	17895	11806
241	18140	11844
242	18266	11801
243	18348	11730
244	18434	11662
245	18508	11586
246	18574	11505
247	18665	11440
248	18740	11364
249	18836	11302
250	18909	11225
251	18976	11144
252	19056	11072
253	19137	11000
254	19214	10925
255	19288	10849
256	19372	10779
257	19441	10700
258	19526	10630
259	19595	10551
260	19669	10475
261	19746	10400
262	19817	10323
263	19911	10257
264	19984	10180
265	20073	10112
266	20153	10039
267	20232	9965
268	20310	9890
269	20385	9815
270	20460	9739
271	20544	9668
272	20616	9590
273	20690	9514
274	20758	9435
275	20834	9360
276	20908	9284
277	20992	9212
278	21062	9134
279	21138	9059
280	21217	8985
281	21292	8909
282	21368	8834
283	21451	8761
284	21537	8690
285	21616	8616
286	21689	8539
287	21758	8461
288	21825	8382
289	21898	8306
290	21959	8225
291	22031	8148
292	22097	8069
293	22160	7989
294	22228	7911
295	22289	7831
296	22351	7751
297	22405	7669
298	22475	7591
299	22550	7516
300	22625	7441
301	22687	7362
302	22758	7285
303	22816	7205
304	22881	7127
305	22950	7050
306	23005	6969
307	23108	6902
308	23225	6839
309	23302	6765
310	23362	6685
311	23420	6605
312	23488	6528
313	23560	6452
314	23624	6374
315	23686	6296
316	23754	6219
317	23819	6142
318	23888	6065
319	23951	5987
320	24016	5910
321	24075	5831
322	24146	5756
323	24213	5679
324	24275	5602
325	24332	5523
326	24400	5447
327	24464	5370
328	24521	5291
329	24588	5215
330	24661	5140
331	24732	5065
332	24816	4993
333	24881	4916
334	24943	4839
335	25007	4763
336	25065	4685
337	25134	4610
338	25197	4534
339	25279	4461
340	25360	4387
341	25437	4313
342	25501	4237
343	25563	4161
344	25639	4087
345	25711	4012
346	25777	3937
347	25841	3861
348	25910	3786
