iter	RMSE
0	0.9884494063
1	0.9676994113
2	0.9477676004
3	0.9294039305
4	0.9116680952
5	0.8951178294
6	0.8816132877
7	0.8666308409
8	0.8527992347
9	0.8391629832
10	0.8269400977
11	0.815665981
12	0.8044663807
13	0.794030206
14	0.7842401774
15	0.775097046
16	0.7664733106
17	0.7576011887
18	0.7495763339
19	0.7416353037
20	0.734210048
21	0.7274897757
22	0.7206317196
23	0.7144676083
24	0.7091941579
25	0.7037294691
26	0.697923748
27	0.6928662375
28	0.6877942992
29	0.6836093768
30	0.679052745
31	0.6755156707
32	0.6714010161
33	0.6677254941
34	0.6645088467
35	0.661219558
36	0.6577960444
37	0.6549458458
38	0.6521190555
39	0.6499703413
40	0.6472226245
41	0.6440129183
42	0.6413287193
43	0.6384997463
44	0.6361223565
45	0.6338165397
46	0.6308429044
47	0.6291508379
48	0.6275560611
49	0.6252320085
50	0.6234690026
51	0.6210716596
52	0.6194444966
53	0.6179880653
54	0.6166375852
55	0.6148859327
56	0.6138467733
57	0.6124302279
58	0.6111462299
59	0.6094088682
60	0.6078734389
61	0.6071415986
62	0.6054905968
63	0.6046041973
64	0.6035584996
65	0.6023630049
66	0.6011953561
67	0.6000389515
68	0.599049728
69	0.5975861749
70	0.5957412914
71	0.5947255084
72	0.5934095506
73	0.5921593514
74	0.5913526847
75	0.5904334137
76	0.5893545258
77	0.5882156799
78	0.5871533005
79	0.5855622959
80	0.5842077852
81	0.5827876091
82	0.5811461876
83	0.5797448662
84	0.5791088045
85	0.5784599617
86	0.5778961388
87	0.5766311679
88	0.5756384939
89	0.574943704
90	0.5736758969
91	0.572911985
92	0.5715488239
93	0.5699372199
94	0.5684250375
95	0.5671247572
96	0.5662679178
97	0.5648975802
98	0.5640763488
99	0.5629547863
100	0.5619013515
101	0.5608184457
102	0.5603251342
103	0.55876917
104	0.5577073987
105	0.5571694567
106	0.5561316633
107	0.5554830132
108	0.554329383
109	0.5535994343
110	0.5525011074
111	0.5516891701
112	0.5507640233
113	0.5497215733
114	0.5492741071
115	0.5486631225
116	0.5475454946
117	0.5463170264
118	0.5454761243
119	0.5446924106
120	0.5433473379
121	0.5424104621
122	0.5418925448
123	0.5411600822
124	0.5404360027
125	0.5394171553
126	0.5388016526
127	0.5383963864
128	0.5372498024
129	0.5366257251
130	0.535205522
131	0.5346404549
132	0.533699355
133	0.5327023104
134	0.5318270503
135	0.530909006
136	0.529950041
137	0.5281606075
138	0.5272911334
139	0.5263280205
140	0.5254016534
141	0.5240685918
142	0.5234371979
143	0.5230963679
144	0.5225555694
145	0.5221333836
146	0.5212893683
147	0.5197559024
148	0.5187236902
149	0.5181986057
150	0.5176032156
151	0.5171023989
152	0.5162561246
153	0.5153058767
154	0.51452295
155	0.513476206
156	0.5128863987
157	0.5119268119
158	0.5110870291
159	0.5098342848
160	0.5092624037
161	0.5082741036
162	0.5073802622
163	0.5069156384
164	0.5055128591
165	0.5049839909
166	0.5039943959
167	0.5032671673
168	0.5025779912
169	0.5016558596
170	0.5003496705
171	0.4994992339
172	0.4985588788
173	0.4975768428
174	0.4972475424
175	0.4965334692
176	0.4961913221
177	0.4957237926
