iter	Passed	Remaining
0	54	21863
1	105	20946
2	155	20604
3	204	20288
4	255	20189
5	304	19983
6	359	20200
7	413	20242
8	464	20188
9	517	20191
10	564	19945
11	610	19727
12	660	19649
13	704	19429
14	753	19346
15	803	19279
16	851	19172
17	899	19092
18	953	19116
19	1013	19260
20	1069	19303
21	1119	19230
22	1166	19113
23	1217	19076
24	1273	19107
25	1324	19054
26	1377	19032
27	1430	19009
28	1482	18960
29	1528	18855
30	1577	18772
31	1625	18691
32	1671	18589
33	1722	18543
34	1778	18547
35	1833	18534
36	1883	18475
37	1934	18429
38	1981	18339
39	2026	18236
40	2073	18155
41	2121	18081
42	2168	17999
43	2216	17929
44	2272	17928
45	2324	17886
46	2373	17823
47	2424	17782
48	2474	17728
49	2521	17649
50	2566	17565
51	2612	17480
52	2659	17409
53	2705	17333
54	2757	17298
55	2817	17306
56	2864	17236
57	2915	17190
58	2968	17156
59	3016	17094
60	3062	17019
61	3107	16941
62	3150	16850
63	3198	16790
64	3244	16723
65	3292	16662
66	3349	16647
67	3398	16593
68	3448	16540
69	3495	16480
70	3541	16410
71	3585	16332
72	3630	16264
73	3676	16198
74	3726	16149
75	3784	16135
76	3829	16064
77	3882	16026
78	3938	16003
79	3992	15971
80	4048	15942
81	4108	15931
82	4160	15889
83	4212	15846
84	4266	15812
85	4318	15766
86	4372	15731
87	4424	15685
88	4471	15625
89	4516	15557
90	4578	15547
91	4636	15522
92	4687	15474
93	4751	15468
94	4826	15496
95	4887	15478
96	4951	15468
97	5007	15431
98	5060	15384
99	5109	15329
100	5160	15277
101	5215	15238
102	5286	15243
103	5379	15310
104	5440	15286
105	5500	15255
106	5582	15286
107	5661	15307
108	5732	15304
109	5805	15306
110	5919	15411
111	6011	15457
112	6123	15553
113	6210	15580
114	6284	15574
115	6357	15564
116	6458	15621
117	6581	15729
118	6694	15807
119	6788	15840
120	6895	15898
121	6994	15937
122	7083	15952
123	7159	15934
124	7232	15911
125	7298	15872
126	7361	15824
127	7428	15785
128	7489	15733
129	7559	15699
130	7614	15635
131	7672	15576
132	7749	15557
133	7820	15524
134	7914	15536
135	7992	15515
136	8051	15456
137	8200	15569
138	8402	15776
139	8508	15801
140	8576	15753
141	8643	15705
142	8726	15683
143	8803	15651
144	8885	15625
145	8973	15610
146	9057	15589
147	9136	15556
148	9224	15538
149	9292	15487
150	9367	15446
151	9459	15434
152	9519	15368
153	9584	15310
154	9649	15252
155	9726	15212
156	9803	15173
157	9866	15111
158	9937	15062
159	10011	15016
160	10083	14968
161	10150	14913
162	10231	14876
163	10319	14850
164	10392	14801
165	10489	14786
166	10562	14736
167	10633	14684
168	10723	14657
169	10799	14611
170	10875	14564
171	11056	14656
172	11148	14627
173	11216	14569
174	11280	14502
175	11353	14450
176	11420	14387
177	11491	14332
178	11556	14267
179	11625	14208
180	11684	14137
181	11751	14075
182	11811	14005
183	11872	13937
184	11934	13870
185	12001	13807
186	12068	13746
187	12132	13681
188	12197	13617
189	12260	13551
190	12321	13482
191	12389	13422
192	12471	13376
193	12538	13313
194	12608	13255
195	12679	13197
196	12755	13144
197	12965	13227
198	13082	13214
199	13208	13208
200	13289	13157
201	13353	13089
202	13424	13027
203	13503	12974
204	13582	12920
205	13660	12864
206	13752	12822
207	13844	12779
208	13939	12739
209	14026	12690
210	14091	12622
211	14159	12556
212	14227	12490
213	14320	12446
214	14386	12378
215	14456	12314
216	14525	12249
217	14593	12183
218	14669	12123
219	14740	12060
220	14798	11986
221	14856	11911
222	14911	11835
223	14963	11757
224	15015	11678
225	15074	11605
226	15139	11537
227	15199	11466
228	15262	11396
229	15321	11324
230	15383	11254
231	15445	11184
232	15499	11108
233	15561	11039
234	15619	10966
235	15671	10890
236	15725	10815
237	15776	10738
238	15845	10673
239	15914	10609
240	15972	10538
241	16049	10478
242	16140	10428
243	16258	10395
244	16339	10336
245	16460	10304
246	16551	10252
247	16791	10291
248	17203	10432
249	17376	10425
250	17552	10419
251	17698	10394
252	17806	10345
253	17933	10308
254	18023	10248
255	18100	10181
256	18178	10114
257	18270	10055
258	18355	9992
259	18434	9926
260	18528	9867
261	18628	9812
262	18723	9753
263	18837	9703
264	18933	9645
265	19031	9587
266	19117	9522
267	19324	9518
268	19555	9523
269	19681	9476
270	19791	9421
271	19894	9362
272	19995	9301
273	20109	9247
274	20203	9183
275	20300	9120
276	20391	9054
277	20483	8989
278	20572	8922
279	20658	8853
280	20763	8792
281	20851	8725
282	20941	8657
283	21050	8598
284	21167	8541
285	21271	8478
286	21344	8403
287	21406	8324
288	21471	8246
289	21540	8170
290	21607	8093
291	21674	8016
292	21749	7942
293	21811	7864
294	21884	7789
295	21943	7709
296	22018	7635
297	22085	7559
298	22161	7486
299	22230	7410
300	22325	7343
301	22401	7269
302	22462	7191
303	22552	7121
304	22621	7045
305	22691	6970
306	22773	6898
307	22855	6826
308	22924	6751
309	23008	6679
310	23078	6604
311	23160	6532
312	23264	6466
313	23339	6392
314	23416	6318
315	23503	6247
316	23568	6170
317	23644	6097
318	23712	6021
319	23827	5956
320	23912	5884
321	23995	5812
322	24076	5739
323	24151	5665
324	24216	5588
325	24298	5515
326	24376	5441
327	24445	5366
328	24525	5292
329	24628	5224
330	24707	5150
331	24790	5077
332	24867	5003
333	24928	4926
334	25014	4853
335	25078	4776
336	25142	4700
337	25203	4623
338	25270	4547
339	25329	4469
340	25401	4395
341	25469	4319
342	25541	4244
343	25610	4169
344	25676	4093
345	25748	4018
346	25817	3943
347	25881	3867
348	25948	3791
349	26024	3717
350	26103	3644
351	26171	3568
352	26265	3497
353	26341	3422
354	26411	3347
355	26496	3274
356	26571	3200
357	26654	3127
358	26746	3054
359	26833	2981
360	26900	2906
361	26963	2830
362	27031	2755
363	27100	2680
364	27163	2604
365	27223	2529
366	27332	2457
367	27398	2382
368	27457	2306
369	27529	2232
370	27594	2156
371	27662	2082
372	27727	2007
373	27810	1933
374	27874	1858
375	27939	1783
376	28005	1708
377	28070	1633
378	28136	1558
379	28194	1483
380	28284	1410
381	28350	1335
382	28420	1261
383	28492	1187
384	28559	1112
385	28633	1038
386	28704	964
387	28780	890
388	28860	816
389	28930	741
390	28988	667
391	29054	592
392	29116	518
393	29189	444
394	29263	370
395	29339	296
396	29401	222
397	29457	148
398	29514	73
399	29573	0
