iter	RMSE
0	0.9695053002
1	0.9486026047
2	0.9287337452
3	0.9093268542
4	0.8917374454
5	0.8757056637
6	0.8598634318
7	0.8447426648
8	0.8322761101
9	0.8190492701
10	0.806343161
11	0.7954511677
12	0.7848206009
13	0.7761297623
14	0.767203871
15	0.7584328803
16	0.7498254841
17	0.7420934115
18	0.7346671932
19	0.7274280887
20	0.7214307255
21	0.7149290838
22	0.7090760257
23	0.7034962367
24	0.69747289
25	0.6918355042
26	0.6876395109
27	0.6833153729
28	0.6781471924
29	0.6733987494
30	0.668620487
31	0.6650086964
32	0.661380809
33	0.658200373
34	0.6531879982
35	0.6494898688
36	0.6453897484
37	0.6420319532
38	0.6382853539
39	0.6356462785
40	0.6330909291
41	0.6300387281
42	0.6278789563
43	0.6258364881
44	0.6236788676
45	0.6216371653
46	0.6189706564
47	0.6165898374
48	0.6144479197
49	0.611548432
50	0.6099179699
51	0.6071033545
52	0.6051647019
53	0.6037110933
54	0.6019317749
55	0.6006082778
56	0.5989384633
57	0.5964354111
58	0.5942911942
59	0.5925981753
60	0.5904373864
61	0.5886816619
62	0.5874597018
63	0.5861903928
64	0.5848202888
65	0.5823702906
66	0.5810399522
67	0.5802456377
68	0.5783102585
69	0.5769147111
70	0.5750142724
71	0.5733174315
72	0.5719809213
73	0.5711622687
74	0.5694171358
75	0.5680364107
76	0.566985458
77	0.5658342303
78	0.5646558309
79	0.5630979556
80	0.5617545228
81	0.5608288623
82	0.5597099004
83	0.5588601716
84	0.5571718053
85	0.5566064226
86	0.5558884771
87	0.553466091
88	0.5521132241
89	0.5507769918
90	0.5501800793
91	0.5482239157
92	0.5468339256
93	0.5454712336
94	0.5444329578
95	0.5435054402
96	0.5431350278
97	0.5417084922
98	0.5409360352
99	0.5399431473
100	0.5393009247
101	0.538358333
102	0.5372297524
103	0.5361213266
104	0.535319767
105	0.5348405165
106	0.5337772408
107	0.5329492493
108	0.5318918566
109	0.5311137336
110	0.5299731409
111	0.529172593
112	0.5281617377
113	0.5275721127
114	0.5267374886
115	0.5259131407
116	0.5250734033
117	0.5242934365
118	0.5238456603
119	0.5229575355
120	0.5221331576
121	0.5214254198
122	0.5203499299
123	0.5188212482
124	0.5182275824
125	0.5171830834
126	0.516849982
127	0.5162909394
128	0.5156560197
129	0.514997992
130	0.5134979395
131	0.5120722379
132	0.5109394533
133	0.5099365501
134	0.5095007533
135	0.5088882307
136	0.5082478338
137	0.5075408763
138	0.5068373642
139	0.5062162628
140	0.5051491967
141	0.5043965836
142	0.503762141
143	0.5030270586
144	0.5023784285
145	0.5017620992
146	0.5007957014
147	0.499951495
148	0.4991157573
149	0.4974974169
150	0.4969175361
151	0.4962329926
152	0.4952529195
153	0.4941389307
154	0.4933850848
155	0.4925568197
156	0.4919047004
157	0.4905366737
158	0.4898600118
159	0.4886679921
160	0.4871964567
161	0.4860742966
162	0.4854614625
163	0.4846409785
164	0.4832871117
165	0.4821627234
166	0.4816395177
167	0.4807053216
168	0.4797824278
169	0.4787298562
170	0.4779719319
171	0.4773271994
172	0.4761733214
173	0.4742225018
174	0.4729826811
