iter	Passed	Remaining
0	62	24993
1	123	24650
2	178	23614
3	229	22717
4	287	22673
5	336	22085
6	386	21719
7	437	21413
8	503	21855
9	558	21783
10	623	22051
11	681	22046
12	736	21917
13	790	21789
14	841	21592
15	893	21455
16	946	21314
17	1025	21766
18	1078	21632
19	1130	21471
20	1178	21268
21	1229	21129
22	1280	20984
23	1331	20853
24	1393	20896
25	1452	20900
26	1510	20872
27	1566	20816
28	1619	20712
29	1674	20656
30	1727	20564
31	1779	20467
32	1842	20489
33	1904	20502
34	1961	20457
35	2024	20466
36	2077	20377
37	2133	20321
38	2183	20208
39	2233	20097
40	2282	19985
41	2337	19920
42	2395	19886
43	2458	19890
44	2534	19991
45	2586	19907
46	2641	19841
47	2700	19804
48	2783	19941
49	2864	20053
50	2949	20183
51	3030	20280
52	3102	20315
53	3176	20351
54	3236	20299
55	3297	20253
56	3381	20346
57	3453	20364
58	3557	20562
59	3648	20674
60	3735	20757
61	3807	20757
62	3910	20915
63	4015	21079
64	4113	21199
65	4238	21447
66	4363	21686
67	4514	22039
68	4752	22795
69	4853	22880
70	4939	22888
71	5019	22864
72	5084	22775
73	5157	22720
74	5245	22729
75	5315	22662
76	5401	22656
77	5473	22596
78	5553	22565
79	5625	22501
80	5694	22428
81	5769	22373
82	5840	22306
83	5905	22217
84	5971	22129
85	6032	22025
86	6106	21970
87	6177	21901
88	6249	21839
89	6323	21781
90	6397	21724
91	6457	21617
92	6532	21564
93	6607	21508
94	6674	21428
95	6738	21338
96	6804	21255
97	6861	21143
98	6932	21077
99	7005	21017
100	7078	20956
101	7162	20927
102	7240	20877
103	7301	20781
104	7363	20687
105	7438	20631
106	7505	20552
107	7569	20466
108	7637	20388
109	7699	20299
110	7763	20212
111	7831	20138
112	7900	20064
113	7970	19996
114	8029	19899
115	8088	19803
116	8155	19727
117	8210	19621
118	8275	19541
119	8338	19455
120	8408	19387
121	8475	19313
122	8547	19249
123	8609	19162
124	8667	19067
125	8735	18995
126	8792	18901
127	8860	18829
128	8935	18771
129	8992	18677
130	9070	18625
131	9144	18565
132	9219	18508
133	9289	18439
134	9364	18382
135	9424	18295
136	9494	18227
137	9567	18164
138	9653	18125
139	9717	18046
140	9782	17969
141	9855	17906
142	9915	17821
143	9981	17744
144	10046	17667
145	10105	17580
146	10175	17512
147	10234	17425
148	10305	17360
149	10368	17280
150	10425	17192
