iter	RMSE
0	0.9850977725
1	0.9683326056
2	0.9528036786
3	0.9378830022
4	0.9230540956
5	0.910586236
6	0.8975481331
7	0.8868960091
8	0.8761124827
9	0.8650093801
10	0.8550853609
11	0.8457436126
12	0.8361610137
13	0.8275369688
14	0.8196180115
15	0.8112905713
16	0.803779203
17	0.7969971744
18	0.7910244823
19	0.7854245521
20	0.7802813459
21	0.7746167246
22	0.7691229747
23	0.7648507508
24	0.7599002984
25	0.7554134555
26	0.7514354014
27	0.7482510779
28	0.7446157851
29	0.7404290008
30	0.7365329495
31	0.7329707084
32	0.7291542977
33	0.7259828993
34	0.7221953847
35	0.7192756142
36	0.716731649
37	0.714079672
38	0.7114458036
39	0.7080977559
40	0.7053524352
41	0.7032269861
42	0.7002135639
43	0.6983019701
44	0.6956524893
45	0.693331878
46	0.6912221298
47	0.6889151204
48	0.6872540971
49	0.6843070567
50	0.6818717728
51	0.6803231641
52	0.6787803828
53	0.6756519163
54	0.6741322472
55	0.6723712294
56	0.6703647636
57	0.6691237518
58	0.6668678614
59	0.6649268649
60	0.6636683237
61	0.6621124642
62	0.660393153
63	0.658862767
64	0.6575392421
65	0.6560493926
66	0.6547079177
67	0.6529698774
68	0.6514985759
69	0.6502908855
70	0.6493487984
71	0.6482880049
72	0.6470633152
73	0.6448429695
74	0.6433503131
75	0.6420468429
76	0.6408930761
77	0.6394376073
78	0.6380409412
79	0.6361738114
80	0.6347374872
81	0.632881032
82	0.6314446356
83	0.6295627797
84	0.6276292273
85	0.6268415699
86	0.6260400004
87	0.6240461432
88	0.6223732077
89	0.6209487635
90	0.6190434078
91	0.6180934039
92	0.6168150515
93	0.6155598228
94	0.6142091182
95	0.6128834693
96	0.6110093567
97	0.6093429974
98	0.6087050139
99	0.6074692258
100	0.6053994337
101	0.6046209532
102	0.6038799945
103	0.6027787565
104	0.6013303863
105	0.6002642902
106	0.5992383589
107	0.5985128969
108	0.5971777791
109	0.5955654023
110	0.5944389772
111	0.5930124935
112	0.59235946
113	0.5918031151
114	0.5901242453
115	0.5891338155
116	0.5882832899
117	0.5875902378
118	0.586016593
119	0.5853054417
120	0.5842206122
121	0.5826434174
122	0.5818837527
123	0.5798103153
124	0.5791466188
125	0.578749095
126	0.5775206672
127	0.5762217432
128	0.5751093028
129	0.5744327555
130	0.5729499892
131	0.5723222281
132	0.5710926362
133	0.5700096011
134	0.5687854609
135	0.5679717803
136	0.5670246054
137	0.5661706891
138	0.5646415909
139	0.5632561781
140	0.5621421862
141	0.560982649
142	0.5590374207
143	0.557485067
144	0.556668431
145	0.554740095
146	0.5533444617
147	0.5526483859
148	0.5508152969
149	0.5500586627
150	0.5486759022
151	0.5478718901
152	0.5474190033
153	0.545768267
154	0.5446622568
155	0.5434826974
156	0.5428656864
157	0.5420000311
158	0.5415793913
159	0.5404922075
160	0.5391187909
161	0.5386515451
162	0.5382021071
163	0.5376869756
164	0.5367626454
165	0.5353235242
166	0.5344493167
167	0.5335426171
168	0.532421471
169	0.5310963783
170	0.529967334
171	0.5293611988
172	0.5286953571
173	0.5281517568
174	0.5269285637
175	0.5256902866
176	0.5244377433
177	0.5238710585
178	0.52308786
179	0.5221148602
180	0.5214950293
181	0.5193389644
182	0.5187668739
183	0.5181073119
184	0.5165072227
185	0.515575761
186	0.5143605936
187	0.5131479775
188	0.5116680291
189	0.5113654786
190	0.5105824893
191	0.5092966966
192	0.5083513822
193	0.5075594531
194	0.5066178254
195	0.5056657916
196	0.5047333368
197	0.5035974961
198	0.5026833158
199	0.5019009601
200	0.5008389991
201	0.4999845626
202	0.499278051
203	0.49825064
204	0.4975779801
205	0.49607364
206	0.4954060992
207	0.4943733008
208	0.4933407297
209	0.4928208544
210	0.4921113188
211	0.4913172082
212	0.4906845041
213	0.4898398573
214	0.4888390158
215	0.4879736771
216	0.4874178985
217	0.4865553502
218	0.4855085712
219	0.4852741773
220	0.4841250576
221	0.4826756759
222	0.4810816221
223	0.480641733
224	0.4787793884
225	0.4782086049
226	0.4770173969
227	0.4762719884
228	0.4754074781
229	0.4748579808
230	0.4746743771
231	0.4743327018
232	0.4733617642
233	0.4722222748
234	0.4712368221
235	0.4699860538
236	0.468694823
