iter	Passed	Remaining
0	65	26164
1	124	24792
2	184	24442
3	242	23976
4	298	23602
5	353	23241
6	407	22893
7	465	22800
8	528	22978
9	595	23231
10	679	24023
11	771	24939
12	886	26375
13	989	27272
14	1109	28486
15	1213	29124
16	1409	31748
17	1602	34000
18	1691	33918
19	1788	33980
20	1866	33692
21	1977	33977
22	2094	34332
23	2182	34196
24	2278	34171
25	2356	33897
26	2429	33557
27	2506	33303
28	2599	33261
29	2675	32998
30	2756	32816
31	2829	32534
32	2897	32228
33	2954	31805
34	3018	31474
35	3078	31129
36	3145	30860
37	3205	30533
38	3268	30256
39	3338	30044
40	3395	29732
41	3462	29511
42	3527	29289
43	3589	29039
44	3648	28781
45	3709	28547
46	3768	28307
47	3828	28075
48	3886	27837
49	3945	27618
50	4004	27404
51	4062	27184
52	4115	26947
53	4178	26770
54	4239	26592
55	4298	26407
56	4362	26250
57	4421	26070
58	4633	26780
59	4755	26949
60	4823	26805
61	4886	26637
62	4960	26532
63	5025	26385
64	5090	26236
65	5156	26095
66	5222	25956
67	5283	25796
68	5351	25671
69	5420	25555
70	5491	25447
71	5555	25309
72	5619	25174
73	5682	25035
74	5750	24917
75	5821	24819
76	5891	24712
77	5961	24608
78	6027	24491
79	6095	24383
80	6161	24264
81	6229	24157
82	6298	24057
83	6365	23946
84	6432	23836
85	6498	23727
86	6560	23602
87	6626	23493
88	6696	23401
89	6768	23314
90	6836	23215
91	6920	23167
92	7001	23113
93	7104	23126
94	7193	23094
95	7280	23053
96	7344	22941
97	7411	22839
98	7476	22730
99	7543	22629
100	7604	22513
101	7669	22406
102	7739	22315
103	7803	22210
104	7862	22090
105	7925	21980
106	7990	21880
107	8058	21787
108	8127	21698
109	8193	21600
110	8259	21504
111	8318	21390
112	8377	21277
113	8441	21176
114	8506	21081
115	8574	20993
116	8637	20891
117	8700	20792
118	8773	20717
119	8844	20637
120	8928	20587
121	9010	20531
122	9106	20507
123	9224	20531
124	9333	20534
125	9440	20529
126	9534	20495
127	9630	20465
128	9729	20438
129	9809	20374
130	9894	20317
131	9977	20258
132	10157	20391
133	10246	20339
134	10310	20238
135	10372	20135
136	10434	20031
137	10495	19926
138	10556	19821
139	10619	19722
140	10678	19615
141	10738	19510
142	10802	19414
143	10865	19316
144	10925	19213
145	10987	19115
146	11052	19022
147	11116	18927
148	11176	18827
